transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,device_type,is_mobile,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
INSURANCE_FRAUD_000,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.19.35.41,regular,US,2025-07-06 11:11:08.673917,2025-07-06,11:11:08,QuickCare Medical,Healthcare Services,999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,1,1063,15,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1634
INSURANCE_FRAUD_001,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.245.88.219,regular,US,2025-07-06 14:11:08.673917,2025-07-06,14:11:08,QuickCare Medical,Healthcare Services,999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,2,1281,16,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1181
INSURANCE_FRAUD_002,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.126.20.96,regular,US,2025-07-06 17:11:08.673917,2025-07-06,17:11:08,QuickCare Medical,Healthcare Services,4999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,3,865,10,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1593
INSURANCE_FRAUD_003,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.37.138.56,regular,US,2025-07-06 20:11:08.673917,2025-07-06,20:11:08,QuickCare Medical,Healthcare Services,999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,4,1638,16,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1325
INSURANCE_FRAUD_004,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.238.205.114,regular,US,2025-07-06 23:11:08.673917,2025-07-06,23:11:08,QuickCare Medical,Healthcare Services,999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,5,1730,20,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1120
INSURANCE_FRAUD_005,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.168.171.223,regular,US,2025-07-07 02:11:08.673917,2025-07-07,02:11:08,QuickCare Medical,Healthcare Services,1999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,6,1408,17,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,2903
INSURANCE_FRAUD_006,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.141.85.191,regular,US,2025-07-07 05:11:08.673917,2025-07-07,05:11:08,QuickCare Medical,Healthcare Services,999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,7,1197,8,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,1990
INSURANCE_FRAUD_007,INSURANCE_FRAUD_001,Robert FakeBilling,rbilling@healthfraud.com,+1-555-0456,789 Medical Plaza,Chicago,IL,60601,198.56.116.164,regular,US,2025-07-07 08:11:08.673917,2025-07-07,08:11:08,QuickCare Medical,Healthcare Services,1999.99,insurance_claim,completed,00,Approved,,medical_procedure,Windows PC,False,5000,insurance_network,30,8,1004,19,True,"insurance_limit_avoidance,rapid_billing,multiple_procedures_same_day",85,insurance_billing_fraud,2381
AFTERHOURS_MEDICAL_000,NIGHT_PATIENT_0,Christopher Franklin,michael57@example.com,452-888-9741,"46759 Hernandez Stravenue
Bethanytown, MI 68083",Lake Samuel,Idaho,26071,144.91.129.174,new,US,2025-07-08 13:11:08.673917,2025-07-08,13:11:08,MidnightMed Services,Telehealth Platform,4500.0,visa,completed,00,Approved,2336,emergency_consultation,iPhone/iOS,True,500,emergency_referral,0,1,413,5,True,"after_hours_billing,high_value_emergency,new_patient",75,suspicious_billing_time,602
AFTERHOURS_MEDICAL_001,NIGHT_PATIENT_1,Jennifer Ray,david75@example.net,7954306632,"PSC 4430, Box 8377
APO AE 96832",New Ryan,South Dakota,49051,141.139.162.141,new,US,2025-07-08 13:26:08.673917,2025-07-08,13:26:08,MidnightMed Services,Telehealth Platform,4500.0,visa,completed,00,Approved,5033,emergency_consultation,iPhone/iOS,True,500,emergency_referral,0,1,350,4,True,"after_hours_billing,high_value_emergency,new_patient",75,suspicious_billing_time,874
