transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,device_type,is_mobile,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
MOBILE_EMULATOR_000,MOBILE_FRAUD_USER_0,Angela Edwards,cynthiasmith@example.org,358-994-5369,"723 Harrison Orchard Apt. 404
Byrdfurt, CO 51203",North Deborahbury,Massachusetts,71911,192.168.4.65,new,US,2025-07-01 11:11:08.661888,2025-07-01,11:11:08,GameVerse Online,Gaming Platform,999.99,visa,completed,00,Approved,1668,in_game_purchase,Android Emulator,True,0,unknown,0,1,105,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,437
MOBILE_EMULATOR_001,MOBILE_FRAUD_USER_1,Allen Tate,erica63@example.net,001-291-817-7357,"6005 Diana Lake
East Bethmouth, WY 13666",New Robertberg,Kansas,24308,192.168.101.155,new,US,2025-07-01 11:13:08.661888,2025-07-01,11:13:08,GameVerse Online,Gaming Platform,99.99,visa,completed,00,Approved,4845,in_game_purchase,Android Emulator,True,0,unknown,0,2,94,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,484
MOBILE_EMULATOR_002,MOBILE_FRAUD_USER_2,Ricardo Moreno,andreaedwards@example.net,(560)454-6163x263,"12083 Vaughn Summit Suite 440
Cooperton, TX 72540",Georgeville,Delaware,82569,192.168.139.140,new,US,2025-07-01 11:15:08.661888,2025-07-01,11:15:08,GameVerse Online,Gaming Platform,999.99,visa,completed,00,Approved,1017,in_game_purchase,Android Emulator,True,0,unknown,0,3,82,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,630
MOBILE_EMULATOR_003,MOBILE_FRAUD_USER_3,Joshua Cowan,etran@example.net,+1-431-259-5923x900,"846 Anna Courts Suite 510
West Sarahville, AS 71188",Rossmouth,Maine,32192,192.168.129.38,new,US,2025-07-01 11:17:08.661888,2025-07-01,11:17:08,GameVerse Online,Gaming Platform,99.99,visa,completed,00,Approved,5903,in_game_purchase,Android Emulator,True,0,unknown,0,4,120,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,473
MOBILE_EMULATOR_004,MOBILE_FRAUD_USER_4,Brent Schwartz,omar81@example.com,(859)872-7930x5966,"511 Jackson Crest
Millerside, UT 23660",Thomasmouth,North Carolina,17726,192.168.111.139,new,US,2025-07-01 11:19:08.661888,2025-07-01,11:19:08,GameVerse Online,Gaming Platform,9999.99,visa,completed,00,Approved,2942,in_game_purchase,Android Emulator,True,0,unknown,0,5,69,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,377
MOBILE_EMULATOR_005,MOBILE_FRAUD_USER_5,Allen Walker,beckywarren@example.net,001-648-647-0076x534,"40156 Miller Inlet
North Connorbury, MI 54147",New Heatherville,South Carolina,09042,192.168.17.36,new,US,2025-07-01 11:21:08.661888,2025-07-01,11:21:08,GameVerse Online,Gaming Platform,9999.99,visa,completed,00,Approved,1792,in_game_purchase,Android Emulator,True,0,unknown,0,6,105,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,387
MOBILE_EMULATOR_006,MOBILE_FRAUD_USER_6,Jeffrey Scott,pweber@example.net,4784340716,"42185 Keller Cliffs
North Stevenmouth, IL 66182",Richardville,Massachusetts,34530,192.168.203.4,new,US,2025-07-01 11:23:08.661888,2025-07-01,11:23:08,GameVerse Online,Gaming Platform,99.99,visa,completed,00,Approved,8894,in_game_purchase,Android Emulator,True,0,unknown,0,7,96,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,224
MOBILE_EMULATOR_007,MOBILE_FRAUD_USER_7,Todd Rivera,vkaiser@example.org,873.336.6964x9928,"5716 Johnny Highway
Brittanychester, ND 47524",New Susan,Alabama,95312,192.168.97.158,new,US,2025-07-01 11:25:08.661888,2025-07-01,11:25:08,GameVerse Online,Gaming Platform,999.99,visa,completed,00,Approved,9333,in_game_purchase,Android Emulator,True,0,unknown,0,8,43,1,True,"emulator_detected,suspicious_amount,new_account",85,device_emulator,206
MICRO_ABUSE_000,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.108,regular,US,2025-07-01 11:11:08.661888,2025-07-01,11:11:08,MobileGaming Pro,Mobile Gaming,0.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,1,371,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,246
MICRO_ABUSE_001,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.159,regular,US,2025-07-01 11:16:08.661888,2025-07-01,11:16:08,MobileGaming Pro,Mobile Gaming,1.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,2,505,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,214
MICRO_ABUSE_002,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.165,regular,US,2025-07-01 11:21:08.661888,2025-07-01,11:21:08,MobileGaming Pro,Mobile Gaming,2.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,3,536,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,161
MICRO_ABUSE_003,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.4,regular,US,2025-07-01 11:26:08.661888,2025-07-01,11:26:08,MobileGaming Pro,Mobile Gaming,4.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,4,568,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,275
MICRO_ABUSE_004,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.209,regular,US,2025-07-01 11:31:08.661888,2025-07-01,11:31:08,MobileGaming Pro,Mobile Gaming,2.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,5,309,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,179
MICRO_ABUSE_005,MICRO_ABUSE_001,John Microtester,test@tempmail.com,+1-555-0123,123 Test Street,San Francisco,CA,94102,8.8.8.119,regular,US,2025-07-01 11:36:08.661888,2025-07-01,11:36:08,MobileGaming Pro,Mobile Gaming,0.99,visa,completed,00,Approved,1234,virtual_currency,iPhone/iOS,True,50,app_store,1,6,450,3,True,"rapid_micro_transactions,sequential_card,disposable_email",75,micro_transaction_abuse,313
