transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
CARD_TEST_000,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:55:58.249916,2025-07-09,10:55:58,Test Merchant,Online Retail,1.0,visa,completed,00,Approved,1111,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
CARD_TEST_001,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:56:28.249916,2025-07-09,10:56:28,Test Merchant,Online Retail,0.5,visa,completed,00,Approved,1112,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
CARD_TEST_002,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:56:58.249916,2025-07-09,10:56:58,Test Merchant,Online Retail,0.01,visa,completed,00,Approved,1113,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
CARD_TEST_003,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:57:28.249916,2025-07-09,10:57:28,Test Merchant,Online Retail,2.0,visa,completed,00,Approved,1114,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
CARD_TEST_004,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:57:58.249916,2025-07-09,10:57:58,Test Merchant,Online Retail,5.0,visa,failed,51,Insufficient funds,1115,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
CARD_TEST_005,FRAUD_TEST_000,Javier Sandoval,amandagould@example.net,(311)886-7155x08649,"996 Emily Point
Griffinshire, GA 19050",West Sara,Washington,94481,138.193.242.164,high_risk,US,2025-07-09 10:58:28.249916,2025-07-09,10:58:28,Test Merchant,Online Retail,10.0,visa,failed,51,Insufficient funds,1116,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
GEO_HOP_000,FRAUD_TEST_001,Kevin Nelson,brian83@example.net,250.627.2928x242,"0942 Hernandez Bypass Apt. 595
South Dennis, TN 72035",New York,NY,10001,74.125.224.72,high_risk,US,2025-07-09 10:55:58.249916,2025-07-09,10:55:58,Travel Store,Travel,704.69,mastercard,completed,00,Approved,4567,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
GEO_HOP_001,FRAUD_TEST_001,Kevin Nelson,brian83@example.net,250.627.2928x242,"0942 Hernandez Bypass Apt. 595
South Dennis, TN 72035",Los Angeles,CA,90210,173.252.66.7,high_risk,US,2025-07-09 12:55:58.249916,2025-07-09,12:55:58,Travel Store,Travel,216.32,mastercard,completed,00,Approved,4567,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
GEO_HOP_002,FRAUD_TEST_001,Kevin Nelson,brian83@example.net,250.627.2928x242,"0942 Hernandez Bypass Apt. 595
South Dennis, TN 72035",Miami,FL,33101,8.8.8.8,high_risk,US,2025-07-09 14:55:58.249916,2025-07-09,14:55:58,Travel Store,Travel,543.08,mastercard,completed,00,Approved,4567,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
GEO_HOP_003,FRAUD_TEST_001,Kevin Nelson,brian83@example.net,250.627.2928x242,"0942 Hernandez Bypass Apt. 595
South Dennis, TN 72035",Seattle,WA,98101,157.240.2.1,high_risk,US,2025-07-09 16:55:58.249916,2025-07-09,16:55:58,Travel Store,Travel,228.44,mastercard,completed,00,Approved,4567,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
