transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,processing_time_ms
LEGIT_ECOM_0000,LEGIT_ECOM_005,Steven Reed,jewing@example.org,503.496.3039,"PSC 7566, Box 8363
APO AA 09772",Davischester,Iowa,14891,206.28.172.208,new,US,2025-07-14 20:59:07.566920,2025-07-14,20:59:07,Online Fashion Store,Retail,398.39,amex,completed,00,Approved,7327,purchase,False,,32.663513231850175,,4179.419911932027,organic_search,30,5,Mac OS,False,676,11,1528
LEGIT_ECOM_0001,LEGIT_ECOM_007,Andrew Clark,lorrainefrench@example.com,407-778-6242x9466,"853 Jennifer Islands Suite 172
Berryton, VA 16056",New Leah,Arkansas,19537,217.210.252.135,vip,US,2025-07-12 14:59:07.566920,2025-07-12,14:59:07,Online Fashion Store,Retail,416.8,amex,completed,00,Approved,7482,purchase,False,,22.739362009714167,,2749.5841064521155,direct,56,15,Windows PC,False,1568,18,1447
LEGIT_ECOM_0002,LEGIT_ECOM_005,Steven Reed,jewing@example.org,503.496.3039,"PSC 7566, Box 8363
APO AA 09772",Davischester,Iowa,14891,206.28.172.208,new,US,2025-07-15 12:59:07.566920,2025-07-15,12:59:07,Online Fashion Store,Retail,199.28,mastercard,completed,00,Approved,1069,purchase,False,,16.733403959281777,,3515.2591936504928,paid_search,63,4,iPhone/iOS,True,838,18,1908
LEGIT_ECOM_0003,LEGIT_ECOM_001,Jessica Woods,debbiecoleman@example.net,635.751.6266,"3914 Snyder Parks
Gabriellachester, SD 45598",Johnhaven,Tennessee,60812,203.161.59.91,new,US,2025-07-15 02:59:07.566920,2025-07-15,02:59:07,Online Fashion Store,Retail,26.84,visa,completed,00,Approved,1841,purchase,False,,16.62813702643252,,3939.0930606528636,organic_search,83,19,iPhone/iOS,True,692,17,707
LEGIT_ECOM_0004,LEGIT_ECOM_004,Andrea Thomas,charles80@example.com,001-801-556-8971x3137,"Unit 2370 Box 5341
DPO AE 59709",West Erin,Washington,23332,69.82.230.201,new,US,2025-07-13 14:59:07.566920,2025-07-13,14:59:07,Online Fashion Store,Retail,480.33,amex,completed,00,Approved,4326,purchase,False,,35.5191909086643,,1856.319988005092,paid_search,298,17,Windows PC,False,808,8,577
LEGIT_ECOM_0005,LEGIT_ECOM_005,Steven Reed,jewing@example.org,503.496.3039,"PSC 7566, Box 8363
APO AA 09772",Davischester,Iowa,14891,206.28.172.208,new,US,2025-07-16 01:59:07.566920,2025-07-16,01:59:07,Online Fashion Store,Retail,216.99,amex,completed,00,Approved,1157,purchase,False,,13.05867782509425,,1060.564497181541,social_media,322,17,iPhone/iOS,True,1614,15,151
LEGIT_ECOM_0006,LEGIT_ECOM_005,Steven Reed,jewing@example.org,503.496.3039,"PSC 7566, Box 8363
APO AA 09772",Davischester,Iowa,14891,206.28.172.208,new,US,2025-07-15 23:59:07.566920,2025-07-15,23:59:07,Online Fashion Store,Retail,52.64,mastercard,completed,00,Approved,7850,purchase,False,,34.41786085881443,,2673.10266010321,social_media,242,17,Windows PC,False,1691,13,1416
LEGIT_ECOM_0007,LEGIT_ECOM_012,David Leon,davidchristensen@example.net,001-873-863-8683x299,"3783 Bryan Ports Apt. 788
Andreahaven, NJ 07617",Fernandoside,Tennessee,37014,202.238.145.21,regular,US,2025-07-12 11:59:07.566920,2025-07-12,11:59:07,Online Fashion Store,Retail,341.27,mastercard,completed,00,Approved,2514,purchase,False,,38.78026175318777,,2136.241682077804,social_media,272,13,iPhone/iOS,True,1644,16,196
LEGIT_ECOM_0008,LEGIT_ECOM_002,Kenneth Meyer,qwilson@example.com,001-585-649-1707x01530,"952 Williams Wells Suite 040
East Jenniferborough, FM 97171",Romerohaven,Arkansas,81208,201.228.110.251,regular,US,2025-07-12 21:59:07.566920,2025-07-12,21:59:07,Online Fashion Store,Retail,234.09,mastercard,completed,00,Approved,5504,purchase,False,,20.995662882865137,,2784.858738257783,social_media,222,16,Mac OS,False,758,16,941
LEGIT_ECOM_0009,LEGIT_ECOM_014,Nathan Williamson,ericalarson@example.com,751-919-5199,"164 Porter Island Suite 916
Port Stephen, AL 28868",Beckmouth,Arkansas,02229,86.64.24.103,vip,US,2025-07-11 12:59:07.566920,2025-07-11,12:59:07,Online Fashion Store,Retail,473.57,amex,completed,00,Approved,4938,purchase,False,,38.198877121287055,,4745.119375314847,paid_search,128,12,iPhone/iOS,True,431,17,693
LEGIT_ECOM_0010,LEGIT_ECOM_000,Jeffrey Ayers,sarahyates@example.net,+1-534-603-6031x673,"5305 Jackson Brooks
Larryport, HI 03765",Port Johnburgh,Iowa,03693,205.80.173.105,regular,US,2025-07-15 23:59:07.566920,2025-07-15,23:59:07,Online Fashion Store,Retail,132.42,visa,completed,00,Approved,4295,purchase,False,,36.95388338372399,,3397.3331048964415,paid_search,261,4,Mac OS,False,430,5,1890
