transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,processing_time_ms
LEGIT_FIN_0000,BANK_CUSTOMER_001,Alice Williams,alice.williams@email.com,555-1234,"64674 Wilson Pike Apt. 355
Lunaside, SD 19137",Marshallburgh,Virginia,62841,181.35.146.33,premium,US,2025-07-12 00:18:07.593697,2025-07-12,00:18:07,SecureBank Online,Financial Services,1046.38,bank_transfer,completed,00,Approved,,deposit,False,,20.174371974979934,,1940.298813093813,direct,35,12,iPhone/iOS,True,1016,16,1444
LEGIT_FIN_0001,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"8642 Denise Skyway
South Richardfurt, AR 59464",Lake Amanda,Tennessee,68015,174.154.76.2,standard,US,2025-07-12 00:17:07.593697,2025-07-12,00:17:07,SecureBank Online,Financial Services,983.89,bank_transfer,completed,00,Approved,,deposit,False,,6.04876406294791,,4340.338464300195,direct,258,18,Windows PC,False,876,19,460
LEGIT_FIN_0002,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"5683 Michael Points Suite 525
Waterschester, MS 64161",Ortizshire,Tennessee,88354,203.99.211.158,standard,US,2025-07-11 22:57:07.593697,2025-07-11,22:57:07,SecureBank Online,Financial Services,1453.46,bank_transfer,completed,00,Approved,,payment,False,,16.96491446017395,,3218.6289129701545,direct,243,11,Android Mobile,True,1156,14,1477
LEGIT_FIN_0003,BANK_CUSTOMER_001,Alice Williams,alice.williams@email.com,555-1234,"24544 Fields Light
Jasmineburgh, ME 98603",Lake Christopherburgh,Arizona,66428,23.218.77.198,premium,US,2025-07-12 02:04:07.593697,2025-07-12,02:04:07,SecureBank Online,Financial Services,401.22,bank_transfer,completed,00,Approved,,transfer,False,,14.858439791472248,,3434.2263206320185,paid_search,281,10,Windows PC,False,1395,9,383
LEGIT_FIN_0004,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"05440 Davis Meadows Apt. 442
Lake Maryville, PW 43436",Lauramouth,Colorado,83581,213.129.119.103,standard,US,2025-07-12 03:42:07.593697,2025-07-12,03:42:07,SecureBank Online,Financial Services,855.01,bank_transfer,completed,00,Approved,,transfer,False,,12.74318689172355,,936.8004715236684,social_media,343,10,iPhone/iOS,True,1235,16,347
LEGIT_FIN_0005,BANK_CUSTOMER_001,Alice Williams,alice.williams@email.com,555-1234,"605 Fernandez Junctions Apt. 231
West Randallview, CT 66567",Brendamouth,Nevada,09313,154.122.119.148,premium,US,2025-07-12 04:53:07.593697,2025-07-12,04:53:07,SecureBank Online,Financial Services,464.78,bank_transfer,completed,00,Approved,,deposit,False,,12.000256640083144,,3658.4481133304457,organic_search,274,11,Android Mobile,True,1251,19,504
LEGIT_FIN_0006,BANK_CUSTOMER_001,Alice Williams,alice.williams@email.com,555-1234,"498 Lauren Lodge
South Johnland, PW 78959",Powellport,North Dakota,78158,24.15.47.147,premium,US,2025-07-12 03:08:07.593697,2025-07-12,03:08:07,SecureBank Online,Financial Services,1868.16,bank_transfer,completed,00,Approved,,deposit,False,,17.21184131938972,,871.4776968119248,paid_search,177,17,Windows PC,False,456,15,1841
LEGIT_FIN_0007,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"09104 Kelly Lake Apt. 667
Davidshire, KY 21170",West Jacksonberg,South Dakota,45928,223.10.235.103,standard,US,2025-07-12 00:27:07.593697,2025-07-12,00:27:07,SecureBank Online,Financial Services,353.96,bank_transfer,completed,00,Approved,,payment,False,,24.020788876672377,,4031.87283158859,direct,359,15,Windows PC,False,392,6,1443
LEGIT_FIN_0008,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"266 Amy Overpass
Taylorton, IL 54823",South Alicemouth,West Virginia,89246,151.153.76.45,standard,US,2025-07-11 20:15:07.593697,2025-07-11,20:15:07,SecureBank Online,Financial Services,1794.61,bank_transfer,completed,00,Approved,,transfer,False,,18.45736982220999,,2803.635443855876,paid_search,273,9,iPhone/iOS,True,846,14,1163
LEGIT_FIN_0009,BANK_CUSTOMER_002,Bob Anderson,bob.anderson@email.com,555-5678,"192 Tina Pines Suite 215
Lake Jefferychester, NJ 88132",Port Laurenstad,New Hampshire,33240,213.118.239.122,standard,US,2025-07-12 04:49:07.593697,2025-07-12,04:49:07,SecureBank Online,Financial Services,562.89,bank_transfer,completed,00,Approved,,transfer,False,,10.673519544748887,,2972.9066365939148,organic_search,39,8,Android Mobile,True,652,5,757
