transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,processing_time_ms
LEGIT_SUB_0000,SUB_CUSTOMER_011,Mark Weaver,jeffery43@example.com,001-592-458-1054x970,"Unit 2997 Box 9634
DPO AE 13344",West Julie,Arkansas,40999,219.157.95.18,family,US,2025-07-14 10:59:07.603556,2025-07-14,10:59:07,StreamMax Pro,Streaming Service,9.99,mastercard,completed,00,Approved,1565,subscription,False,,21.81517041071358,,1836.6791556129017,paid_search,228,12,Android Mobile,True,1553,12,1556
LEGIT_SUB_0001,SUB_CUSTOMER_015,Jason Leonard,brian75@example.com,001-817-588-7252,"0984 Jasmine Corners Apt. 810
Lake Christopherport, NV 19801",New Michaelburgh,Nebraska,41928,223.66.168.225,premium,US,2025-06-23 10:59:07.603556,2025-06-23,10:59:07,StreamMax Pro,Streaming Service,9.99,mastercard,completed,00,Approved,7284,subscription,False,,14.358239678669246,,2515.2116291499515,direct,262,14,Windows PC,False,515,9,1827
LEGIT_SUB_0002,SUB_CUSTOMER_001,David Miller,potterterri@example.net,001-283-863-9280x24146,"1660 Savage Burgs
Armstrongport, AZ 24870",Blackfort,Hawaii,33677,24.116.206.206,premium,US,2025-06-27 10:59:07.603556,2025-06-27,10:59:07,StreamMax Pro,Streaming Service,19.99,visa,completed,00,Approved,8760,subscription,False,,24.062492251207594,,2248.943462705829,organic_search,133,6,Windows PC,False,945,11,669
LEGIT_SUB_0003,SUB_CUSTOMER_002,Mr. Jesse Adams,qhunter@example.org,627.658.9076,"45104 Shea Unions Apt. 887
Freemanberg, ME 95474",Palmerbury,Michigan,38449,121.27.245.93,family,US,2025-06-27 10:59:07.603556,2025-06-27,10:59:07,StreamMax Pro,Streaming Service,9.99,visa,completed,00,Approved,9391,subscription,False,,22.508988764510136,,4451.378980885229,direct,166,17,Mac OS,False,537,15,633
LEGIT_SUB_0004,SUB_CUSTOMER_002,Mr. Jesse Adams,qhunter@example.org,627.658.9076,"45104 Shea Unions Apt. 887
Freemanberg, ME 95474",Palmerbury,Michigan,38449,121.27.245.93,family,US,2025-07-12 10:59:07.603556,2025-07-12,10:59:07,StreamMax Pro,Streaming Service,14.99,mastercard,completed,00,Approved,4795,subscription,False,,9.754586750238396,,3380.120066988856,paid_search,72,9,Windows PC,False,1743,19,836
LEGIT_SUB_0005,SUB_CUSTOMER_016,Brandon Townsend,jray@example.net,536-204-4331,"117 Charles Green
North Margaretborough, DC 19999",Dunnton,Maine,86394,157.197.133.73,premium,US,2025-06-26 10:59:07.603556,2025-06-26,10:59:07,StreamMax Pro,Streaming Service,9.99,paypal,completed,00,Approved,8564,subscription,False,,10.100555521007475,,3311.4502466353556,organic_search,176,7,Mac OS,False,864,19,838
LEGIT_SUB_0006,SUB_CUSTOMER_008,Robert Ramirez,scott16@example.org,001-577-673-9348x20702,"562 Brendan Roads
Mcintyrebury, NC 72883",Cookechester,Maryland,76488,202.227.200.162,premium,US,2025-07-08 10:59:07.603556,2025-07-08,10:59:07,StreamMax Pro,Streaming Service,14.99,visa,completed,00,Approved,2336,subscription,False,,23.17464089258578,,2304.124683765517,paid_search,101,6,Android Mobile,True,1162,7,536
LEGIT_SUB_0007,SUB_CUSTOMER_019,Andrew Thompson,foxantonio@example.org,(819)847-4280x604,"0415 Ortega Radial Suite 487
Port Travis, NE 77564",Lake Donald,Texas,73475,222.247.151.60,family,US,2025-07-03 10:59:07.603556,2025-07-03,10:59:07,StreamMax Pro,Streaming Service,14.99,paypal,completed,00,Approved,1439,subscription,False,,23.29784623975473,,3794.6110624706553,paid_search,163,12,Mac OS,False,1591,11,588
LEGIT_SUB_0008,SUB_CUSTOMER_003,Cassandra Travis,andrewgonzalez@example.net,962.510.3507x3589,"366 Mora Brooks
West Charlene, IA 54302",Natalieview,Maine,72662,215.230.60.152,family,US,2025-07-03 10:59:07.603556,2025-07-03,10:59:07,StreamMax Pro,Streaming Service,19.99,mastercard,completed,00,Approved,8356,subscription,False,,17.67342429531523,,815.3315493993382,organic_search,328,4,iPhone/iOS,True,919,13,639
LEGIT_SUB_0009,SUB_CUSTOMER_012,David Fitzgerald,jcooper@example.net,001-453-325-7473x904,"Unit 0899 Box 7220
DPO AP 91705",Littleborough,Mississippi,44498,185.173.17.202,family,US,2025-07-13 10:59:07.603556,2025-07-13,10:59:07,StreamMax Pro,Streaming Service,19.99,mastercard,completed,00,Approved,7277,subscription,False,,24.15360246720911,,1498.3399259549615,social_media,110,19,Mac OS,False,1367,5,1434
LEGIT_SUB_0010,SUB_CUSTOMER_008,Robert Ramirez,scott16@example.org,001-577-673-9348x20702,"562 Brendan Roads
Mcintyrebury, NC 72883",Cookechester,Maryland,76488,202.227.200.162,premium,US,2025-06-29 10:59:07.603556,2025-06-29,10:59:07,StreamMax Pro,Streaming Service,14.99,mastercard,completed,00,Approved,7655,subscription,False,,10.957822203013505,,2685.625953427121,direct,254,15,Windows PC,False,1023,17,948
LEGIT_SUB_0011,SUB_CUSTOMER_001,David Miller,potterterri@example.net,001-283-863-9280x24146,"1660 Savage Burgs
Armstrongport, AZ 24870",Blackfort,Hawaii,33677,24.116.206.206,premium,US,2025-06-19 10:59:07.603556,2025-06-19,10:59:07,StreamMax Pro,Streaming Service,9.99,paypal,completed,00,Approved,2308,subscription,False,,17.54744090568494,,3586.044253637141,organic_search,75,11,Windows PC,False,586,6,1923
LEGIT_SUB_0012,SUB_CUSTOMER_003,Cassandra Travis,andrewgonzalez@example.net,962.510.3507x3589,"366 Mora Brooks
West Charlene, IA 54302",Natalieview,Maine,72662,215.230.60.152,family,US,2025-07-16 10:59:07.603556,2025-07-16,10:59:07,StreamMax Pro,Streaming Service,29.99,mastercard,completed,00,Approved,2527,subscription,False,,13.172360635705147,,1241.0374911815252,organic_search,203,3,iPhone/iOS,True,599,16,1349
LEGIT_SUB_0013,SUB_CUSTOMER_014,Nicolas Gonzalez,xjones@example.org,247-448-4491x32256,"098 Morris Landing Apt. 617
Terrellville, LA 30234",Carlborough,Minnesota,86461,215.121.100.129,individual,US,2025-07-08 10:59:07.603556,2025-07-08,10:59:07,StreamMax Pro,Streaming Service,19.99,visa,completed,00,Approved,8749,subscription,False,,10.731362127179855,,667.9904726074111,direct,159,10,iPhone/iOS,True,461,18,218
LEGIT_SUB_0014,SUB_CUSTOMER_015,Jason Leonard,brian75@example.com,001-817-588-7252,"0984 Jasmine Corners Apt. 810
Lake Christopherport, NV 19801",New Michaelburgh,Nebraska,41928,223.66.168.225,premium,US,2025-07-12 10:59:07.603556,2025-07-12,10:59:07,StreamMax Pro,Streaming Service,19.99,paypal,completed,00,Approved,8509,subscription,False,,9.159918745890774,,4293.838303248238,paid_search,345,10,iPhone/iOS,True,430,13,1124
LEGIT_SUB_0015,SUB_CUSTOMER_008,Robert Ramirez,scott16@example.org,001-577-673-9348x20702,"562 Brendan Roads
Mcintyrebury, NC 72883",Cookechester,Maryland,76488,202.227.200.162,premium,US,2025-07-10 10:59:07.603556,2025-07-10,10:59:07,StreamMax Pro,Streaming Service,29.99,visa,completed,00,Approved,4414,subscription,False,,10.887201094801943,,2530.014709011526,paid_search,229,3,iPhone/iOS,True,998,7,1025
LEGIT_SUB_0016,SUB_CUSTOMER_014,Nicolas Gonzalez,xjones@example.org,247-448-4491x32256,"098 Morris Landing Apt. 617
Terrellville, LA 30234",Carlborough,Minnesota,86461,215.121.100.129,individual,US,2025-07-12 10:59:07.603556,2025-07-12,10:59:07,StreamMax Pro,Streaming Service,19.99,paypal,completed,00,Approved,4385,subscription,False,,5.99357121549218,,4612.046476932356,direct,273,5,Android Mobile,True,936,17,1234
LEGIT_SUB_0017,SUB_CUSTOMER_012,David Fitzgerald,jcooper@example.net,001-453-325-7473x904,"Unit 0899 Box 7220
DPO AP 91705",Littleborough,Mississippi,44498,185.173.17.202,family,US,2025-06-19 10:59:07.603556,2025-06-19,10:59:07,StreamMax Pro,Streaming Service,19.99,visa,completed,00,Approved,5660,subscription,False,,19.07503112499403,,2372.862154935371,organic_search,167,15,iPhone/iOS,True,1239,16,1466
LEGIT_SUB_0018,SUB_CUSTOMER_002,Mr. Jesse Adams,qhunter@example.org,627.658.9076,"45104 Shea Unions Apt. 887
Freemanberg, ME 95474",Palmerbury,Michigan,38449,121.27.245.93,family,US,2025-07-04 10:59:07.603556,2025-07-04,10:59:07,StreamMax Pro,Streaming Service,19.99,paypal,completed,00,Approved,2642,subscription,False,,10.550959418567063,,3316.6565210323606,social_media,289,19,Mac OS,False,952,9,680
LEGIT_SUB_0019,SUB_CUSTOMER_012,David Fitzgerald,jcooper@example.net,001-453-325-7473x904,"Unit 0899 Box 7220
DPO AP 91705",Littleborough,Mississippi,44498,185.173.17.202,family,US,2025-07-05 10:59:07.603556,2025-07-05,10:59:07,StreamMax Pro,Streaming Service,14.99,paypal,completed,00,Approved,8680,subscription,False,,24.328718900972547,,2153.188691769218,paid_search,361,19,Android Mobile,True,958,18,826
LEGIT_SUB_0020,SUB_CUSTOMER_001,David Miller,potterterri@example.net,001-283-863-9280x24146,"1660 Savage Burgs
Armstrongport, AZ 24870",Blackfort,Hawaii,33677,24.116.206.206,premium,US,2025-07-01 10:59:07.603556,2025-07-01,10:59:07,StreamMax Pro,Streaming Service,29.99,paypal,completed,00,Approved,4379,subscription,False,,11.398661430183806,,2407.0928644482437,organic_search,185,6,iPhone/iOS,True,697,10,549
LEGIT_SUB_0021,SUB_CUSTOMER_015,Jason Leonard,brian75@example.com,001-817-588-7252,"0984 Jasmine Corners Apt. 810
Lake Christopherport, NV 19801",New Michaelburgh,Nebraska,41928,223.66.168.225,premium,US,2025-07-07 10:59:07.603556,2025-07-07,10:59:07,StreamMax Pro,Streaming Service,19.99,visa,completed,00,Approved,3886,subscription,False,,5.114765735171984,,4417.199320747261,social_media,127,3,Windows PC,False,950,11,1135
LEGIT_SUB_0022,SUB_CUSTOMER_004,Stephen Wolfe,ghall@example.net,719-462-0257,"PSC 8715, Box 5991
APO AA 03717",Port Katherinetown,Tennessee,54815,120.112.178.15,individual,US,2025-07-13 10:59:07.603556,2025-07-13,10:59:07,StreamMax Pro,Streaming Service,29.99,visa,completed,00,Approved,1743,subscription,False,,9.26528672779076,,2538.600012329591,direct,186,8,Windows PC,False,1493,13,1302
LEGIT_SUB_0023,SUB_CUSTOMER_008,Robert Ramirez,scott16@example.org,001-577-673-9348x20702,"562 Brendan Roads
Mcintyrebury, NC 72883",Cookechester,Maryland,76488,202.227.200.162,premium,US,2025-07-05 10:59:07.603556,2025-07-05,10:59:07,StreamMax Pro,Streaming Service,14.99,visa,completed,00,Approved,6266,subscription,False,,12.637929208002472,,2430.6424123258853,organic_search,145,18,Mac OS,False,357,9,272
LEGIT_SUB_0024,SUB_CUSTOMER_001,David Miller,potterterri@example.net,001-283-863-9280x24146,"1660 Savage Burgs
Armstrongport, AZ 24870",Blackfort,Hawaii,33677,24.116.206.206,premium,US,2025-06-17 10:59:07.603556,2025-06-17,10:59:07,StreamMax Pro,Streaming Service,14.99,visa,completed,00,Approved,7339,subscription,False,,15.52045707481038,,1683.3596458407128,social_media,203,8,iPhone/iOS,True,1432,5,1641
LEGIT_SUB_0025,SUB_CUSTOMER_005,Jeffrey Berry,davidtorres@example.org,(607)560-4888,"6055 Wolfe Skyway
Meyersstad, MA 25125",Popeburgh,Vermont,37234,171.120.121.127,premium,US,2025-07-15 10:59:07.603556,2025-07-15,10:59:07,StreamMax Pro,Streaming Service,29.99,visa,completed,00,Approved,8944,subscription,False,,5.7750036595122545,,4626.304532762096,direct,93,7,iPhone/iOS,True,1797,6,1264
LEGIT_SUB_0026,SUB_CUSTOMER_010,Jonathan Lee,julia47@example.org,5663162930,"1282 Laurie Valley Apt. 920
Taylorshire, CA 79710",South Timothyside,Massachusetts,61510,221.137.220.231,premium,US,2025-07-11 10:59:07.603556,2025-07-11,10:59:07,StreamMax Pro,Streaming Service,14.99,mastercard,completed,00,Approved,9214,subscription,False,,18.31133627893054,,1423.6445804459288,paid_search,58,16,iPhone/iOS,True,1461,9,1858
LEGIT_SUB_0027,SUB_CUSTOMER_005,Jeffrey Berry,davidtorres@example.org,(607)560-4888,"6055 Wolfe Skyway
Meyersstad, MA 25125",Popeburgh,Vermont,37234,171.120.121.127,premium,US,2025-07-01 10:59:07.603556,2025-07-01,10:59:07,StreamMax Pro,Streaming Service,14.99,visa,completed,00,Approved,7448,subscription,False,,24.872573042201026,,2361.6221237825102,direct,255,4,Mac OS,False,770,6,1074
