transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,device_type,is_mobile,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
IAP_FRAUD_000,MOBILE_USER_000,Joanne Vaughn,jacob35@example.com,(265)538-7835x316,"3078 Robert Lane
Walkerville, CA 01217",Ellisview,Maine,85343,129.255.6.143,mobile_gamer,US,2025-07-13 10:57:22.391254,2025-07-13,10:57:22,Mobile Game Store,Mobile Gaming,99.99,apple_pay,completed,00,Approved,5749,in_app_purchase,Android Mobile,True,1664.7521309011977,direct,53,2,1489,2,True,specialized_fraud_pattern,82.35850504404834,test_pattern,1522
IAP_FRAUD_001,MOBILE_USER_001,Kaitlin Pena,john95@example.com,+1-825-988-0323x919,"3899 Robert Mills
Williamsfort, WY 88615",West Brandonchester,South Dakota,96706,145.67.39.79,mobile_gamer,US,2025-07-13 11:02:22.391254,2025-07-13,11:02:22,Mobile Game Store,Mobile Gaming,0.99,apple_pay,completed,00,Approved,1350,in_app_purchase,iPhone/iOS,True,2083.868868322207,paid_search,261,1,1439,3,True,specialized_fraud_pattern,95.9913530012531,test_pattern,1566
IAP_FRAUD_002,MOBILE_USER_002,Cynthia Wells,kclark@example.com,001-536-547-9940x90189,"6501 Kyle Walks
Port Jennifer, FL 53152",Hornestad,Oregon,91004,209.101.8.207,mobile_gamer,US,2025-07-13 11:07:22.391254,2025-07-13,11:07:22,Mobile Game Store,Mobile Gaming,99.99,apple_pay,completed,00,Approved,2915,in_app_purchase,iPhone/iOS,True,1797.8436611483116,organic_search,68,7,1307,11,True,specialized_fraud_pattern,80.71761735930008,test_pattern,1214
IAP_FRAUD_003,MOBILE_USER_003,Peggy Meyer,smoore@example.com,595-731-8748x492,"97375 Walker Junction
North Jeffrey, ND 77054",Fernandohaven,Louisiana,46337,28.110.248.48,mobile_gamer,US,2025-07-13 11:12:22.391254,2025-07-13,11:12:22,Mobile Game Store,Mobile Gaming,9.99,google_pay,completed,00,Approved,4383,in_app_purchase,iPhone/iOS,True,2237.0837586314924,paid_search,85,7,1635,9,True,specialized_fraud_pattern,73.43797831554637,test_pattern,1207
IAP_FRAUD_004,MOBILE_USER_004,Kelly Benitez,william74@example.org,001-687-380-6751x67522,"92520 Shelton Summit
Daleside, OK 95598",Lake Cassandraview,Montana,79551,205.223.30.155,mobile_gamer,US,2025-07-13 11:17:22.391254,2025-07-13,11:17:22,Mobile Game Store,Mobile Gaming,4.99,google_pay,completed,00,Approved,8032,in_app_purchase,iPhone/iOS,True,1571.2563503500623,organic_search,70,6,1536,7,True,specialized_fraud_pattern,86.7334239809551,test_pattern,297
IAP_FRAUD_005,MOBILE_USER_005,Joshua Carroll,suzanne48@example.com,001-863-509-9112x4690,"0972 Robinson Heights Suite 275
East Kristin, NM 36813",Angelaland,Arizona,45032,76.153.34.51,mobile_gamer,US,2025-07-13 11:22:22.391254,2025-07-13,11:22:22,Mobile Game Store,Mobile Gaming,19.99,apple_pay,completed,00,Approved,8992,in_app_purchase,Android Mobile,True,1137.534153728575,organic_search,92,4,161,1,True,specialized_fraud_pattern,75.44612528930368,test_pattern,1371
IAP_FRAUD_006,MOBILE_USER_006,Maria Fitzgerald,austinjensen@example.com,7067854795,"3615 Todd Fields
Andreland, HI 71117",Thomasstad,Indiana,78385,63.12.61.72,mobile_gamer,US,2025-07-13 11:27:22.391254,2025-07-13,11:27:22,Mobile Game Store,Mobile Gaming,19.99,google_pay,completed,00,Approved,5058,in_app_purchase,iPhone/iOS,True,1704.2237799672853,organic_search,249,1,291,12,True,specialized_fraud_pattern,79.45225245501143,test_pattern,1131
IAP_FRAUD_007,MOBILE_USER_007,Joyce Gutierrez,tcarrillo@example.com,900.913.6287,"Unit 3464 Box 7306
DPO AA 76593",Denisefort,Colorado,89854,57.253.155.196,mobile_gamer,US,2025-07-13 11:32:22.391254,2025-07-13,11:32:22,Mobile Game Store,Mobile Gaming,49.99,visa,completed,00,Approved,7586,in_app_purchase,iPhone/iOS,True,1695.7264921139588,organic_search,194,1,959,10,True,specialized_fraud_pattern,83.16082751747743,test_pattern,203
IAP_FRAUD_008,MOBILE_USER_008,David Mueller,anna67@example.com,813-930-7767x517,"7091 Wise Divide Suite 876
West Teresa, MI 08537",Lake Stephanieview,North Carolina,50988,131.24.89.231,mobile_gamer,US,2025-07-13 11:37:22.391254,2025-07-13,11:37:22,Mobile Game Store,Mobile Gaming,9.99,apple_pay,completed,00,Approved,4645,in_app_purchase,iPhone/iOS,True,2865.4703275380098,social_media,349,6,1166,4,True,specialized_fraud_pattern,83.93925547669753,test_pattern,564
IAP_FRAUD_009,MOBILE_USER_009,Sonya King,rodneybaker@example.org,751.281.3564x405,"9716 Cruz Port Suite 459
Michaelhaven, FL 41832",New Michaelmouth,Louisiana,88265,220.3.29.223,mobile_gamer,US,2025-07-13 11:42:22.391254,2025-07-13,11:42:22,Mobile Game Store,Mobile Gaming,0.99,google_pay,completed,00,Approved,8193,in_app_purchase,Android Mobile,True,557.0917821632033,social_media,228,6,1277,13,True,specialized_fraud_pattern,86.50509526840501,test_pattern,256
IAP_FRAUD_010,MOBILE_USER_010,Reginald Anderson,dfrost@example.com,(268)824-9342x13926,"1335 Elizabeth Circle
Jonesland, NC 30312",Courtneyton,Utah,84718,216.142.7.139,mobile_gamer,US,2025-07-13 11:47:22.391254,2025-07-13,11:47:22,Mobile Game Store,Mobile Gaming,49.99,visa,completed,00,Approved,3081,in_app_purchase,iPhone/iOS,True,2286.1137637152506,direct,162,1,1588,13,True,specialized_fraud_pattern,73.42030883145786,test_pattern,791
IAP_FRAUD_011,MOBILE_USER_011,Andrew Bryant,rcastaneda@example.net,+1-660-390-9898x705,"6136 Kristen Way Suite 374
Frankmouth, NM 44722",Kristenhaven,New Jersey,52295,69.198.167.142,mobile_gamer,US,2025-07-13 11:52:22.391254,2025-07-13,11:52:22,Mobile Game Store,Mobile Gaming,4.99,google_pay,completed,00,Approved,7748,in_app_purchase,iPhone/iOS,True,2763.196439537453,direct,222,9,1040,9,True,specialized_fraud_pattern,96.52367304513558,test_pattern,1502
