transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
TRIAL_ABUSE_000,TRIAL_USER_000,Trial User0,user0@tempmail.org,555-6747,"86313 James Circles Apt. 935
Schultzmouth, DE 79743",Kellyburgh,Ohio,23615,192.168.1.100,trial,US,2025-06-16 10:55:58.282221,2025-06-16,10:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1111,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_001,TRIAL_USER_001,Trial User1,user1@guerrillamail.com,555-8896,"8365 Kimberly Wall
South James, AK 60355",New Seth,Missouri,27041,192.168.1.101,trial,US,2025-06-16 12:55:58.282221,2025-06-16,12:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1112,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_002,TRIAL_USER_002,Trial User2,user2@mailinator.com,555-4630,"21877 Nicholas Extension
Christinahaven, MP 60960",Hudsonton,Connecticut,93692,192.168.1.102,trial,US,2025-06-16 14:55:58.282221,2025-06-16,14:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1113,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_003,TRIAL_USER_003,Trial User3,user3@tempmail.org,555-1683,"49530 Melissa Track
East Emily, SC 54482",Lake Calvin,Washington,49215,192.168.1.103,trial,US,2025-06-16 16:55:58.282221,2025-06-16,16:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1114,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_004,TRIAL_USER_004,Trial User4,user4@tempmail.org,555-6826,"358 Beltran Park Apt. 430
Feliciaberg, MP 23008",Crystalberg,North Dakota,77336,192.168.1.104,trial,US,2025-06-16 18:55:58.282221,2025-06-16,18:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1115,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_005,TRIAL_USER_005,Trial User5,user5@tempmail.org,555-7016,"974 Hamilton Mountains
Christophermouth, SC 93507",North Sandra,New Hampshire,95842,192.168.1.105,trial,US,2025-06-16 20:55:58.282221,2025-06-16,20:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1116,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_006,TRIAL_USER_006,Trial User6,user6@tempmail.org,555-6482,"43009 Serrano Lake Suite 086
Andrewstad, SC 46901",Jamesborough,Hawaii,85991,192.168.1.106,trial,US,2025-06-16 22:55:58.282221,2025-06-16,22:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1117,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_007,TRIAL_USER_007,Trial User7,user7@tempmail.org,555-7948,"6789 Sharon Mountains
Clementsview, MI 39320",Stevensmouth,Pennsylvania,56747,192.168.1.107,trial,US,2025-06-17 00:55:58.282221,2025-06-17,00:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1118,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_008,TRIAL_USER_008,Trial User8,user8@tempmail.org,555-8439,"39136 Robert Dale
Kelleyborough, RI 94826",Webermouth,Kentucky,57315,192.168.1.108,trial,US,2025-06-17 02:55:58.282221,2025-06-17,02:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1119,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
TRIAL_ABUSE_009,TRIAL_USER_009,Trial User9,user9@mailinator.com,555-5911,"3781 Laura Flat
East Ryan, WV 83474",East Nancy,Arizona,31225,192.168.1.109,trial,US,2025-06-17 04:55:58.282221,2025-06-17,04:55:58,StreamFlix Plus,Streaming Service,0.0,visa,completed,00,Approved,1120,free_trial,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
