transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000914,CUST_392291,Barry Thomas,christina36@example.net,(749)971-1377x08046,2025-01-16,10:59:49,24.05,basic_supplies,PayPal,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_5915,B492662,00,Approved,False,True,0,2.13,EMP_824,Toast,False,,,13,country_mismatch,Express,21.16,2025-01-17,1Z955334497283,13793 Morales Avenue,North Michaelchester,KS,02921,NL,98516 Marquez Square Suite 950,New Shawn,IL,85350,IT,17.157.68.135,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,984b30b5-e6fb-4687-873a-47099e224929,direct,country_mismatch,True
TXN_00000138,CUST_971176,Kevin Graham,rochanathaniel@example.net,367.470.8264x932,2025-01-16,12:11:38,29.73,brush_set,Apple Pay,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4902,B497187,00,Approved,True,False,0,2.64,EMP_705,Clover,False,,,5,,International,20.3,2025-01-26,1Z480812347985,808 Paul Port Apt. 978,New Donna,CO,25799,NL,808 Paul Port Apt. 978,New Donna,CO,25799,NL,99.173.224.249,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1172881b-df70-4401-b8a6-77ad51dbdafa,email_campaign,,True
TXN_00000457,CUST_218879,Brandon Floyd,sherry85@example.org,001-308-950-2363x2954,2025-01-16,12:22:28,27.13,canvas,Apple Pay,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_1587,B216751,00,Approved,False,True,0,2.41,EMP_665,Square,False,,,5,,International,39.55,2025-01-29,1Z780079568022,20489 David Underpass,West Raymondshire,SD,42983,ES,20489 David Underpass,West Raymondshire,SD,42983,ES,7.80.9.186,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,00f6749d-0d50-4c71-b024-b7d67b76caff,paid_search,,True
TXN_00000376,CUST_359039,Albert Davis,megan33@example.org,,2025-01-16,14:31:54,68.94,brush_set,Visa,Visa,7250,08/29,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_2962,B823452,00,Approved,False,True,0,6.12,EMP_450,Shopify POS,False,,,5,,Expedited,10.76,2025-01-20,9400710862815711,78171 Tara Light,Acostabury,MH,93128,IT,78171 Tara Light,Acostabury,MH,93128,IT,4.82.134.172,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,7b2a31da-a9d6-421c-998f-92a6f515aea9,direct,,True
TXN_00001284,CUST_837280,Jessica Williams,dfleming@example.com,468-977-3365,2025-01-16,15:28:28,162.49,digital_tablet,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_8611,B134596,00,Approved,False,True,0,14.42,EMP_360,Lightspeed,False,,,15,,Heavy Item,18.43,2025-01-29,9400466126942337,628 Cynthia Mission Suite 751,Farrellville,LA,77140,UK,628 Cynthia Mission Suite 751,Farrellville,LA,77140,UK,212.236.68.19,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,25f1acfb-b404-4f40-8b33-ab52a1b262c2,https://www.facebook.com,,True
TXN_00000976,CUST_553170,Makayla Collins,hoffmanjohn@example.com,762.269.6320x0270,2025-01-16,17:34:57,11.47,canvas,Visa,Visa,4535,02/31,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_5357,B176568,00,Approved,True,False,0,1.02,EMP_875,Magento,False,,,5,,Expedited,14.43,2025-01-20,TBA407794486251,705 Franklin Walks Suite 139,Taylorton,OH,84056,US,705 Franklin Walks Suite 139,Taylorton,OH,84056,US,82.197.154.17,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,36d40e8e-d156-4046-8781-79907a7a5cec,email_campaign,,True
TXN_00000923,CUST_545112,Jeffrey Flores,cynthia45@example.net,,2025-01-16,20:15:00,246.79,bulk_supplies,Visa,Visa,1182,03/35,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_1675,B244262,00,Approved,True,False,0,21.9,EMP_519,Shopify POS,False,,,15,,International,39.17,2025-01-28,9400889186626256,99372 Adams Haven Apt. 981,South Michael,SD,23680,DE,99372 Adams Haven Apt. 981,South Michael,SD,23680,DE,211.212.160.166,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,34c618eb-5852-4151-be22-5e9da7b15585,https://www.google.com,,True
TXN_00000149,CUST_500407,Deborah Vasquez,,298.674.6003x8195,2025-01-16,21:56:17,11.89,canvas,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_3308,B887167,57,Transaction not permitted,False,True,0,1.06,EMP_570,Shopify POS,False,,,13,country_mismatch,Heavy Item,26.32,2025-01-25,9400764576497305,14051 Gomez Vista,Mccormicktown,PA,45090,AU,8311 Melissa Roads Suite 687,Suarezland,ID,47719,JP,202.77.163.17,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,701954b5-66ec-48ec-9c65-afed72020ddb,email_campaign,country_mismatch,True
TXN_00000673,CUST_359039,Albert Davis,,(306)496-1578,2025-01-17,10:15:26,23.41,paint_set,Visa,Visa,6910,08/33,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_1799,B605368,00,Approved,False,True,0,2.08,EMP_373,Lightspeed,False,,,5,,Heavy Item,18.94,2025-01-28,1Z671271985260,197 Angel Ferry Apt. 718,Beckhaven,CO,47051,FR,197 Angel Ferry Apt. 718,Beckhaven,CO,47051,FR,41.10.106.137,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,eceeca04-d0a8-48a3-9ed5-a855f733a3cd,https://www.facebook.com,,True
TXN_00000571,CUST_966821,Anthony Medina,stephenwashington@example.net,001-865-372-0831x9242,2025-01-17,16:35:26,125.04,bulk_supplies,PayPal,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4913,B968029,00,Approved,True,False,0,11.1,EMP_979,Shopify POS,False,,,15,,International,26.35,2025-01-31,TBA938416348542,800 Brian Field,New David,IL,60672,AU,800 Brian Field,New David,IL,60672,AU,35.71.73.103,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,3e43e1a8-6717-4696-bf71-0a4634668566,email_campaign,,True
TXN_00000730,CUST_897835,Bonnie Huffman,,584.419.3316,2025-01-17,17:52:19,25.86,basic_supplies,Mastercard,Mastercard,0142,12/31,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4697,B168273,51,Insufficient funds,False,True,0,2.3,EMP_611,Magento,True,account_takeover,"account_takeover_pattern,unusual_location,address_change,billing_shipping_mismatch",99,"country_mismatch,account_takeover_pattern,unusual_location,address_change,billing_shipping_mismatch",Express,18.86,2025-01-19,9400929625061341,78189 David Manor Suite 916,Jamesstad,VI,62482,JP,20862 Murray Fords,Jerryburgh,OK,06672,NL,219.123.62.45,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,45542880-982f-4606-b07e-bd87fa5a4b49,https://www.instagram.com,"country_mismatch,account_takeover_pattern,unusual_location,address_change,billing_shipping_mismatch",True
TXN_00001265,CUST_762130,Ethan Jones,zavalacarrie@example.com,+1-444-237-9415,2025-01-17,21:36:43,157.24,digital_tablet,PayPal,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_8316,B573639,00,Approved,False,True,0,13.96,EMP_777,Shopify POS,False,,,15,,Express,19.27,2025-01-19,1Z172612220516,89710 Chan Loaf,South Kevinland,SD,78491,ES,89710 Chan Loaf,South Kevinland,SD,78491,ES,52.55.84.126,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8175fea6-11ed-47e8-b127-a3616cf46a10,direct,,True
TXN_00001003,CUST_597134,Jennifer Lara,damon66@example.net,+1-578-258-7114x04969,2025-01-18,10:32:34,166.73,bulk_supplies,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4235,B326433,00,Approved,False,True,0,14.8,EMP_387,WooCommerce,False,,,15,,Expedited,9.6,2025-01-22,TBA103852964440,6289 Ernest Courts Suite 542,New Ivan,LA,18274,UK,6289 Ernest Courts Suite 542,New Ivan,LA,18274,UK,192.71.69.160,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,6df308de-9bdb-44ad-9af1-fee8ecd37440,paid_search,,True
TXN_00000311,CUST_994104,Adrienne Smith,simstiffany@example.org,+1-328-219-8053x7172,2025-01-18,11:58:09,30.41,paint_set,American Express,American Express,6865,05/30,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_5166,B283326,00,Approved,False,True,0,2.7,EMP_672,WooCommerce,False,,,5,,Heavy Item,29.61,2025-02-01,1Z153371480169,17586 Lawrence Fort,Lucasville,VI,18082,DE,17586 Lawrence Fort,Lucasville,VI,18082,DE,209.186.77.81,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,98e8c899-a47f-4500-a58f-a9c6bf3f2f16,paid_search,,True
TXN_00000108,CUST_779083,Tiffany Peters,,8363681448,2025-01-18,14:31:42,19.17,canvas,American Express,American Express,1853,06/27,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_2140,B584394,00,Approved,False,True,0,1.7,EMP_469,Lightspeed,False,,,5,,Standard,4.93,2025-01-25,9400798966885017,83264 Daniel Roads,North Nicoleland,SD,23080,UK,83264 Daniel Roads,North Nicoleland,SD,23080,UK,17.97.70.231,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0e95d68f-04d8-44e6-91da-e0bfeb9da91e,https://www.facebook.com,,True
TXN_00000338,CUST_650937,Ryan Cross,clawrence@example.com,660-948-8481,2025-01-18,15:16:00,17.29,paint_set,Apple Pay,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_9299,B489984,00,Approved,True,False,0,1.53,EMP_156,Magento,False,,,5,,Standard,7.85,2025-01-26,1Z771361306531,0885 Briggs Shoal Apt. 860,East Josephfurt,AK,56136,US,0885 Briggs Shoal Apt. 860,East Josephfurt,AK,56136,US,119.120.195.161,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,3a8bdc41-dfbe-496d-be7a-222b97c65ed7,email_campaign,,True
TXN_00000431,CUST_642552,Lisa Clarke,timothy28@example.org,,2025-01-18,19:13:46,431.44,digital_tablet,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_9420,B968621,00,Approved,False,True,0,38.29,EMP_704,Magento,False,,,15,,Heavy Item,20.58,2025-01-25,TBA395285533183,362 Chapman Ports,Bankschester,FL,26741,US,362 Chapman Ports,Bankschester,FL,26741,US,68.116.247.220,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,aae81833-94b9-4599-a257-d176f445f07a,https://www.google.com,,True
TXN_00001243,CUST_473275,Jillian White,claudiaholland@example.org,,2025-01-18,19:36:45,38.79,paint_set,American Express,American Express,0039,11/33,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_2423,B284160,00,Approved,True,False,0,3.44,EMP_328,Square,False,,,5,,International,21.84,2025-02-01,9400795570465434,592 Stephanie Valleys,Amandashire,MN,11724,NL,592 Stephanie Valleys,Amandashire,MN,11724,NL,12.80.176.212,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,53c8af3b-e607-4f1a-8e5a-a4b2200afdf3,https://www.instagram.com,,True
TXN_00000760,CUST_782181,Tamara Lawson,edwardskristen@example.net,758-344-4438,2025-01-19,14:00:17,25.82,canvas,American Express,American Express,3469,07/31,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_2523,B241805,00,Approved,False,False,0,2.29,EMP_120,WooCommerce,False,,,5,,Express,17.83,2025-01-21,TBA280461062911,159 Gonzalez Path,Jasmineshire,NH,35554,ES,159 Gonzalez Path,Jasmineshire,NH,35554,ES,179.161.73.109,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,dcaa0589-2a3a-4fd0-96e7-c291336d7522,https://www.facebook.com,,True
TXN_00000093,CUST_610030,Eric Moody,bairdlisa@example.net,+1-767-705-1546x7466,2025-01-19,15:01:22,56.5,brush_set,Visa,Visa,2866,01/26,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4824,B298438,00,Approved,False,True,0,5.01,EMP_834,Shopify POS,True,account_takeover,"account_takeover_pattern,address_change",78,"account_takeover_pattern,address_change",Standard,4.01,2025-01-25,9400232679680547,9227 Brittany Harbors Apt. 210,Davisbury,IA,93794,AU,703 Elizabeth Center,Dixonville,WY,93794,AU,87.236.20.48,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,54434974-8ca9-46f7-a79f-fba469180d0b,paid_search,"account_takeover_pattern,address_change",True
TXN_00000532,CUST_693065,Melissa Patterson,,,2025-01-19,15:41:33,167.18,bulk_supplies,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_4128,B523727,00,Approved,False,True,0,14.84,EMP_117,Square,False,,,15,,Standard,6.97,2025-01-26,TBA880232622687,88683 Hudson Ramp Apt. 689,Timothybury,NV,52767,NL,88683 Hudson Ramp Apt. 689,Timothybury,NV,52767,NL,36.21.4.68,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,eec0b680-31cd-4e47-b5bc-7d10f111a18a,direct,,True
TXN_00000625,CUST_432691,Ashley Guerra,stonelisa@example.org,678-907-7539x6952,2025-01-19,15:44:18,28.9,canvas,American Express,American Express,7827,12/29,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_3856,B822461,00,Approved,False,True,0,2.56,EMP_446,Lightspeed,False,,,5,,Express,17.89,2025-01-20,9400471302261698,28319 Joanna Prairie Suite 847,Moraleston,DC,50856,DE,28319 Joanna Prairie Suite 847,Moraleston,DC,50856,DE,7.157.207.17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,30b660be-1848-4b23-9940-b552afbdae20,https://www.google.com,,True
TXN_00000592,CUST_359625,Colleen Mcfarland,katherinenelson@example.net,,2025-01-19,16:47:49,46.24,paint_set,Mastercard,Mastercard,8687,12/31,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_8545,B857814,00,Approved,True,False,0,4.1,EMP_139,Square,False,,,5,,Heavy Item,30.72,2025-02-02,1Z940891253993,04122 Marshall Pine Apt. 421,Brandonton,ND,28544,IT,04122 Marshall Pine Apt. 421,Brandonton,ND,28544,IT,28.11.130.42,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,59b4005f-95a5-4fe2-9360-f99ad7313b5e,https://www.facebook.com,,True
TXN_00000049,CUST_561005,Stephanie Holt,bwheeler@example.org,,2025-01-19,19:32:50,51.27,paint_set,Klarna,,,,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_3057,B489912,96,System error,False,True,0,4.55,EMP_667,Clover,False,,,5,,Heavy Item,16.71,2025-02-01,9400118611675425,55747 Laura Point,Jeffreymouth,AZ,94692,AU,55747 Laura Point,Jeffreymouth,AZ,94692,AU,7.174.144.93,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,d6c721cb-64a4-4fdd-8bfd-b8f96a9b328b,direct,,True
TXN_00000062,CUST_956550,Joshua Robinson,david05@example.net,366.297.3946x59421,2025-01-20,09:23:17,30.91,brush_set,American Express,American Express,0645,12/26,Creative Canvas Studio,E-commerce - Art Supplies,5970,TRM_9881,B684424,51,Insufficient funds,False,True,0,2.74,EMP_393,WooCommerce,False,,,13,country_mismatch,Express,20.46,2025-01-22,1Z546149944546,674 Rivera Spur Apt. 154,Maryberg,TN,31004,NL,5166 Huynh Skyway,South Kayla,SC,09740,AU,178.184.183.8,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,20b17e30-29eb-4cca-9f09-11ec0005871b,paid_search,country_mismatch,True
