transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000237,CUST_357340,Anthony Howard,michellecarroll@example.net,616.826.6948,2025-01-16,09:40:04,312.51,brake_service,Check,,,,Mike's Auto Repair,Automotive Service,7538,TRM_5288,B287227,00,Approved,False,True,0,27.74,EMP_623,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000289,CUST_767713,Lynn Bailey,taylorjohn@example.org,820-918-5655,2025-01-16,14:01:11,53.95,inspection,American Express,American Express,1989,08/28,Mike's Auto Repair,Automotive Service,7538,TRM_2288,B831114,00,Approved,True,False,0,4.79,EMP_418,WooCommerce,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000562,CUST_789520,Andrew Walter,amandabrown@example.org,001-960-910-0454x783,2025-01-16,14:37:31,34.63,inspection,Mastercard,Mastercard,5190,10/26,Mike's Auto Repair,Automotive Service,7538,TRM_6603,B391818,00,Approved,False,True,0,3.07,EMP_974,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000419,CUST_783065,Jordan Smith,kristin83@example.net,,2025-01-16,16:36:36,432.16,brake_service,American Express,American Express,2493,01/26,Mike's Auto Repair,Automotive Service,7538,TRM_6341,B734712,00,Approved,True,False,0,38.35,EMP_653,Shopify POS,True,stolen_card,"stolen_card_pattern,unusually_high_amount,new_account_high_value",85,"stolen_card_pattern,unusually_high_amount,new_account_high_value",N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"stolen_card_pattern,unusually_high_amount,new_account_high_value",False
TXN_00000702,CUST_182774,Heather Campbell,patricia66@example.org,745-294-1051x56615,2025-01-18,08:35:27,59.0,oil_change,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_9246,B379051,00,Approved,False,True,0,5.24,EMP_971,Clover,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000628,CUST_600937,Maria Gomez,nicole15@example.org,001-754-656-2909x953,2025-01-18,10:39:17,43.33,inspection,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_7375,B641588,00,Approved,False,True,0,3.85,EMP_344,WooCommerce,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000302,CUST_447680,Donna Alvarez,,377.439.8777x012,2025-01-18,12:00:03,149.67,diagnostic,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_1260,B211186,00,Approved,False,False,0,13.28,EMP_447,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000131,CUST_331875,Jacqueline Rodriguez,,817-599-5298x1685,2025-01-18,15:37:39,935.21,major_repair,Mastercard,Mastercard,6194,06/26,Mike's Auto Repair,Automotive Service,7538,TRM_9630,B437351,00,Approved,True,False,0,83.0,EMP_679,WooCommerce,False,,,20,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000037,CUST_484633,Rebecca Murray,craigneal@example.com,705-232-9763x95497,2025-01-18,17:41:01,65.58,oil_change,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_7165,B745622,00,Approved,False,True,0,5.82,EMP_690,WooCommerce,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000017,CUST_724705,Lauren Chaney,baxterbrad@example.org,001-290-451-1106x0713,2025-01-19,09:38:52,151.23,tire_service,Mastercard,Mastercard,5653,12/26,Mike's Auto Repair,Automotive Service,7538,TRM_1019,B373150,51,Insufficient funds,False,True,0,13.42,EMP_214,Toast,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000479,CUST_828023,Dale Sims,ramosbrandon@example.org,(511)816-3395x2963,2025-01-19,10:38:30,469.62,brake_service,Mastercard,Mastercard,8992,04/35,Mike's Auto Repair,Automotive Service,7538,TRM_5392,B542429,00,Approved,False,True,0,41.68,EMP_104,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000601,CUST_973065,Brian Peters,bergertimothy@example.org,331.996.5387,2025-01-19,11:15:35,31.27,inspection,Check,,,,Mike's Auto Repair,Automotive Service,7538,TRM_4255,B837134,00,Approved,False,True,0,2.78,EMP_163,Toast,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000462,CUST_230700,Chelsea Donaldson,francis12@example.net,443-935-6034,2025-01-19,11:40:43,226.76,tire_service,Mastercard,Mastercard,7970,12/27,Mike's Auto Repair,Automotive Service,7538,TRM_6105,B869927,00,Approved,True,False,0,20.12,EMP_776,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000670,CUST_417323,Briana George,xtorres@example.com,645.933.8336x86200,2025-01-19,15:55:43,61.86,oil_change,Mastercard,Mastercard,4409,08/28,Mike's Auto Repair,Automotive Service,7538,TRM_4112,B334040,00,Approved,True,False,0,5.49,EMP_168,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000114,CUST_591245,Lisa Rogers,madisonsmith@example.net,291-583-7319,2025-01-19,16:33:26,173.95,diagnostic,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_3739,B286527,00,Approved,False,True,0,15.44,EMP_111,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000758,CUST_224986,Daniel Rodriguez,lindagonzalez@example.org,(410)821-6035x40766,2025-01-20,10:31:27,75.68,oil_change,Mastercard,Mastercard,6242,10/33,Mike's Auto Repair,Automotive Service,7538,TRM_6017,B100464,00,Approved,True,False,0,6.72,EMP_708,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000355,CUST_683140,Tricia Lee,romeromichael@example.net,,2025-01-20,10:31:49,54.18,oil_change,Check,,,,Mike's Auto Repair,Automotive Service,7538,TRM_9338,B899354,00,Approved,True,False,0,4.81,EMP_239,Clover,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000241,CUST_660718,Samantha Rowland MD,rhondastout@example.org,925.860.6575,2025-01-21,08:45:08,49.55,oil_change,Visa,Visa,0487,08/31,Mike's Auto Repair,Automotive Service,7538,TRM_7840,B725278,00,Approved,True,False,0,4.4,EMP_256,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000111,CUST_460081,Luis Harris,johningram@example.org,,2025-01-21,09:52:20,51.11,oil_change,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_3573,B840409,00,Approved,False,True,0,4.54,EMP_833,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000309,CUST_387130,Ryan Bauer,jeffrey55@example.org,206-228-0828x45692,2025-01-21,10:53:39,1534.4,major_repair,American Express,American Express,5384,05/33,Mike's Auto Repair,Automotive Service,7538,TRM_9942,B795992,14,Invalid card number,True,False,0,136.18,EMP_418,Square,False,,,30,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000443,CUST_946486,Jamie Wright,sarahjohnson@example.com,962.374.2125x701,2025-01-21,11:38:52,1404.16,major_repair,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_4495,B699552,00,Approved,False,True,0,124.62,EMP_268,Lightspeed,False,,,30,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000543,CUST_680222,Jimmy Hahn,jeremy49@example.com,001-545-566-6610x099,2025-01-21,14:12:44,42.26,oil_change,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_3786,B479525,00,Approved,False,True,0,3.75,EMP_571,Magento,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000291,CUST_828023,Dale Sims,ramosbrandon@example.org,(511)816-3395x2963,2025-01-21,14:28:26,60.93,oil_change,Mastercard,Mastercard,7921,05/29,Mike's Auto Repair,Automotive Service,7538,TRM_5232,B209044,00,Approved,False,True,0,5.41,EMP_188,Clover,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000529,CUST_720864,Javier Wyatt,,840-486-0207,2025-01-21,14:59:05,180.06,brake_service,Visa,Visa,5563,12/31,Mike's Auto Repair,Automotive Service,7538,TRM_7540,B529233,00,Approved,True,False,0,15.98,EMP_113,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000061,CUST_396569,Michelle Garza,,,2025-01-21,15:11:31,51.56,oil_change,Mastercard,Mastercard,7772,06/27,Mike's Auto Repair,Automotive Service,7538,TRM_3252,B128442,00,Approved,False,True,0,4.58,EMP_365,Toast,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000613,CUST_364859,Ashley Booth,,(814)293-0408x895,2025-01-21,16:28:35,1141.97,major_repair,American Express,American Express,9492,05/28,Mike's Auto Repair,Automotive Service,7538,TRM_3638,B273438,00,Approved,True,False,0,101.35,EMP_360,Toast,False,,,30,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000698,CUST_423479,Yvonne Parks,,,2025-01-22,08:28:10,345.01,brake_service,Visa,Visa,4268,12/26,Mike's Auto Repair,Automotive Service,7538,TRM_4570,B175257,00,Approved,False,True,0,30.62,EMP_592,Magento,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000774,CUST_133544,Robert Leon,parkernancy@example.com,001-727-338-1366x6903,2025-01-22,08:40:05,38.58,inspection,Mastercard,Mastercard,4005,10/26,Mike's Auto Repair,Automotive Service,7538,TRM_5428,B278953,00,Approved,True,False,0,3.42,EMP_211,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000599,CUST_218097,Candice Campos,clarkeangelica@example.net,001-789-295-5983x15584,2025-01-22,09:28:00,775.82,emergency_service,Check,,,,Mike's Auto Repair,Automotive Service,7538,TRM_1115,B794221,00,Approved,True,False,0,68.85,EMP_841,Shopify POS,False,,,20,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000518,CUST_716264,Sandra Clark,scox@example.com,+1-951-873-7538x42601,2025-01-22,09:38:05,93.33,inspection,American Express,American Express,2043,05/31,Mike's Auto Repair,Automotive Service,7538,TRM_5444,B698351,00,Approved,True,False,0,8.28,EMP_329,Magento,True,synthetic_identity,"synthetic_identity_pattern,identity_testing",85,"synthetic_identity_pattern,identity_testing",N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"synthetic_identity_pattern,identity_testing",False
TXN_00000615,CUST_900821,Jared Holder,uvaughan@example.net,,2025-01-22,11:19:42,44.98,oil_change,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_9696,B311476,00,Approved,False,True,0,3.99,EMP_973,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000786,CUST_973065,Brian Peters,bergertimothy@example.org,331.996.5387,2025-01-22,11:47:31,602.55,brake_service,Check,,,,Mike's Auto Repair,Automotive Service,7538,TRM_7601,B678794,00,Approved,False,True,0,53.48,EMP_111,WooCommerce,False,,,20,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000208,CUST_497773,Taylor Thomas,cristina89@example.net,807-645-0579,2025-01-22,11:58:50,51.79,oil_change,Visa,Visa,3878,08/34,Mike's Auto Repair,Automotive Service,7538,TRM_4068,B363364,00,Approved,True,False,0,4.6,EMP_182,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000795,CUST_957220,Justin Thompson,pallen@example.net,+1-574-526-5541x480,2025-01-23,11:56:08,897.46,major_repair,Cash,,,,Mike's Auto Repair,Automotive Service,7538,TRM_8738,B410216,00,Approved,True,False,0,79.65,EMP_849,Lightspeed,False,,,20,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
