transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000890,CUST_130952,Kevin Callahan,amcgee@example.com,284-747-1934,2025-01-16,08:23:05,82.13,baby_food,Visa,Visa,5634,11/25,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_9152,B565587,65,Activity limit exceeded,True,False,0,7.29,EMP_218,Shopify POS,True,stolen_card,"stolen_card_pattern,rush_shipping,unusually_high_amount,suspicious_shipping_location,new_account_high_value,billing_shipping_mismatch,payment_declined",78,"stolen_card_pattern,rush_shipping,unusually_high_amount,suspicious_shipping_location,new_account_high_value,billing_shipping_mismatch",Express,15.15,2025-01-19,9400123792669255,78413 Carla Key Apt. 389,South Ericburgh,MN,10973,AU,78413 Carla Key Apt. 389,Port Melissa,MN,10973,RO,152.36.64.95,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,5d1e7d6e-261d-4d0a-8352-430ed8b03310,https://www.facebook.com,"stolen_card_pattern,rush_shipping,unusually_high_amount,suspicious_shipping_location,new_account_high_value,billing_shipping_mismatch",True
TXN_00000301,CUST_647844,Laurie Hammond,mmitchell@example.org,4595026435,2025-01-16,09:13:14,255.09,car_seat,PayPal,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_4276,B543393,00,Approved,False,True,0,22.64,EMP_718,Shopify POS,False,,,23,rush_expensive,Express,25.18,2025-01-18,TBA547014996319,35234 Beltran Gateway Apt. 851,Lake Lindahaven,MP,61491,FR,35234 Beltran Gateway Apt. 851,Lake Lindahaven,MP,61491,FR,31.131.86.164,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,a798cb0e-34ba-41a4-82b2-a6fec8746a42,https://www.facebook.com,rush_expensive,True
TXN_00001178,CUST_620390,Michele Nichols,amykim@example.org,,2025-01-16,09:39:28,173.52,stroller,Apple Pay,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_9527,B302155,00,Approved,False,True,0,15.4,EMP_466,Lightspeed,False,,,15,,Standard,7.8,2025-01-24,TBA802285154762,07202 Joseph Brook,New Morganburgh,CO,40355,DE,07202 Joseph Brook,New Morganburgh,CO,40355,DE,97.214.146.107,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,3c6783ea-f4c6-40f5-bb7f-a628abc7b350,https://www.facebook.com,,True
TXN_00000048,CUST_308115,Christopher Johnson,timothyjenkins@example.com,,2025-01-16,11:03:54,223.27,car_seat,Apple Pay,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_7040,B697693,00,Approved,False,True,0,19.82,EMP_957,Square,False,,,15,,Standard,7.24,2025-01-21,TBA390452178483,138 Nichole Meadow,Garciachester,ME,27270,US,138 Nichole Meadow,Garciachester,ME,27270,US,185.216.46.153,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,808e47c4-60ac-4d7a-b009-ce772181cbdc,direct,,True
TXN_00000036,CUST_272482,Tracy Anderson,shahcrystal@example.net,364-665-6486x7484,2025-01-16,11:31:18,289.73,car_seat,Discover,Discover,1893,05/34,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_8418,B346225,00,Approved,False,True,0,25.71,EMP_458,Square,False,,,15,,Standard,8.52,2025-01-23,9400768995364809,7588 Hernandez Point,West Brad,FM,34995,DE,7588 Hernandez Point,West Brad,FM,34995,DE,178.28.57.28,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,583d14c1-a34f-42d0-971f-ada88af883f7,https://www.instagram.com,,True
TXN_00000440,CUST_779277,Toni Huang,nperez@example.org,,2025-01-16,11:33:06,211.49,bulk_supplies,Discover,Discover,4984,12/26,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_5755,B691072,00,Approved,False,True,0,18.77,EMP_848,Square,False,,,15,,Subscription,0.0,2025-01-19,TBA645340202444,30567 Sanchez Stravenue Suite 463,Davidmouth,WY,93254,DE,30567 Sanchez Stravenue Suite 463,Davidmouth,WY,93254,DE,156.235.198.235,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,80967ff9-0b4a-4330-b8c9-48b3a8203560,direct,,True
TXN_00000965,CUST_339408,Tiffany Thomas,sextonlynn@example.net,433-641-9549x473,2025-01-16,11:43:54,41.48,toy,Apple Pay,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_2761,B708829,00,Approved,False,True,0,3.68,EMP_315,Square,False,,,5,,Heavy Item,29.48,2025-01-29,1Z179731552323,63529 Joseph Garden Suite 032,Port Robertview,HI,42396,US,63529 Joseph Garden Suite 032,Port Robertview,HI,42396,US,190.241.148.168,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,e51981ef-e89c-436b-8291-f9bb7626814a,https://www.facebook.com,,True
TXN_00000578,CUST_732659,James Montoya,williammcdonald@example.org,(911)494-0502,2025-01-16,13:07:55,23.6,baby_clothes,Target RedCard,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_1549,B586747,00,Approved,False,True,0,2.09,EMP_133,Shopify POS,False,,,5,,Express,19.98,2025-01-18,1Z211610598483,068 Nicole Plaza,Ryanberg,MS,44402,CA,068 Nicole Plaza,Ryanberg,MS,44402,CA,154.105.209.135,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,efb626e6-e39e-4a4f-be5f-63a94241ad5f,direct,,True
TXN_00001014,CUST_916693,Danielle Valdez,christineflores@example.net,001-397-851-5529x50649,2025-01-16,13:29:58,27.68,baby_food,Target RedCard,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_7952,B604103,00,Approved,False,True,0,2.46,EMP_735,Square,False,,,5,,Expedited,10.48,2025-01-20,TBA646016696049,936 Blake Path,Blairshire,OK,84261,DE,936 Blake Path,Blairshire,OK,84261,DE,205.48.54.155,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,b82e9606-1364-4e99-9ec8-c9c5cd58cc59,https://www.instagram.com,,True
TXN_00001926,CUST_972811,Kelly Wright,michaelrobinson@example.com,,2025-01-16,13:48:21,84.67,diaper_bundle,PayPal,,,,Little Angels Baby Store,E-commerce - Baby & Kids,5641,TRM_1249,B327357,00,Approved,False,False,0,7.51,EMP_942,Clover,False,,,5,,Express,23.61,2025-01-18,1Z955558988463,98222 Johnson Divide,West Justinmouth,OK,29447,US,98222 Johnson Divide,West Justinmouth,OK,29447,US,165.55.188.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,675ca16e-7d1a-4672-80eb-58cfe16e2011,https://www.google.com,,True
