transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00001596,CUST_738792,Elizabeth Oliver,stephanie14@example.net,822-602-4953x845,2025-01-16,08:03:59,60.76,makeup_palette,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_4267,B947496,00,Approved,True,False,0,5.39,EMP_781,Magento,False,,,5,,Standard,5.3,2025-01-22,TBA846992428937,5311 Jensen Viaduct Suite 139,South Matthewmouth,ND,58095,AU,5311 Jensen Viaduct Suite 139,South Matthewmouth,ND,58095,AU,135.219.15.238,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,88219ee5-9118-4d5b-ad50-d909a4711c2a,https://www.facebook.com,,True
TXN_00000008,CUST_881919,John Brown,victorialynch@example.net,490-762-9337x6633,2025-01-16,09:52:13,62.88,foundation,Mastercard,Mastercard,1416,09/32,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_5171,B327836,00,Approved,False,True,0,5.58,EMP_496,Square,False,,,5,,Express,22.47,2025-01-18,TBA734608499308,029 Taylor Drive,Eddieville,WA,74065,CA,029 Taylor Drive,Eddieville,WA,74065,CA,92.34.59.158,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,059f10eb-f835-4d4f-b238-639d3fdf578f,direct,,True
TXN_00001433,CUST_984562,Mrs. Terri Robertson DDS,pgibson@example.net,5528011152,2025-01-16,10:06:05,49.37,makeup_palette,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_3647,B864829,00,Approved,True,False,0,4.38,EMP_448,Shopify POS,False,,,5,,Express,21.76,2025-01-17,TBA821830214355,494 Joanne Unions Apt. 092,Lake Josephtown,IN,98373,ES,494 Joanne Unions Apt. 092,Lake Josephtown,IN,98373,ES,131.149.113.183,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,a10df43b-0ce4-49c4-85fe-ae47e174261f,direct,,True
TXN_00001885,CUST_442068,Jennifer Johnson,keithgarcia@example.org,(996)368-9349x27502,2025-01-16,10:10:06,44.14,skincare_item,Klarna,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_2368,B322496,00,Approved,False,True,0,3.92,EMP_621,Lightspeed,False,,,5,,Express,16.96,2025-01-18,1Z289442740944,7253 Sherri Crossroad,Hernandezshire,AL,56591,US,7253 Sherri Crossroad,Hernandezshire,AL,56591,US,83.100.146.52,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,017d62f2-a9b1-412a-8a25-c040732be11e,direct,,True
TXN_00001074,CUST_982524,Susan Maddox,lallen@example.org,,2025-01-16,10:38:42,25.56,lipstick,Apple Pay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_1226,B359474,00,Approved,False,True,0,2.27,EMP_943,Toast,False,,,5,,Expedited,15.65,2025-01-18,1Z726398559476,7609 Michael Neck,North Joshua,IL,61943,KR,7609 Michael Neck,North Joshua,IL,61943,KR,114.195.201.237,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,c1536e1d-af6e-4dec-a2eb-9a7a782ad288,https://www.facebook.com,,True
TXN_00002167,CUST_836779,Anthony Sloan,beckkathryn@example.org,785-212-5144x7388,2025-01-16,11:09:04,146.45,luxury_item,Klarna,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_2387,B858859,00,Approved,False,False,0,13.0,EMP_207,Square,False,,,15,,Expedited,15.23,2025-01-18,1Z231758806893,69825 Martin Camp,New Ebonystad,AS,19522,CA,69825 Martin Camp,New Ebonystad,AS,19522,CA,10.68.218.226,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,cc56a95f-50d6-4741-a071-75920ab75c40,email_campaign,,True
TXN_00001226,CUST_782781,Judith Barry,swalker@example.net,001-961-583-8076x4841,2025-01-16,11:17:31,108.86,luxury_item,Visa,Visa,9957,05/30,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_7481,B419235,00,Approved,False,True,0,9.66,EMP_388,Shopify POS,False,,,15,,Express,17.83,2025-01-18,1Z274058635184,228 Young River,Berrychester,MI,20520,FR,228 Young River,Berrychester,MI,20520,FR,108.33.74.137,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,93e8f550-4a24-4b32-8716-85655199a620,https://www.instagram.com,,True
TXN_00002006,CUST_395502,Pamela Robinson,,507-894-4541,2025-01-16,14:24:58,43.39,sample_kit,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_9494,B732001,00,Approved,True,False,0,3.85,EMP_705,Lightspeed,False,,,5,,Standard,8.16,2025-01-23,TBA290596296772,00060 Collier Place,Christopherborough,GU,67215,JP,00060 Collier Place,Christopherborough,GU,67215,JP,130.67.193.51,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,c5ae26ec-6e3d-4807-a107-0d30b46253f4,https://www.facebook.com,,True
TXN_00001685,CUST_133728,Jonathan Turner,ortizjames@example.com,001-307-694-2287,2025-01-16,14:35:25,157.26,luxury_item,PayPal,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_5731,B888086,00,Approved,False,True,0,13.96,EMP_720,Clover,False,,,15,,Standard,7.93,2025-01-22,TBA996495325358,883 Villarreal Groves Apt. 236,Castilloberg,NM,78777,CA,883 Villarreal Groves Apt. 236,Castilloberg,NM,78777,CA,118.81.159.22,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,242e9e59-5a13-4f49-afb9-f8c26f0decc4,direct,,True
TXN_00002278,CUST_736414,Lance Davis,ybryant@example.com,812-522-2372,2025-01-16,15:48:01,66.94,makeup_palette,PayPal,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_9540,B122111,00,Approved,True,False,0,5.94,EMP_968,Toast,False,,,5,,International,36.56,2025-02-06,9400649024728879,0907 Emily Crest,Antoniotown,AR,46351,NL,0907 Emily Crest,Antoniotown,AR,46351,NL,165.85.193.218,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,b167b77a-dcd2-498a-8877-da08048cda86,https://www.google.com,,True
TXN_00000243,CUST_700274,Derek Mccarty MD,jleon@example.org,,2025-01-16,16:42:39,80.72,makeup_palette,Klarna,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_5411,B516187,00,Approved,True,False,0,7.16,EMP_875,Clover,False,,,5,,International,25.1,2025-01-24,1Z232872311648,26063 Anderson Parks Suite 814,Nicholasfurt,MI,59276,UK,26063 Anderson Parks Suite 814,Nicholasfurt,MI,59276,UK,177.132.176.251,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,9116bb98-622f-469d-9a89-95be3961227d,email_campaign,,True
TXN_00001789,CUST_981055,Zachary Herrera,,346.572.6636x92070,2025-01-16,19:30:37,54.45,skincare_item,PayPal,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_4109,B999200,00,Approved,False,True,0,4.83,EMP_993,Shopify POS,False,,,5,,Expedited,13.29,2025-01-19,TBA339186028644,89275 Mary Wall Apt. 428,Alvaradoberg,CA,26045,JP,89275 Mary Wall Apt. 428,Alvaradoberg,CA,26045,JP,30.205.148.139,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,0d429532-9c9b-4458-b0c6-3deaf40cf654,https://www.facebook.com,,True
TXN_00000319,CUST_559889,Miss Margaret Gonzalez PhD,yrussell@example.org,,2025-01-17,10:43:57,107.67,makeup_palette,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_9204,B897034,00,Approved,False,True,0,9.56,EMP_834,Square,False,,,15,,Subscription,0.0,2025-01-22,TBA278508488306,487 Patrick Trafficway Suite 240,Port Daniellefort,OH,27224,US,487 Patrick Trafficway Suite 240,Port Daniellefort,OH,27224,US,52.216.213.41,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,e1f5a64b-1b84-4139-b015-c5b9f523bd0f,https://www.google.com,,True
TXN_00001812,CUST_279659,Adriana Hughes,,,2025-01-17,10:47:44,63.48,skincare_item,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_3360,B841264,00,Approved,False,True,0,5.63,EMP_133,Toast,False,,,5,,International,24.86,2025-01-24,TBA683572847645,6815 Lori Pine Apt. 247,Mejiashire,CT,48680,NL,6815 Lori Pine Apt. 247,Mejiashire,CT,48680,NL,28.147.206.18,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,b640d87f-15ee-407d-998f-0cddc98c6f00,email_campaign,,True
TXN_00001440,CUST_992271,Gerald Rivas,kellerelizabeth@example.org,,2025-01-17,10:51:07,89.81,skincare_item,Afterpay,,,,Glow Beauty Co,E-commerce - Beauty & Cosmetics,5977,TRM_2224,B928944,00,Approved,True,False,0,7.97,EMP_417,Square,False,,,5,,Standard,4.2,2025-01-22,TBA826368482483,286 Cindy Roads,Howeborough,MS,46725,AU,286 Cindy Roads,Howeborough,MS,46725,AU,83.139.11.42,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,457a2f67-4b8d-4fa4-b293-d9f184690df6,direct,,True
