transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000642,CUST_959572,Margaret Riley,michael84@example.org,(617)349-9814x3028,2025-01-16,09:29:10,23.63,ebook,Amazon Pay,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_7268,B469683,00,Approved,True,False,0,2.1,EMP_247,Lightspeed,False,,,5,,Standard,6.29,2025-01-22,TBA269822515107,9151 Heather Point,New Ryanstad,OR,66126,SE,9151 Heather Point,New Ryanstad,OR,66126,SE,213.196.154.248,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,98e179d9-aec7-4009-b6dd-4c39224430b6,https://www.google.com,,True
TXN_00001221,CUST_177666,Bradley Bishop,jessicapittman@example.net,001-263-895-0001x28355,2025-01-16,12:14:05,91.24,digital_course,Mastercard,Mastercard,5177,09/28,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_8781,B102318,00,Approved,False,True,0,8.1,EMP_510,Lightspeed,False,,,5,,Digital Download,0.0,2025-01-16,9400595502868286,87203 Pamela Knolls,Kevinbury,DC,08597,US,87203 Pamela Knolls,Kevinbury,DC,08597,US,129.72.10.81,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,e39922cd-61d1-4ad1-9a41-3f2029df0c10,direct,,True
TXN_00000492,CUST_968342,James Summers,evelyn10@example.org,818.957.4643x26410,2025-01-16,12:25:03,14.59,ebook,Apple Pay,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_9927,B818093,00,Approved,False,True,0,1.29,EMP_526,Square,False,,,5,,Digital Download,0.0,2025-01-16,1Z825903131264,0876 John Springs,Christopherstad,PA,18990,SE,0876 John Springs,Christopherstad,PA,18990,SE,95.245.168.88,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,f80092f5-12bd-4a9b-8510-d619cf7cdfdb,https://www.instagram.com,,True
TXN_00001552,CUST_132737,Robert Brown,parkerkatherine@example.org,,2025-01-16,12:54:21,23.04,paperback,PayPal,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_7873,B590794,00,Approved,False,True,0,2.04,EMP_806,Magento,False,,,5,,International,39.15,2025-02-03,9400907624986778,1618 Colon River Apt. 168,Kimberlychester,UT,76761,US,1618 Colon River Apt. 168,Kimberlychester,UT,76761,US,83.10.98.138,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,db28dfb4-56a6-4bb8-97e6-adbb70ca7146,email_campaign,,True
TXN_00000893,CUST_366405,James Morton,,001-673-577-7489x19465,2025-01-16,13:16:17,54.2,paperback,PayPal,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_4186,B809762,00,Approved,False,True,0,4.81,EMP_728,WooCommerce,True,account_takeover,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",92,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",Expedited,10.67,2025-01-18,TBA242446105043,95599 Kane Stream Apt. 857,Taylorland,WV,62482,AU,6937 Caroline Forks Apt. 617,Vincentborough,LA,62482,AU,160.59.20.135,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,fe4f66b0-3bdd-4f17-82fd-556206a96a35,https://www.google.com,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",True
TXN_00000280,CUST_104940,Curtis Nixon,qhenry@example.net,001-856-306-9582x274,2025-01-16,13:31:23,45.94,paperback,PayPal,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_5611,B772755,00,Approved,True,False,0,4.08,EMP_274,Lightspeed,True,stolen_card,"stolen_card_pattern,unusually_high_amount,new_account_high_value",75,"stolen_card_pattern,unusually_high_amount,new_account_high_value",Standard,8.74,2025-01-23,TBA164636372482,65785 Clarence Vista Suite 287,North Brianborough,IL,11542,JP,65785 Clarence Vista Suite 287,North Brianborough,IL,11542,JP,3.60.228.177,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,c72045fb-ed80-4056-b926-6f557447010e,email_campaign,"stolen_card_pattern,unusually_high_amount,new_account_high_value",True
TXN_00000251,CUST_436438,Anna Hill,daniel80@example.net,001-876-671-8772x22686,2025-01-16,14:36:00,20.67,ebook,Visa,Visa,4801,06/31,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_8876,B825982,00,Approved,False,True,0,1.83,EMP_742,Shopify POS,False,,,5,,International,42.26,2025-02-06,TBA776600282274,6194 Terrell Ridge Suite 038,South Jose,LA,93529,IT,6194 Terrell Ridge Suite 038,South Jose,LA,93529,IT,67.102.171.35,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,bc0a6eeb-786a-46d1-9668-879f64023290,https://www.facebook.com,,True
TXN_00000317,CUST_619440,Candace Vega,colton89@example.net,,2025-01-16,16:12:02,42.13,hardcover,Amazon Pay,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_8969,B799706,00,Approved,False,True,0,3.74,EMP_375,Magento,False,,,5,,International,29.24,2025-01-27,TBA308865665623,9304 Moore Dam,Lake Mary,TX,87966,IT,9304 Moore Dam,Lake Mary,TX,87966,IT,22.55.169.119,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,d5e36cd9-852e-43d5-b8ca-78b7cae95c20,direct,,True
TXN_00000239,CUST_885778,Christopher Brown,,,2025-01-16,18:11:05,10.72,paperback,PayPal,,,,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_5424,B725890,00,Approved,True,False,0,0.95,EMP_870,Clover,False,,,13,country_mismatch,Standard,4.71,2025-01-22,9400741312383733,42564 Cox Manors,Sharonside,UT,08975,IN,772 Paul Estates,New John,IA,81140,JP,221.215.214.183,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,f838790e-2951-4d38-9617-f709d234fc56,https://www.facebook.com,country_mismatch,True
TXN_00000629,CUST_586649,Teresa Smith,jeffrey03@example.org,001-847-525-8695x11758,2025-01-16,19:14:58,11.12,paperback,Visa,Visa,4838,11/28,Digital Bookshelf,E-commerce - Books & Media,5942,TRM_8842,B580416,00,Approved,False,True,0,0.99,EMP_328,Magento,False,,,5,,International,42.34,2025-01-24,1Z562844636651,1679 Morton Glens,Rojastown,MD,37228,IN,1679 Morton Glens,Rojastown,MD,37228,IN,113.55.147.192,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,a632019a-b319-4754-9ca9-30c1b20826ce,https://www.facebook.com,,True
