transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00001562,CUST_178815,Lydia Perry,palmereric@example.net,769-860-7751,2025-01-16,07:29:41,6.43,coffee,Mobile Payment,,,,Bean There Coffee,Coffee Shop,5814,TRM_9951,B182326,00,Approved,False,True,0.76,0.57,EMP_909,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000518,CUST_579011,Pamela Ferguson,powelldawn@example.net,976-996-5368,2025-01-16,08:23:56,6.67,coffee,Cash,,,,Bean There Coffee,Coffee Shop,5814,TRM_8134,B537786,14,Invalid card number,True,False,0.0,0.59,EMP_322,Lightspeed,True,stolen_card,"stolen_card_pattern,new_account_high_value",79,"stolen_card_pattern,new_account_high_value",N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"stolen_card_pattern,new_account_high_value",False
TXN_00000324,CUST_750537,Hannah Goodwin,youngjacqueline@example.com,(449)730-9802x54654,2025-01-16,09:14:57,12.77,combo_meal,Mobile Payment,,,,Bean There Coffee,Coffee Shop,5814,TRM_5581,B677072,05,Do not honor,True,False,0.0,1.13,EMP_481,Magento,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000684,CUST_239920,Jesse Taylor,gary83@example.org,7746423348,2025-01-16,16:16:37,12.51,sandwich,Mastercard,Mastercard,0931,02/29,Bean There Coffee,Coffee Shop,5814,TRM_7278,B757978,00,Approved,False,True,1.58,1.11,EMP_655,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001813,CUST_445161,Ricky Hall,jessicacallahan@example.org,,2025-01-16,16:40:56,6.43,coffee,Visa,Visa,2882,01/26,Bean There Coffee,Coffee Shop,5814,TRM_8902,B744158,00,Approved,True,False,0.0,0.57,EMP_335,WooCommerce,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001841,CUST_389540,Steven Soto,kimberly11@example.net,861.433.0030x85720,2025-01-17,07:28:26,10.37,sandwich,Mobile Payment,,,,Bean There Coffee,Coffee Shop,5814,TRM_1312,B537693,00,Approved,False,True,1.57,0.92,EMP_454,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000273,CUST_329271,Diane Walter,mendozadana@example.com,001-635-747-8542x274,2025-01-17,08:44:26,9.1,coffee,Cash,,,,Bean There Coffee,Coffee Shop,5814,TRM_8686,B718254,00,Approved,True,False,0.97,0.81,EMP_115,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001977,CUST_504059,Sean Lawson,serranoedward@example.net,329-970-7552,2025-01-17,09:05:45,4.14,pastry,Cash,,,,Bean There Coffee,Coffee Shop,5814,TRM_6543,B405931,00,Approved,False,False,0.0,0.37,EMP_243,Lightspeed,False,,,25,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000101,CUST_491681,Eduardo Booker,moodyjim@example.com,994.671.0958x50309,2025-01-17,09:17:11,9.89,combo_meal,Visa,Visa,3500,11/25,Bean There Coffee,Coffee Shop,5814,TRM_7468,B155785,00,Approved,False,True,1.24,0.88,EMP_885,Magento,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001714,CUST_457457,Kimberly Crawford,spencerjulie@example.com,,2025-01-17,09:36:10,5.7,pastry,Visa,Visa,0422,02/28,Bean There Coffee,Coffee Shop,5814,TRM_7857,B702134,00,Approved,True,False,0.75,0.51,EMP_314,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
