transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000437,CUST_345010,Allen Salas PhD,vreyes@example.org,544-370-3440x6242,2025-01-16,10:03:31,126.87,cleaning,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_5262,B254733,00,Approved,True,False,0,11.26,EMP_847,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000030,CUST_764574,Seth Morgan,forbesrobert@example.net,,2025-01-16,11:24:23,129.22,cleaning,Visa,Visa,5324,05/31,Downtown Dental Clinic,Healthcare,8021,TRM_7976,B685713,00,Approved,False,True,0,11.47,EMP_979,Magento,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000596,CUST_250633,Virginia Grimes,,+1-673-645-9490x02427,2025-01-17,09:13:48,110.89,cleaning,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_8110,B613835,00,Approved,True,False,0,9.84,EMP_532,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000127,CUST_272223,Cory Clark,qwood@example.org,,2025-01-17,10:09:17,126.19,cleaning,Visa,Visa,9417,09/34,Downtown Dental Clinic,Healthcare,8021,TRM_2377,B348312,00,Approved,True,False,0,11.2,EMP_295,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000124,CUST_929688,Timothy Allen,,001-765-566-4834x477,2025-01-17,15:36:47,285.65,emergency,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_5852,B284100,00,Approved,False,True,0,25.35,EMP_792,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000129,CUST_775683,Willie Rose,wardwilliam@example.com,328-559-3854x8480,2025-01-17,16:46:33,58.74,consultation,American Express,American Express,9793,01/26,Downtown Dental Clinic,Healthcare,8021,TRM_2985,B330621,00,Approved,False,True,0,5.21,EMP_203,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000067,CUST_128592,Tiffany Ramirez,robertsmiguel@example.net,,2025-01-18,08:34:32,239.35,filling,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_2749,B423277,00,Approved,False,True,0,21.24,EMP_269,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000591,CUST_708286,Kristi Kirk,robertsmelissa@example.com,,2025-01-18,14:28:52,1114.31,crown,Mastercard,Mastercard,5317,07/27,Downtown Dental Clinic,Healthcare,8021,TRM_2099,B518195,00,Approved,False,True,0,98.9,EMP_904,Magento,False,,,30,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000332,CUST_437090,Tammy Gonzales,belindaclark@example.net,6729427319,2025-01-18,15:46:40,268.0,filling,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_3849,B118141,05,Do not honor,True,False,0,23.79,EMP_945,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000460,CUST_863830,Kristin Lamb,hendersondavid@example.net,707.531.7328,2025-01-19,14:09:14,133.5,cleaning,American Express,American Express,9755,01/32,Downtown Dental Clinic,Healthcare,8021,TRM_6972,B448676,00,Approved,True,False,0,11.85,EMP_446,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000347,CUST_244171,Debbie Lee,karacolon@example.net,,2025-01-19,15:31:56,139.89,cleaning,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_5961,B515786,00,Approved,False,True,0,12.42,EMP_463,Toast,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000019,CUST_502235,Austin Williams,rodney83@example.com,,2025-01-19,15:32:12,194.45,filling,American Express,American Express,2834,05/31,Downtown Dental Clinic,Healthcare,8021,TRM_4144,B542990,00,Approved,False,True,0,17.26,EMP_509,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000423,CUST_963391,Andrew Figueroa,kathleenclark@example.com,,2025-01-19,15:56:40,150.98,cleaning,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_1641,B312752,00,Approved,False,True,0,13.4,EMP_826,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000035,CUST_141593,Christopher Burns,,001-486-484-6808x205,2025-01-20,15:05:13,325.49,emergency,Mastercard,Mastercard,4557,06/33,Downtown Dental Clinic,Healthcare,8021,TRM_3543,B381162,00,Approved,False,True,0,28.89,EMP_233,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000128,CUST_898481,Jennifer Kelly,peterwu@example.com,(816)289-9496,2025-01-20,15:19:00,102.44,consultation,Mastercard,Mastercard,5848,06/27,Downtown Dental Clinic,Healthcare,8021,TRM_6932,B442482,00,Approved,False,True,0,9.09,EMP_700,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000053,CUST_712756,John Lopez,jeffery74@example.net,(828)576-6710,2025-01-21,09:27:17,128.04,consultation,Visa,Visa,0399,05/29,Downtown Dental Clinic,Healthcare,8021,TRM_2176,B771230,00,Approved,False,True,0,11.36,EMP_919,Toast,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000295,CUST_898481,Jennifer Kelly,,,2025-01-21,10:35:33,128.73,cleaning,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_1133,B426137,00,Approved,False,True,0,11.42,EMP_265,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000544,CUST_959398,Julia Cox,phammadison@example.com,,2025-01-21,11:06:00,423.67,extraction,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_1053,B148736,00,Approved,True,False,0,37.6,EMP_863,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000452,CUST_117334,Danielle Randall,derrickrios@example.com,,2025-01-21,11:09:04,376.4,emergency,Visa,Visa,1501,02/32,Downtown Dental Clinic,Healthcare,8021,TRM_8285,B350017,00,Approved,False,True,0,33.41,EMP_287,Toast,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000501,CUST_452669,Derrick Walker,zlong@example.net,616.365.4867,2025-01-21,14:39:11,180.26,filling,Care Credit,,,,Downtown Dental Clinic,Healthcare,8021,TRM_5070,B515858,00,Approved,False,False,0,16.0,EMP_438,Magento,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000092,CUST_205252,Joseph Kelly,joseph82@example.net,,2025-01-21,15:55:56,433.08,extraction,Visa,Visa,3436,05/35,Downtown Dental Clinic,Healthcare,8021,TRM_7135,B439457,00,Approved,False,True,0,38.44,EMP_823,Toast,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000588,CUST_616794,Kelli Baker,vjohnson@example.org,,2025-01-22,09:09:17,413.24,extraction,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_7268,B476089,00,Approved,False,True,0,36.68,EMP_885,WooCommerce,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000327,CUST_838208,Kelly Booth,ryan92@example.net,291-372-8957,2025-01-23,09:50:51,106.01,consultation,Cash,,,,Downtown Dental Clinic,Healthcare,8021,TRM_9177,B400947,00,Approved,False,True,0,9.41,EMP_452,Square,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000029,CUST_157617,Rachel Walker,ayalatyler@example.com,,2025-01-23,15:06:58,70.56,consultation,Mastercard,Mastercard,2132,05/35,Downtown Dental Clinic,Healthcare,8021,TRM_8022,B752100,00,Approved,False,True,0,6.26,EMP_458,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000174,CUST_764574,Seth Morgan,forbesrobert@example.net,+1-290-932-5753x90183,2025-01-24,10:17:13,97.2,cleaning,Visa,Visa,0108,02/30,Downtown Dental Clinic,Healthcare,8021,TRM_7637,B293135,00,Approved,False,True,0,8.63,EMP_934,Clover,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000386,CUST_549074,Heidi Benson,,,2025-01-24,14:56:05,121.33,consultation,American Express,American Express,5610,01/35,Downtown Dental Clinic,Healthcare,8021,TRM_8307,B803196,00,Approved,False,True,0,10.77,EMP_166,Square,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
