transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000173,CUST_328139,Robert Mcconnell,marymoore@example.org,,2025-01-16,09:50:02,39.03,digital_template,Stripe,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_5274,B697348,00,Approved,True,False,0,3.46,EMP_906,WooCommerce,True,account_takeover,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",91,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",Email Delivery,0,2025-01-16,9400548444524791,023 Amy Mountain,Josephhaven,MN,23991,JP,511 Acosta Mountain Apt. 516,New Robin,IA,23991,JP,223.53.231.112,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,22fdb7a9-2965-42d9-b2a3-babb15f59746,paid_search,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",True
TXN_00000767,CUST_620343,Mark Moody,williamsdennis@example.org,+1-526-781-8437x70895,2025-01-16,09:53:05,765.42,enterprise_license,Stripe,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_7990,B518182,51,Insufficient funds,False,True,0,67.93,EMP_933,Square,False,,,33,high_value_international,Cloud Access,0,2025-01-16,TBA638787767703,1108 Ashley Port,Shannonchester,VI,24827,AU,1108 Ashley Port,Shannonchester,VI,24827,AU,22.248.63.101,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,2e4cd56b-915a-43f6-a38d-367eb30dbc19,https://www.instagram.com,high_value_international,True
TXN_00001779,CUST_155952,Victor Contreras,,,2025-01-16,11:45:00,83.58,online_course,Google Pay,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_4025,B852004,00,Approved,False,True,0,7.42,EMP_948,Toast,False,,,5,,Email Delivery,0,2025-01-16,TBA475226643559,0884 Roberts Land,South Amber,NM,95564,CA,0884 Roberts Land,South Amber,NM,95564,CA,202.22.91.22,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,ec344140-f7d7-4789-a6d9-f613145b16fa,https://www.google.com,,True
TXN_00002586,CUST_959167,Jason Sims,,678-519-6412x15316,2025-01-16,13:14:13,16.19,digital_template,Google Pay,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_9314,B141004,00,Approved,True,False,0,1.44,EMP_320,Shopify POS,False,,,5,,Email Delivery,0,2025-01-16,1Z258887033700,84807 Hernandez Estate,Beckerbury,CT,90187,US,84807 Hernandez Estate,Beckerbury,CT,90187,US,217.237.48.100,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,6d0758e3-4db4-467e-9471-696a0de2d0f3,https://www.facebook.com,,True
TXN_00002459,CUST_524695,Jose Calhoun,matthewbarrett@example.com,,2025-01-16,14:37:58,2.64,stock_photo,Mastercard,Mastercard,9240,04/32,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_2411,B811787,00,Approved,False,True,0,0.23,EMP_999,Magento,False,,,30,,Cloud Access,0,2025-01-16,1Z252472988785,98161 Quinn Circles,Williamberg,ND,68342,KR,98161 Quinn Circles,Williamberg,ND,68342,KR,22.45.213.232,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,ea9c87a9-e4c3-4893-a741-5c3c5c7c061d,https://www.facebook.com,,True
TXN_00000937,CUST_425115,Jared Clark,,,2025-01-16,15:40:34,240.41,custom_design,Apple Pay,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_8685,B283417,00,Approved,False,False,0,21.34,EMP_653,Lightspeed,False,,,15,,Email Delivery,0,2025-01-16,9400879351644292,12936 Nelson Burgs Apt. 137,Jasminemouth,NV,22578,JP,12936 Nelson Burgs Apt. 137,Jasminemouth,NV,22578,JP,163.174.158.71,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,19265967-b64d-432f-9a3a-ee37a49ba19f,paid_search,,True
TXN_00002516,CUST_148062,Luis Monroe,gchavez@example.org,537-559-4689,2025-01-16,15:54:57,72.71,software_license,PayPal,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_8594,B971031,00,Approved,True,False,0,6.45,EMP_977,Magento,False,,,5,,Digital Download,0,2025-01-16,1Z161677285203,5855 Stewart Trail,Wilsonside,WI,28280,US,5855 Stewart Trail,Wilsonside,WI,28280,US,30.138.221.127,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,2e6cfa50-2139-4cb1-9dab-911a82beffff,direct,,True
TXN_00001467,CUST_388826,Ariel Forbes,belindawalker@example.net,,2025-01-16,20:48:53,111.88,online_course,PayPal,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_1054,B813746,00,Approved,True,False,0,9.93,EMP_578,Clover,False,,,15,,Digital Download,0,2025-01-16,9400542094035078,79178 Hayden Shores Suite 333,West Sarah,AR,07906,ES,79178 Hayden Shores Suite 333,West Sarah,AR,07906,ES,77.246.230.8,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,dd671cbe-36b0-4d93-916a-bd901c3f896d,https://www.facebook.com,,True
TXN_00000759,CUST_584440,Kyle Brandt,franklinlewis@example.org,,2025-01-16,21:20:50,44.72,subscription_monthly,Visa,Visa,2218,06/34,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_4509,B392101,00,Approved,True,False,0,3.97,EMP_765,Lightspeed,False,,,5,,Cloud Access,0,2025-01-16,TBA570968115769,80803 Paul Coves Suite 415,North Michelleside,WA,69752,JP,80803 Paul Coves Suite 415,North Michelleside,WA,69752,JP,75.120.102.227,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,24ca34da-fec0-4610-9e8b-ed99a11b5ff7,https://www.instagram.com,,True
TXN_00001854,CUST_409349,Amy Ware,blackmaria@example.org,,2025-01-16,21:45:46,14.76,digital_template,Stripe,,,,PixelPerfect Digital,E-commerce - Digital Products,5815,TRM_1850,B789595,00,Approved,False,True,0,1.31,EMP_279,Clover,False,,,5,,Digital Download,0,2025-01-16,9400956188933610,04264 Johns Mills,New Joshuaborough,SC,96756,FR,04264 Johns Mills,New Joshuaborough,SC,96756,FR,139.48.4.246,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,a197920d-a815-4e94-92fa-60569dafba0e,direct,,True
