transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00001697,CUST_530304,Cassandra Moore,leslie21@example.com,627.560.1188,2025-01-16,08:08:49,31.77,vitamins,Apple Pay,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_8837,B237752,00,Approved,True,False,0,2.82,EMP_991,Square,False,,,5,,Express,21.84,2025-01-17,TBA857434546563,31892 Amanda Cliff,Port Amanda,HI,79166,UK,31892 Amanda Cliff,Port Amanda,HI,79166,UK,198.69.96.155,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,426db5eb-338f-4769-8fc1-648c1b6105e8,https://www.facebook.com,,True
TXN_00001825,CUST_388104,Edwin Kim,christopher34@example.org,355-385-0677x0477,2025-01-16,08:56:04,80.09,subscription,Klarna,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_2716,B978713,00,Approved,True,False,0,7.11,EMP_505,Square,False,,,5,,Subscription,0.0,2025-01-21,TBA490180764393,1250 Joanna Underpass Suite 731,Port Pamela,PR,93483,NZ,1250 Joanna Underpass Suite 731,Port Pamela,PR,93483,NZ,12.19.163.20,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,7daea68c-7daf-4a20-b889-31dc143b04f7,https://www.instagram.com,,True
TXN_00002042,CUST_218301,Michael Johnson,jacqueline24@example.com,607-926-0762,2025-01-16,12:18:23,45.52,pre_workout,Visa,Visa,0173,01/30,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_9481,B847509,00,Approved,True,False,0,4.04,EMP_174,Clover,False,,,5,,Standard,4.35,2025-01-21,9400819249128954,308 Owens Roads Apt. 295,Cummingsbury,VI,22437,NZ,308 Owens Roads Apt. 295,Cummingsbury,VI,22437,NZ,32.68.9.233,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,d972acf8-515b-4a54-8e47-35f675ffe3a9,email_campaign,,True
TXN_00001341,CUST_151958,Angel Perez,jerome78@example.com,,2025-01-16,12:19:02,52.09,meal_replacement,Klarna,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_4452,B835774,00,Approved,False,True,0,4.62,EMP_216,Lightspeed,False,,,5,,Subscription,0.0,2025-01-20,9400791105505505,554 Richard Green,Smithchester,KS,92417,NZ,554 Richard Green,Smithchester,KS,92417,NZ,187.141.213.21,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,0ee8b60f-d001-4fab-b71b-01d67872e370,email_campaign,,True
TXN_00000302,CUST_636128,Sarah Harris,chavezdale@example.com,,2025-01-16,13:28:03,207.2,bulk_order,Visa,Visa,4757,03/31,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_8948,B588489,00,Approved,False,True,0,18.39,EMP_829,WooCommerce,False,,,31,"country_mismatch,rush_expensive",Express,25.24,2025-01-17,9400690723506831,81171 Anna Curve,Jennaville,RI,88774,US,884 Perez Land Suite 930,East Timothy,RI,47401,UK,17.189.114.247,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,ed1f9e83-56aa-4fdc-b7ed-610ea76e1d40,paid_search,"country_mismatch,rush_expensive",True
TXN_00000070,CUST_853239,Crystal Gonzales,,,2025-01-16,17:53:54,29.97,pre_workout,Mastercard,Mastercard,5096,06/33,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_6035,B484020,00,Approved,False,True,0,2.66,EMP_301,WooCommerce,False,,,5,,Standard,7.65,2025-01-21,9400837768637765,79507 Penny Squares Apt. 951,Lake Michelle,DC,39829,NZ,79507 Penny Squares Apt. 951,Lake Michelle,DC,39829,NZ,1.158.223.254,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,533f3138-b1f6-45ce-bbd2-7e12ae90e3ef,email_campaign,,True
TXN_00000354,CUST_151958,Angel Perez,jerome78@example.com,001-905-611-6817,2025-01-16,18:25:28,188.11,bulk_order,Visa,Visa,1501,05/26,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_7941,B916122,00,Approved,False,True,0,16.69,EMP_508,Clover,False,,,15,,Standard,8.38,2025-01-21,9400564323877208,2127 Douglas Estate,Port Justin,OK,76643,AU,2127 Douglas Estate,Port Justin,OK,76643,AU,111.27.149.149,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,09a3e3ae-5254-42ab-8e1f-8167eaeb4342,direct,,True
TXN_00001756,CUST_199863,Edward White,markwoods@example.com,,2025-01-16,18:47:35,43.35,meal_replacement,Apple Pay,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_9962,B569152,00,Approved,False,True,0,3.85,EMP_796,Shopify POS,True,friendly_fraud,"friendly_fraud_pattern,chargeback_risk",95,"friendly_fraud_pattern,chargeback_risk",Subscription,0.0,2025-01-20,1Z190833720687,557 Victoria Manor Suite 433,East David,NH,85505,AU,557 Victoria Manor Suite 433,East David,NH,85505,AU,153.96.50.19,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,6bfea944-39d7-46d8-8842-53ae3620c2f1,paid_search,"friendly_fraud_pattern,chargeback_risk",True
TXN_00001695,CUST_744108,Mrs. Courtney Lopez,jason47@example.net,767.459.7275,2025-01-16,22:24:15,56.58,subscription,American Express,American Express,4115,11/26,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_3141,B282618,00,Approved,True,False,0,5.02,EMP_743,Square,False,,,5,,Expedited,13.19,2025-01-20,TBA324816450699,98874 Flores Glens,East Lynnhaven,WY,59011,CA,98874 Flores Glens,East Lynnhaven,WY,59011,CA,197.77.222.222,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,db5b8aed-42ba-46d5-ae32-ffe3cf3052e7,https://www.instagram.com,,True
TXN_00001150,CUST_817271,Michael Mann,cwilliams@example.org,,2025-01-17,08:22:00,51.14,pre_workout,Klarna,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_3203,B399328,00,Approved,False,True,0,4.54,EMP_824,WooCommerce,True,account_takeover,"account_takeover_pattern,unusual_location",84,"account_takeover_pattern,unusual_location",Expedited,14.52,2025-01-21,9400313363269798,76234 Williams Cliffs Apt. 995,West Catherine,TN,15610,CA,76234 Williams Cliffs Apt. 995,West Catherine,TN,15610,CA,84.186.129.96,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,141d27fb-e7f0-4961-af45-3b508d3a2bd9,direct,"account_takeover_pattern,unusual_location",True
TXN_00002023,CUST_801532,Jacob Green,,,2025-01-17,08:29:21,112.44,vitamins,PayPal,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_8643,B637760,57,Transaction not permitted,False,True,0,9.98,EMP_326,Clover,True,account_takeover,"account_takeover_pattern,unusual_location,unusual_order_size,address_change,payment_declined",92,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",Express,17.86,2025-01-19,1Z359579584534,3993 Catherine Inlet,Port Matthew,MO,77906,UK,16390 Samantha Drive Suite 526,Christophermouth,AR,77906,UK,40.165.250.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,dc49253a-37f8-494b-adc6-a90ab7bb8238,https://www.instagram.com,"account_takeover_pattern,unusual_location,unusual_order_size,address_change",True
TXN_00000383,CUST_703739,Jerry Hernandez,hickmandavid@example.net,001-333-513-4663x50703,2025-01-17,13:01:57,44.27,pre_workout,Mastercard,Mastercard,7432,03/31,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_5347,B117276,00,Approved,False,True,0,3.93,EMP_407,Toast,False,,,5,,Subscription,0.0,2025-01-20,9400811088788545,5522 Ashley Mews,Port Aliciaville,MH,76469,UK,5522 Ashley Mews,Port Aliciaville,MH,76469,UK,140.111.204.152,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,fa75dbae-27a6-4681-b1ae-50f50fda846a,paid_search,,True
TXN_00001124,CUST_895567,Roger Perez,natasha70@example.com,330-607-3989,2025-01-17,17:36:24,125.17,bulk_order,PayPal,,,,Peak Performance Nutrition,E-commerce - Health & Fitness,5499,TRM_1158,B864205,00,Approved,True,False,0,11.11,EMP_178,Toast,False,,,23,country_mismatch,Subscription,0.0,2025-01-20,TBA647567106631,80663 Linda Green,Andersenton,AL,14460,US,0293 Sabrina Mountain Suite 387,East Kevin,CA,86239,NZ,11.37.39.87,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,8461e5d6-b045-484a-8f9f-6cfaac026817,https://www.google.com,country_mismatch,True
