transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000376,CUST_877107,Jenna Kim,kpreston@example.org,+1-626-786-1933x240,2025-01-16,09:32:56,59.54,seasonal_item,Shop Pay,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_2279,B100784,00,Approved,False,True,0,5.28,EMP_754,Clover,False,,,5,,Standard,7.87,2025-01-23,1Z926170709095,711 Parker Knoll Suite 854,Sarahside,IL,45014,FR,711 Parker Knoll Suite 854,Sarahside,IL,45014,FR,168.231.59.230,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,4d13b1ec-d7c2-4a4a-8f76-c38dcbd6b390,email_campaign,,True
TXN_00001061,CUST_945145,Paul Vega,virginiairwin@example.net,330-224-3223x380,2025-01-16,10:22:04,112.62,workshop_kit,Apple Pay,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_8897,B401911,00,Approved,False,True,0,10.0,EMP_183,Clover,False,,,15,,International,17.14,2025-02-02,9400259766118002,841 Brown Landing Suite 972,Milesborough,MD,24635,SE,841 Brown Landing Suite 972,Milesborough,MD,24635,SE,51.76.217.145,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,5f361969-f6e1-4591-b91f-8415e52b2a32,https://www.instagram.com,,True
TXN_00000021,CUST_217886,Sarah Brown,xmiller@example.net,586.339.0419,2025-01-16,10:50:19,189.02,gift_set,PayPal,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_4272,B945355,00,Approved,False,True,0,16.78,EMP_269,Lightspeed,False,,,15,,International,32.57,2025-02-05,9400562096595226,0387 Gibson Key,West Kristin,ID,18319,IT,0387 Gibson Key,West Kristin,ID,18319,IT,102.214.184.169,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,485567be-be7c-4783-b04b-5c45f81e7ef5,email_campaign,,True
TXN_00000364,CUST_451558,Philip Graham,yschultz@example.org,,2025-01-16,11:43:37,45.71,small_item,PayPal,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_8317,B499524,00,Approved,False,True,0,4.06,EMP_924,Lightspeed,False,,,5,,International,27.48,2025-02-06,1Z617968390337,7186 Anthony Stravenue Suite 889,Rollinsborough,NJ,50412,US,7186 Anthony Stravenue Suite 889,Rollinsborough,NJ,50412,US,203.245.99.234,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,7b066ade-9252-45f1-97bc-8c5cdc4676cd,direct,,True
TXN_00001569,CUST_625583,Yvonne Kennedy,sandragardner@example.com,,2025-01-16,12:19:25,111.92,home_decor,Shop Pay,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_9581,B720399,00,Approved,False,True,0,9.93,EMP_948,Clover,False,,,15,,Expedited,12.45,2025-01-20,TBA154207275669,59942 John Drive,Jonesland,AL,33173,US,59942 John Drive,Jonesland,AL,33173,US,108.200.52.69,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,78f845ee-2dd3-4e5a-88a2-31fad5de2c8b,email_campaign,,True
TXN_00000829,CUST_962612,Diane Mitchell,stephenduncan@example.org,001-257-352-5687x546,2025-01-16,14:07:58,199.48,custom_order,Visa,Visa,7754,08/25,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_8512,B301044,00,Approved,True,False,0,17.7,EMP_732,Shopify POS,False,,,15,,Standard,7.09,2025-01-21,1Z303332341484,76740 Michael Radial Apt. 333,New Chelsea,WA,73453,FR,76740 Michael Radial Apt. 333,New Chelsea,WA,73453,FR,42.55.111.90,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,c033845e-e88f-4ac9-9735-f7624f1489f1,paid_search,,True
TXN_00000032,CUST_350074,Susan Washington,evansdiane@example.org,+1-265-836-2422,2025-01-16,14:16:09,88.32,jewelry,PayPal,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_1798,B490214,61,Exceeds withdrawal limit,False,True,0,7.84,EMP_338,Toast,False,,,5,,International,29.25,2025-01-27,9400411799263738,50822 Henry Isle Suite 682,Michaelton,WA,13453,CA,50822 Henry Isle Suite 682,Michaelton,WA,13453,CA,120.187.134.58,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,d6f87a17-d0fc-43ea-a004-8535e93c8e6e,https://www.instagram.com,,True
TXN_00001402,CUST_717494,Daniel Dillon,vfarrell@example.org,+1-331-357-0705x2554,2025-01-16,14:43:37,358.71,home_decor,Google Pay,,,,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_6541,B698083,62,Restricted card,False,True,0,31.84,EMP_747,Lightspeed,True,account_takeover,"account_takeover_pattern,unusual_order_size,payment_declined",78,"account_takeover_pattern,unusual_order_size",Expedited,13.67,2025-01-19,1Z285274038088,9907 Jason Divide Suite 814,Kennethshire,OH,01528,IT,9907 Jason Divide Suite 814,Kennethshire,OH,01528,IT,64.113.4.199,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,a23e956c-79a5-4a57-bbc5-1d501a44f716,email_campaign,"account_takeover_pattern,unusual_order_size",True
TXN_00001193,CUST_556014,Joseph Garcia,ogarza@example.org,292-663-8491x834,2025-01-16,14:45:01,219.3,gift_set,Visa,Visa,4528,02/30,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_9861,B822626,00,Approved,False,True,0,19.46,EMP_202,Square,False,,,15,,International,44.38,2025-02-05,9400689406081674,58107 William Square,Hudsonmouth,MN,83943,FR,58107 William Square,Hudsonmouth,MN,83943,FR,86.208.92.133,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,f5df4069-3fcc-4041-a1a2-1bf13d749d9a,paid_search,,True
TXN_00000797,CUST_997054,Rhonda Garcia,zwilson@example.net,230-612-8939x3737,2025-01-16,15:42:06,124.28,seasonal_item,Visa,Visa,3024,08/26,Artisan Crafts Online,E-commerce - Handmade,5969,TRM_7653,B513813,00,Approved,False,True,0,11.03,EMP_173,Magento,False,,,15,,Expedited,15.68,2025-01-20,1Z775486979072,737 Robin Stream,New Kelly,UT,53990,IT,737 Robin Stream,New Kelly,UT,53990,IT,109.123.119.111,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,8dde08ad-a592-4603-8571-672f1b2014da,https://www.instagram.com,,True
