transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000311,CUST_750356,Tanner Wagner,ucarpenter@example.org,852-422-8352,2025-01-16,09:09:30,34.29,subscription_box,Chewy Pay,,,,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_7279,B879942,00,Approved,False,True,0,3.04,EMP_232,Clover,False,,,5,,Expedited,15.09,2025-01-20,9400937826905873,950 Herrera Station Apt. 046,New Jamie,IA,11124,AU,950 Herrera Station Apt. 046,New Jamie,IA,11124,AU,202.79.201.91,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,2c9467ef-6b31-4e83-b104-adc5fcdef574,direct,,True
TXN_00001081,CUST_147552,Michelle Jackson,wilsonsamantha@example.net,8984223233,2025-01-16,09:57:49,35.57,grooming_supplies,Discover,Discover,7960,05/27,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_2693,B474398,00,Approved,True,False,0,3.16,EMP_702,WooCommerce,False,,,5,,Expedited,15.51,2025-01-19,1Z401889577264,47186 James Passage,Jessicaland,MS,85514,UK,47186 James Passage,Jessicaland,MS,85514,UK,144.105.191.246,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,0bb36839-4593-473b-b058-21a8e1facff7,https://www.google.com,,True
TXN_00000626,CUST_232488,Aimee Smith,,,2025-01-16,12:05:19,50.46,pet_bed,Discover,Discover,6514,07/30,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_1454,B592362,00,Approved,False,True,0,4.48,EMP_960,WooCommerce,False,,,5,,Standard,4.69,2025-01-21,1Z801556194588,7939 Obrien Falls,Paulland,HI,31270,AU,7939 Obrien Falls,Paulland,HI,31270,AU,7.0.72.48,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,2fde5732-c9f7-4280-9b58-c4c179e6ce3a,paid_search,,True
TXN_00000662,CUST_269643,Karen Holloway,matthewvasquez@example.org,,2025-01-16,12:41:48,15.46,cat_toy,Apple Pay,,,,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_5884,B396033,00,Approved,True,False,0,1.37,EMP_631,WooCommerce,False,,,5,,Subscription,0.0,2025-01-22,9400641685631582,801 Reyes Junction,Port Paultown,IN,30887,US,801 Reyes Junction,Port Paultown,IN,30887,US,20.44.206.107,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,8bac627e-eb5f-489f-8c6c-7dec550c1cf2,https://www.instagram.com,,True
TXN_00000751,CUST_956891,Lisa Nguyen,thompsonerin@example.net,,2025-01-16,12:55:02,54.51,pet_food,Visa,Visa,5748,12/33,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_1509,B511527,00,Approved,True,False,0,4.84,EMP_498,Shopify POS,False,,,5,,Subscription,0.0,2025-01-20,1Z455318387426,3834 Lopez Locks,North Paulton,PW,70519,UK,75161 Gray Shore,Traciport,MT,10912,UK,156.172.180.197,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,240e3e5d-aa14-40d8-9955-534ec84ee409,paid_search,,True
TXN_00001589,CUST_625540,Lori Harris,rtaylor@example.com,001-991-961-1782x5884,2025-01-16,12:56:58,20.21,pet_food,PayPal,,,,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_1523,B136063,00,Approved,False,True,0,1.79,EMP_877,Shopify POS,False,,,5,,Auto-Ship,0.0,2025-01-20,1Z431221292505,7458 Phillips Loaf Apt. 936,New Robertview,MS,51823,US,7458 Phillips Loaf Apt. 936,New Robertview,MS,51823,US,101.106.210.105,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,2a3f3444-743e-4b09-9478-8f342713e48b,https://www.facebook.com,,True
TXN_00001344,CUST_815150,Carrie Herrera,shelbyfischer@example.com,+1-259-392-7292x372,2025-01-16,13:21:31,61.78,pet_bed,Mastercard,Mastercard,2019,04/35,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_2551,B108156,00,Approved,False,True,0,5.48,EMP_456,Magento,True,friendly_fraud,"friendly_fraud_pattern,chargeback_risk",100,"friendly_fraud_pattern,chargeback_risk",Auto-Ship,0.0,2025-01-23,9400386240638290,224 Elliott Drives Apt. 310,Adammouth,AK,40985,US,224 Elliott Drives Apt. 310,Adammouth,AK,40985,US,82.24.137.170,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,659b5f3b-9155-4c53-9d8e-3b27610aef21,email_campaign,"friendly_fraud_pattern,chargeback_risk",True
TXN_00001061,CUST_614199,Yvette Hall,ialvarez@example.net,371-245-3190,2025-01-16,16:01:26,13.92,dog_toy,Discover,Discover,0361,06/35,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_2801,B605849,00,Approved,False,True,0,1.24,EMP_433,Square,True,triangulation,"triangulation_pattern,rapid_order_pattern,reshipping_service",82,"triangulation_pattern,rapid_order_pattern,reshipping_service",Expedited,11.63,2025-01-20,TBA981568580245,8040 Martinez Freeway Suite 809,Garyland,AL,33971,CA,8040 Martinez Freeway Suite 809,New York,AL,33971,CA,116.58.66.170,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,b2c88975-212c-4045-a77b-081a2657f307,https://www.instagram.com,"triangulation_pattern,rapid_order_pattern,reshipping_service",True
TXN_00000230,CUST_892271,Jennifer Thompson,mblack@example.org,,2025-01-16,18:00:36,13.49,pet_treats,Mastercard,Mastercard,9851,11/34,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_6248,B191970,00,Approved,False,True,0,1.2,EMP_877,Shopify POS,False,,,5,,Expedited,12.66,2025-01-19,TBA688719011910,58574 Riddle Gardens Apt. 551,East Heather,AL,45362,AU,58574 Riddle Gardens Apt. 551,East Heather,AL,45362,AU,148.94.213.234,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,846de03c-b7da-4662-a960-f88eb7eafdf0,https://www.instagram.com,,True
TXN_00001505,CUST_802453,Lauren Wright,stephanie07@example.net,,2025-01-16,19:00:33,77.72,pet_food,PayPal,,,,Happy Paws Pet Store,E-commerce - Pet Supplies,5995,TRM_9728,B622312,00,Approved,True,False,0,6.9,EMP_422,Toast,False,,,5,,Expedited,12.47,2025-01-20,TBA226638295677,084 Juarez Lakes Apt. 793,Port Jessica,IL,09047,US,084 Juarez Lakes Apt. 793,Port Jessica,IL,09047,US,90.140.246.202,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,b524cc48-36f6-424c-a779-0cae5fdeccb5,direct,,True
