transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000215,CUST_832826,Diane Jackson,johnsonkristin@example.net,,2025-01-16,08:17:49,169.5,group_dining,American Express,American Express,8444,05/32,Tony's Italian Bistro,Restaurant,5812,TRM_1251,B872722,00,Approved,True,False,29.26,15.04,EMP_672,Lightspeed,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000124,CUST_389380,Jimmy Watson,angel86@example.org,923.519.8237x35669,2025-01-16,11:08:37,15.62,entree,Mobile Payment,,,,Tony's Italian Bistro,Restaurant,5812,TRM_7919,B827744,00,Approved,False,True,2.7,1.39,EMP_204,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000877,CUST_768746,Monica Rich,,,2025-01-16,12:05:42,60.35,full_meal,Visa,Visa,2315,08/32,Tony's Italian Bistro,Restaurant,5812,TRM_3608,B190375,00,Approved,True,False,6.12,5.36,EMP_443,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000827,CUST_101554,Juan Ray,,,2025-01-16,12:06:46,16.9,entree,Mastercard,Mastercard,3491,08/34,Tony's Italian Bistro,Restaurant,5812,TRM_7585,B802374,00,Approved,False,True,1.85,1.5,EMP_583,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000883,CUST_788684,Mark Thompson,,+1-215-803-5331,2025-01-16,12:43:40,24.68,entree,American Express,American Express,8333,04/34,Tony's Italian Bistro,Restaurant,5812,TRM_6904,B892269,00,Approved,True,False,4.16,2.19,EMP_682,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001464,CUST_155447,Barbara Guerrero,kayla46@example.net,,2025-01-16,18:16:18,2.81,beverage,Mobile Payment,,,,Tony's Italian Bistro,Restaurant,5812,TRM_9266,B604208,00,Approved,False,True,0.0,0.25,EMP_650,WooCommerce,False,,,25,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000937,CUST_487715,Mrs. Amanda Richardson,michaelmolina@example.net,001-393-535-2097x01079,2025-01-16,20:53:35,6.81,appetizer,Visa,Visa,4170,12/32,Tony's Italian Bistro,Restaurant,5812,TRM_2713,B925519,00,Approved,False,True,0.95,0.6,EMP_485,Toast,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001125,CUST_808790,Barbara Bishop,,,2025-01-16,20:54:05,38.46,full_meal,American Express,American Express,7745,01/31,Tony's Italian Bistro,Restaurant,5812,TRM_9101,B311331,00,Approved,False,True,5.89,3.41,EMP_891,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000367,CUST_916303,Christie Kramer,,,2025-01-17,11:41:39,65.64,full_meal,American Express,American Express,3288,07/34,Tony's Italian Bistro,Restaurant,5812,TRM_3118,B321634,00,Approved,True,False,11.8,5.83,EMP_861,Square,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000211,CUST_168409,Ashley Vazquez,wfitzgerald@example.net,,2025-01-17,12:44:51,8.93,appetizer,Mastercard,Mastercard,8320,09/25,Tony's Italian Bistro,Restaurant,5812,TRM_9783,B544136,00,Approved,False,True,0.0,0.79,EMP_506,Magento,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
