transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00001087,CUST_230192,Randy Black,marilyncrosby@example.com,+1-894-629-7397x3134,2025-01-16,08:38:03,92.78,regular_purchase,Mastercard,Mastercard,4386,10/34,Sarah's Boutique,Retail,5699,TRM_4075,B227906,00,Approved,True,False,0,8.23,EMP_581,Magento,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001048,CUST_223535,Kara Myers,,(313)287-9081x9134,2025-01-16,10:29:46,65.55,clothing,Mobile Payment,,,,Sarah's Boutique,Retail,5699,TRM_6050,B990119,00,Approved,True,False,0,5.82,EMP_672,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000202,CUST_531035,Michael Cain DVM,rnguyen@example.org,958.793.3277x9287,2025-01-16,11:43:47,163.97,shoes,Visa,Visa,5673,11/27,Sarah's Boutique,Retail,5699,TRM_8985,B645455,00,Approved,False,True,0,14.55,EMP_624,Magento,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000425,CUST_704131,Chris Ingram,xjones@example.net,,2025-01-16,12:04:29,125.27,shoes,American Express,American Express,9674,04/32,Sarah's Boutique,Retail,5699,TRM_1393,B149366,00,Approved,False,True,0,11.12,EMP_533,Shopify POS,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001080,CUST_114559,Jason Bennett,pmathis@example.net,553.821.5167x853,2025-01-16,13:25:40,103.55,clothing,Mastercard,Mastercard,2741,09/28,Sarah's Boutique,Retail,5699,TRM_8470,B488256,00,Approved,True,False,0,9.19,EMP_422,Square,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00001164,CUST_640773,Jody Graves,sarajackson@example.net,001-922-822-2361x5877,2025-01-16,13:39:22,149.78,regular_purchase,Visa,Visa,4460,11/33,Sarah's Boutique,Retail,5699,TRM_1997,B858234,00,Approved,True,False,0,13.29,EMP_135,Clover,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000584,CUST_318924,Denise Allen,smithlatasha@example.net,,2025-01-16,14:22:25,67.83,regular_purchase,Mobile Payment,,,,Sarah's Boutique,Retail,5699,TRM_6347,B800173,00,Approved,False,True,0,6.02,EMP_415,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000879,CUST_327230,Mackenzie George,wcooper@example.com,,2025-01-16,14:56:31,170.29,clothing,Mastercard,Mastercard,5004,09/26,Sarah's Boutique,Retail,5699,TRM_8662,B764479,00,Approved,False,False,0,15.11,EMP_271,WooCommerce,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000973,CUST_292091,Amber Costa,noah15@example.net,,2025-01-16,16:13:39,86.31,sale_item,Discover,Discover,6482,04/28,Sarah's Boutique,Retail,5699,TRM_1528,B274554,00,Approved,True,False,0,7.66,EMP_702,Toast,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000554,CUST_295566,Sarah Hill,jessicabryant@example.org,,2025-01-17,09:20:07,25.58,accessory,Mastercard,Mastercard,2273,11/29,Sarah's Boutique,Retail,5699,TRM_7552,B861142,00,Approved,False,True,0,2.27,EMP_551,Shopify POS,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000742,CUST_539102,Amy Wells,joshua29@example.com,001-347-463-8444x42099,2025-01-17,11:57:07,196.21,shoes,Discover,Discover,3415,03/26,Sarah's Boutique,Retail,5699,TRM_8561,B130332,00,Approved,True,False,0,17.41,EMP_997,Square,False,,,10,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
TXN_00000114,CUST_482988,David Hardin,heidirobinson@example.com,(843)320-0702,2025-01-17,13:23:20,49.91,accessory,Discover,Discover,1518,07/33,Sarah's Boutique,Retail,5699,TRM_6453,B549528,00,Approved,False,True,0,4.43,EMP_886,Lightspeed,False,,,0,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,False
