transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000324,CUST_477152,Jeffery Carpenter,wjenkins@example.com,,2025-01-16,10:00:08,71.09,wireless_charger,Visa,Visa,7388,11/33,TechGear Direct,E-commerce - Electronics,5732,TRM_8786,B240956,00,Approved,True,False,0,6.31,EMP_407,Magento,False,,,5,,Standard,4.54,2025-01-23,1Z930069869119,817 Matthew Common Suite 348,New Brenda,CO,07896,AU,817 Matthew Common Suite 348,New Brenda,CO,07896,AU,130.46.140.101,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,ee2487c3-59cf-40dd-b549-372e3030309a,direct,,True
TXN_00000572,CUST_693680,Lisa Orr,,616-432-6448x008,2025-01-16,10:05:01,43.23,phone_mount,Apple Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_6447,B687851,00,Approved,True,False,0,3.84,EMP_449,Square,True,synthetic_identity,synthetic_identity_pattern,86,synthetic_identity_pattern,Same Day,35.02,2025-01-16,9400757385257644,226 Brian Key,Taylorburgh,PR,49923,KR,226 Brian Key,Taylorburgh,PR,49923,KR,44.219.110.218,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1824be4d-e952-49b7-b979-977d504212a6,https://www.google.com,synthetic_identity_pattern,True
TXN_00002335,CUST_512024,Christopher Miller,hodgebrittany@example.org,,2025-01-16,10:15:24,68.06,wireless_charger,Google Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_9967,B923530,00,Approved,False,False,0,6.04,EMP_834,Shopify POS,False,,,5,,Standard,6.48,2025-01-21,9400806980420272,8418 Ronnie Creek,Jennifermouth,DE,54724,KR,8418 Ronnie Creek,Jennifermouth,DE,54724,KR,194.47.24.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,e7de9faa-8bd7-4a25-b0ae-eebbdb0c99da,paid_search,,True
TXN_00000285,CUST_763859,Albert Salas,brianna85@example.net,665-664-7337,2025-01-16,12:51:15,23.81,charging_cable,Google Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_9853,B561274,00,Approved,False,True,0,2.11,EMP_809,Lightspeed,False,,,5,,Express,25.68,2025-01-18,1Z554624816396,5544 Smith Manor,Griffinfurt,MT,20720,AU,5544 Smith Manor,Griffinfurt,MT,20720,AU,209.74.249.202,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,b7955de0-c033-46b7-9cb8-9070c1f27071,email_campaign,,True
TXN_00002334,CUST_741905,Jennifer Guerrero,samantha98@example.net,,2025-01-16,13:32:32,10.87,charging_cable,Amazon Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_5288,B967354,00,Approved,False,True,0,0.96,EMP_674,WooCommerce,False,,,5,,Expedited,14.46,2025-01-20,1Z263886831014,4021 Diane Centers,Bryceville,FL,45973,FR,4021 Diane Centers,Bryceville,FL,45973,FR,154.153.154.225,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1c2a7e50-a783-4588-8be7-e37900619e09,https://www.facebook.com,,True
TXN_00000554,CUST_586635,Amber Yates,fmiller@example.com,224-329-1334,2025-01-16,13:32:43,35.08,phone_case,American Express,American Express,8388,05/31,TechGear Direct,E-commerce - Electronics,5732,TRM_9582,B618713,00,Approved,False,True,0,3.11,EMP_316,Square,False,,,13,country_mismatch,Standard,5.52,2025-01-23,1Z237921134147,720 Jefferson Tunnel Suite 448,North Meganside,IA,36032,FR,338 Robert Lakes Apt. 753,New Patrickhaven,AK,19225,AU,219.24.211.190,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,e191b961-1e40-4073-9bee-cceb46c1bb1c,direct,country_mismatch,True
TXN_00000577,CUST_439168,John Miller,tinamcdaniel@example.org,612-775-5071x105,2025-01-16,14:06:07,14.57,screen_protector,PayPal,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_4497,B536831,00,Approved,True,False,0,1.29,EMP_810,Toast,False,,,5,,Same Day,35.27,2025-01-16,1Z776230073892,2370 Kenneth Camp Suite 427,Port Michaelfort,PR,31684,CA,2370 Kenneth Camp Suite 427,Port Michaelfort,PR,31684,CA,133.81.255.54,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,df41e687-a2a6-4513-818c-9204bc2e11fb,https://www.instagram.com,,True
TXN_00000787,CUST_486314,Michelle Turner,hwalker@example.org,451.407.5183x746,2025-01-16,14:14:33,26.91,screen_protector,American Express,American Express,0187,04/35,TechGear Direct,E-commerce - Electronics,5732,TRM_5058,B181369,00,Approved,False,True,0,2.39,EMP_568,Clover,False,,,5,,Express,24.69,2025-01-18,1Z785164340217,274 Kathy Union Suite 377,Lake Tammie,IA,63488,FR,274 Kathy Union Suite 377,Lake Tammie,IA,63488,FR,153.98.142.49,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,d1cf184e-f875-481b-9b6c-cc966feeaa0e,https://www.google.com,,True
TXN_00001117,CUST_682032,Timothy Bean,shawn91@example.com,001-885-651-3344x1532,2025-01-16,14:28:45,37.88,phone_mount,Google Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_8082,B932298,00,Approved,False,True,0,3.36,EMP_284,WooCommerce,False,,,5,,Same Day,37.95,2025-01-16,TBA525696114876,555 Nichols Divide,Lake Rodney,FL,16638,KR,555 Nichols Divide,Lake Rodney,FL,16638,KR,7.149.159.123,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,59c694bb-13a6-4b4f-849f-5622308463d1,https://www.instagram.com,,True
TXN_00000529,CUST_155381,Douglas Saunders,,,2025-01-16,14:29:57,20.72,phone_case,PayPal,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_5064,B392395,00,Approved,True,False,0,1.84,EMP_252,Toast,False,,,5,,Same Day,29.53,2025-01-16,1Z490932304625,4717 Judith Views,East Jeffreystad,IN,79488,CA,4717 Judith Views,East Jeffreystad,IN,79488,CA,51.66.61.174,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,6f8a32a0-2d1b-408c-a1f1-9d162b5925e6,email_campaign,,True
TXN_00000941,CUST_862243,Matthew Martin,mary20@example.org,273.663.7534,2025-01-16,14:41:15,34.51,screen_protector,Google Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_5822,B228058,00,Approved,True,False,0,3.06,EMP_160,Magento,False,,,5,,Same Day,36.28,2025-01-16,1Z130614520774,90647 Gonzalez Plains Apt. 850,Port Adamhaven,NH,29908,JP,90647 Gonzalez Plains Apt. 850,Port Adamhaven,NH,29908,JP,98.10.189.213,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,ba1d8015-e8bb-4554-b73c-a3a13b0f19b3,https://www.instagram.com,,True
TXN_00001490,CUST_856762,David Peterson,angelaknight@example.net,,2025-01-16,14:56:29,12.58,charging_cable,Apple Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_4460,B713248,00,Approved,True,False,0,1.12,EMP_468,Lightspeed,True,synthetic_identity,synthetic_identity_pattern,85,synthetic_identity_pattern,Same Day,37.91,2025-01-16,1Z322784803689,8606 Estrada Street,Port Jennifer,IA,82100,DE,8606 Estrada Street,Port Jennifer,IA,82100,DE,122.132.33.218,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,ba77dfc4-a814-4361-a4a5-ce7e15bd105b,paid_search,synthetic_identity_pattern,True
TXN_00000384,CUST_697396,Jessica Jackson,gregory79@example.com,,2025-01-16,19:09:32,15.05,screen_protector,PayPal,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_8292,B667991,14,Invalid card number,True,False,0,1.34,EMP_541,Shopify POS,False,,,5,,Same Day,30.8,2025-01-16,TBA774079407055,1076 Moore Walk Suite 679,Port Danieltown,LA,47275,KR,1076 Moore Walk Suite 679,Port Danieltown,LA,47275,KR,124.92.190.16,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,6017aa5c-cfd1-4066-aecd-f1f1ba4b3eb7,https://www.instagram.com,,True
TXN_00002253,CUST_741905,Jennifer Guerrero,samantha98@example.net,+1-992-674-9030x529,2025-01-16,19:24:41,37.03,phone_case,Amazon Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_3471,B331847,00,Approved,False,True,0,3.29,EMP_715,Clover,False,,,5,,Same Day,32.85,2025-01-16,1Z385028228575,81211 Anderson Passage Suite 942,Garnerland,FM,97389,CA,81211 Anderson Passage Suite 942,Garnerland,FM,97389,CA,119.9.170.147,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,dc6d05bc-e3da-4a65-9cc3-e80d3e02ea24,email_campaign,,True
TXN_00002173,CUST_604459,Ryan Howard,rrichardson@example.org,,2025-01-16,19:55:25,179.69,premium_accessory,Mastercard,Mastercard,8672,03/33,TechGear Direct,E-commerce - Electronics,5732,TRM_4833,B267167,00,Approved,True,False,0,15.95,EMP_715,Square,False,,,15,,Express,18.75,2025-01-18,TBA816784548033,07129 Williams Meadows,Rodriguezstad,AZ,41787,FR,07129 Williams Meadows,Rodriguezstad,AZ,41787,FR,147.58.57.193,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,d5badd25-99ac-4473-9a45-f76930cf1d58,paid_search,,True
TXN_00001093,CUST_263636,Lauren Kidd,,,2025-01-17,10:01:12,16.36,screen_protector,American Express,American Express,6692,07/30,TechGear Direct,E-commerce - Electronics,5732,TRM_1001,B784741,00,Approved,False,True,0,1.45,EMP_232,Lightspeed,False,,,5,,Standard,5.81,2025-01-22,9400399240279681,034 Jon Summit,Aliciachester,VI,20754,FR,034 Jon Summit,Aliciachester,VI,20754,FR,15.160.80.178,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,1b347283-994b-4e2d-b56f-1d99fe9b3ba4,paid_search,,True
TXN_00001301,CUST_633570,Madison Jones,gherring@example.com,(520)939-1474x65173,2025-01-17,10:11:43,192.53,premium_accessory,Amazon Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_3451,B736627,00,Approved,False,True,0,17.09,EMP_289,Toast,False,,,15,,Express,20.69,2025-01-19,TBA165441996894,584 Nancy Green,Jefferyview,CO,88266,KR,584 Nancy Green,Jefferyview,CO,88266,KR,44.57.89.22,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,82224241-c2d0-4039-9333-80a270aea054,email_campaign,,True
TXN_00001527,CUST_564664,Sean Hebert,jasongutierrez@example.net,,2025-01-17,10:16:07,20.34,screen_protector,Mastercard,Mastercard,2112,04/26,TechGear Direct,E-commerce - Electronics,5732,TRM_9470,B397241,00,Approved,True,False,0,1.81,EMP_603,Toast,False,,,5,,Standard,7.35,2025-01-22,1Z852974619570,26605 John Row Suite 616,New Jamesfurt,PA,18001,AU,26605 John Row Suite 616,New Jamesfurt,PA,18001,AU,217.65.141.103,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,743bf705-9ff9-49ea-a934-ef8746a4254f,https://www.facebook.com,,True
TXN_00002753,CUST_177314,David Murphy,jared09@example.com,,2025-01-17,10:17:26,135.5,bundle_deal,Visa,Visa,7875,12/28,TechGear Direct,E-commerce - Electronics,5732,TRM_4124,B934066,00,Approved,False,True,0,12.03,EMP_486,Clover,False,,,15,,Same Day,39.91,2025-01-17,9400856970756940,53916 Alvarez Loop Suite 760,West Candiceshire,NJ,09550,CA,53916 Alvarez Loop Suite 760,West Candiceshire,NJ,09550,CA,50.170.166.141,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,8c9b3524-ac5f-4c98-b66f-71da725b63c0,https://www.google.com,,True
TXN_00002918,CUST_809378,Margaret Baldwin,james50@example.net,(831)260-1704x6470,2025-01-17,10:55:40,20.69,charging_cable,Visa,Visa,4697,11/28,TechGear Direct,E-commerce - Electronics,5732,TRM_4106,B793348,00,Approved,True,False,0,1.84,EMP_933,Toast,False,,,5,,Expedited,13.06,2025-01-19,TBA275886953837,7575 Lucas Street Apt. 269,Thomasfort,TX,21794,KR,7575 Lucas Street Apt. 269,Thomasfort,TX,21794,KR,20.61.164.154,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,7bf5b415-936e-45d3-a36d-bba9f658a9f0,paid_search,,True
TXN_00001646,CUST_562538,Kimberly Wilson,,,2025-01-17,12:27:39,60.43,wireless_charger,Visa,Visa,9162,03/34,TechGear Direct,E-commerce - Electronics,5732,TRM_3222,B415744,00,Approved,True,False,0,5.36,EMP_410,Toast,False,,,5,,Standard,8.98,2025-01-23,1Z780985222671,30141 Miles Divide,South Gilbert,IL,96332,DE,30141 Miles Divide,South Gilbert,IL,96332,DE,181.169.149.3,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,6832d0f2-6dfd-415a-932f-ffa37cff44c7,paid_search,,True
TXN_00000282,CUST_350095,Cynthia Gomez,daniel03@example.org,563-970-8266,2025-01-17,13:00:06,66.16,wireless_charger,Mastercard,Mastercard,5056,07/30,TechGear Direct,E-commerce - Electronics,5732,TRM_8872,B405900,00,Approved,True,False,0,5.87,EMP_485,Shopify POS,False,,,5,,Same Day,38.55,2025-01-17,1Z568451013640,9884 Adams Circle,South Barbara,OK,60681,JP,9884 Adams Circle,South Barbara,OK,60681,JP,42.161.216.153,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,3335df20-6fce-4bc4-963a-a43648c2ba39,https://www.instagram.com,,True
TXN_00001700,CUST_304793,Larry Perez,jose75@example.net,720-475-1626,2025-01-17,13:13:27,33.07,phone_case,Google Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_2264,B503281,00,Approved,False,True,0,2.93,EMP_664,Clover,False,,,5,,Same Day,31.8,2025-01-17,TBA924947150785,512 Thompson Ford Apt. 551,East Michaelton,MN,64658,US,512 Thompson Ford Apt. 551,East Michaelton,MN,64658,US,94.28.110.142,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,7a1cd556-bbb1-443f-836f-9284ec0f9c03,email_campaign,,True
TXN_00002000,CUST_902101,Aaron Donovan,bobbybeck@example.com,,2025-01-17,13:31:12,25.03,screen_protector,Mastercard,Mastercard,7991,03/26,TechGear Direct,E-commerce - Electronics,5732,TRM_6362,B935876,05,Do not honor,True,False,0,2.22,EMP_700,Clover,False,,,5,,Same Day,38.99,2025-01-17,9400975792064616,64411 Brandon Camp Apt. 497,Lake Morgan,MA,51610,UK,64411 Brandon Camp Apt. 497,Lake Morgan,MA,51610,UK,170.163.5.188,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,494656ad-67a5-40a8-86fc-26668b4f56d7,email_campaign,,True
TXN_00002793,CUST_548790,Timothy Downs,ogibbs@example.org,+1-276-829-9891,2025-01-17,13:50:45,23.37,phone_mount,Visa,Visa,1389,06/33,TechGear Direct,E-commerce - Electronics,5732,TRM_4830,B941272,00,Approved,True,False,0,2.07,EMP_360,Toast,False,,,5,,Same Day,33.39,2025-01-17,9400509828146261,7513 David Inlet Suite 029,West Martha,OR,59879,KR,7513 David Inlet Suite 029,West Martha,OR,59879,KR,109.143.48.253,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,94495e5c-d74c-435a-b65e-c0099a7cf839,https://www.facebook.com,,True
TXN_00000969,CUST_968605,Glenn Nunez,fwright@example.com,,2025-01-17,14:14:46,30.09,phone_mount,Mastercard,Mastercard,3226,10/27,TechGear Direct,E-commerce - Electronics,5732,TRM_3341,B833384,00,Approved,False,True,0,2.67,EMP_975,Shopify POS,False,,,5,,Standard,5.53,2025-01-24,TBA273835323787,9751 Sydney Way,Lake Jameschester,MP,02193,KR,9751 Sydney Way,Lake Jameschester,MP,02193,KR,186.249.239.248,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,f5a5af41-246f-4c83-97e5-89b6b446eefb,paid_search,,True
TXN_00001788,CUST_632134,Luke Guerrero,crosbyrandall@example.org,745-331-9725,2025-01-17,14:18:13,20.76,charging_cable,Amazon Pay,,,,TechGear Direct,E-commerce - Electronics,5732,TRM_4500,B311349,00,Approved,True,False,0,1.84,EMP_278,Magento,False,,,5,,Same Day,33.11,2025-01-17,9400730151547846,992 Hernandez Park,Port Pennymouth,MT,07125,DE,992 Hernandez Park,Port Pennymouth,MT,07125,DE,28.69.230.150,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,4569a8b3-398b-4c61-a0f1-33a6076daf44,https://www.facebook.com,,True
