transaction_id,customer_id,customer_name,customer_email,customer_phone,transaction_date,transaction_time,amount,transaction_type,payment_method,card_type,card_last4,card_exp_date,merchant_name,merchant_category,merchant_category_code,terminal_id,batch_id,response_code,response_text,is_new_customer,is_regular_customer,tip_amount,tax_amount,employee_id,pos_system,is_fraudulent,fraud_type,fraud_indicators,risk_score,all_risk_factors,shipping_method,shipping_cost,estimated_delivery,tracking_number,billing_street,billing_city,billing_state,billing_zip,billing_country,shipping_street,shipping_city,shipping_state,shipping_zip,shipping_country,ip_address,user_agent,session_id,referrer_source,risk_factors,is_ecommerce
TXN_00000795,CUST_328010,Ryan Coleman,john68@example.org,,2025-01-16,11:39:48,258.93,vintage_jacket,Mastercard,Mastercard,0240,09/33,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_2582,B266342,00,Approved,False,True,0,22.98,EMP_791,Clover,False,,,15,,Standard,4.93,2025-01-22,9400237157282146,34024 Roberts Burgs,Courtneyview,IN,12335,DE,34024 Roberts Burgs,Courtneyview,IN,12335,DE,104.217.93.142,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,d58d524f-de27-4bb8-859f-f01b56c38478,direct,,True
TXN_00000662,CUST_944198,Logan Riley,,,2025-01-16,11:59:59,54.27,accessories,Apple Pay,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_4303,B591861,00,Approved,False,False,0,4.82,EMP_128,Toast,False,,,5,,Standard,7.55,2025-01-21,TBA160981050975,9117 Howard Estates Apt. 114,North Michael,SC,60443,FR,9117 Howard Estates Apt. 114,North Michael,SC,60443,FR,9.27.178.241,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,64d8d8b8-1105-4340-aee9-7d603ac3c804,https://www.google.com,,True
TXN_00000245,CUST_745528,Samuel Santiago,duncanlaura@example.org,001-493-354-4498,2025-01-16,16:01:36,62.56,accessories,Mastercard,Mastercard,5448,08/30,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_1006,B892341,00,Approved,False,True,0,5.55,EMP_723,Magento,False,,,5,,International,24.16,2025-01-28,9400135182773668,0727 Tyler Falls,Carriestad,ID,37449,AU,0727 Tyler Falls,Carriestad,ID,37449,AU,167.93.4.8,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,c72090ac-6282-4126-9012-7459492a5269,https://www.google.com,,True
TXN_00001080,CUST_857439,Richard Thomas DVM,icalderon@example.net,549-765-6018,2025-01-16,16:21:29,183.73,vintage_dress,Klarna,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_3373,B949416,00,Approved,True,False,0,16.31,EMP_821,Lightspeed,False,,,15,,International,35.3,2025-01-26,TBA755251925915,279 Benjamin Shores,West Tinamouth,NE,85916,US,279 Benjamin Shores,West Tinamouth,NE,85916,US,105.37.61.139,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,b36d1657-8955-454a-a9d3-1b9573ed7136,https://www.instagram.com,,True
TXN_00000018,CUST_402790,Michael Rivera,orocha@example.com,,2025-01-16,19:23:06,84.51,vintage_jeans,PayPal,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_4317,B197561,51,Insufficient funds,False,True,0,7.5,EMP_665,Clover,False,,,5,,Expedited,14.62,2025-01-20,9400754376994296,84368 Mathews Estate,East Robert,TN,28228,CA,84368 Mathews Estate,East Robert,TN,28228,CA,83.68.174.206,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,606a5e08-73d5-4acd-a511-91dc24491045,email_campaign,,True
TXN_00000313,CUST_635724,Mark Harris,,,2025-01-17,12:46:35,137.28,vintage_dress,Visa,Visa,5113,08/32,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_3613,B406254,00,Approved,False,True,0,12.18,EMP_943,Clover,False,,,15,,International,16.13,2025-01-24,TBA900981990517,7916 Rachael Bridge Suite 345,East Aliciaport,PR,13667,US,7916 Rachael Bridge Suite 345,East Aliciaport,PR,13667,US,26.56.94.243,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,9cf35e29-ef75-4946-be7d-6624eefb900e,paid_search,,True
TXN_00000151,CUST_252999,Ana Cain,kellyward@example.net,001-945-833-0597x2780,2025-01-17,14:20:45,55.91,vintage_tshirt,Mastercard,Mastercard,6994,07/27,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_9149,B383067,00,Approved,False,True,0,4.96,EMP_750,Toast,False,,,13,country_mismatch,International,38.47,2025-02-02,1Z186215521217,48076 Hernandez Mountain,Patrickchester,MA,54621,FR,473 Crawford Estates,Baileyton,KY,38608,US,15.180.251.248,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,59f31e4e-e613-4517-8dbc-056a644ce6a1,email_campaign,country_mismatch,True
TXN_00000854,CUST_819429,Debbie French,castropeter@example.org,328.634.2676,2025-01-17,16:19:30,502.45,rare_item,Klarna,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_6909,B626063,00,Approved,True,False,0,44.59,EMP_589,Magento,False,,,25,,Expedited,15.64,2025-01-19,9400339660602809,07969 Mary Lock Suite 959,Gillport,KY,32974,US,07969 Mary Lock Suite 959,Gillport,KY,32974,US,62.160.154.221,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,499392e5-0bf7-4c21-89cb-03c475c61ec3,direct,,True
TXN_00001099,CUST_935958,Jennifer Walker,tamara60@example.net,,2025-01-17,20:51:47,361.89,rare_item,Apple Pay,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_4868,B938972,00,Approved,True,False,0,32.12,EMP_964,WooCommerce,False,,,23,high_value_international,International,43.77,2025-01-31,9400325341758606,179 Shannon Court,North Jonathan,LA,92307,ES,179 Shannon Court,North Jonathan,LA,92307,ES,69.219.205.225,Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15,740014b2-df46-4844-a2c7-4ed9ed68156d,paid_search,high_value_international,True
TXN_00000730,CUST_495743,Joshua Kline,,+1-393-268-7179,2025-01-18,11:24:29,76.51,vintage_jeans,Afterpay,,,,Retro Revival Vintage,E-commerce - Vintage Fashion,5691,TRM_4225,B176828,00,Approved,False,True,0,6.79,EMP_184,Square,False,,,5,,Expedited,11.98,2025-01-22,1Z444750089279,723 Michael Shores Suite 605,Jenniferport,UT,11314,AU,723 Michael Shores Suite 605,Jenniferport,UT,11314,AU,42.234.215.191,Mozilla/5.0 (Android 11; Mobile; rv:94.0) Gecko/94.0,9c20bd49-499b-4087-8d60-808636fc870e,https://www.facebook.com,,True
