transaction_id,customer_id,card_number,transaction_date,transaction_time,amount,merchant_name,merchant_category,city,state,response_code,is_fraud
TXN_00000817,CUST_000303,0330,2025-01-13,19:34:04,27.98,Chevron,Gas Station,Orlando,FL,00,0
TXN_00000609,CUST_000459,1386,2025-01-14,02:13:04,359.0,Mall ATM,ATM,Allentown,PA,00,0
TXN_00000866,CUST_000113,5613,2025-01-14,04:16:04,45.44,Walmart.com,Online Retail,Greensboro,NC,00,0
TXN_00000696,CUST_000003,3972,2025-01-14,08:09:04,97.82,Concert Hall,Entertainment,Buffalo,NY,00,0
TXN_00000180,CUST_000103,5421,2025-01-14,17:43:04,302.56,Gas Station ATM,ATM,Houston,TX,00,0
TXN_00000279,CUST_000171,7702,2025-01-14,19:52:04,280.7,Hilton,Hotel,Greensboro,NC,00,0
TXN_00000002,CUST_000217,5594,2025-01-14,21:53:04,1959.67,Safeway,Grocery,Columbus,OH,61,1
TXN_00000451,CUST_000252,2522,2025-01-14,22:01:04,75.05,Walmart.com,Online Retail,Syracuse,NY,00,0
TXN_00000900,CUST_000241,0221,2025-01-15,10:35:04,57.47,eBay,Online Retail,Columbus,GA,00,0
TXN_00000476,CUST_000261,3068,2025-01-16,05:52:04,59.68,Walgreens,Pharmacy,Charlotte,NC,00,0
TXN_00000723,CUST_000378,1023,2025-01-16,15:09:04,25.5,BP,Gas Station,New York,NY,00,0
TXN_00000268,CUST_000114,3660,2025-01-17,00:35:04,878.23,Micro Center,Electronics,Columbus,OH,00,0
TXN_00000575,CUST_000350,9454,2025-01-17,01:00:04,32.71,Sears,Department Store,Peoria,IL,00,0
TXN_00000957,CUST_000284,5177,2025-01-17,01:14:04,305.94,Holiday Inn,Hotel,San Antonio,TX,00,0
TXN_00000319,CUST_000377,0600,2025-01-17,15:36:04,90.76,Hyatt,Hotel,Durham,NC,00,0
TXN_00000108,CUST_000479,9378,2025-01-18,00:44:04,46.98,Rite Aid,Pharmacy,Columbus,GA,00,0
TXN_00000089,CUST_000215,8385,2025-01-18,06:29:04,200.58,Hyatt,Hotel,San Antonio,TX,00,0
TXN_00000732,CUST_000214,9532,2025-01-18,06:32:04,58.41,Health Mart,Pharmacy,Tampa,FL,00,0
TXN_00000111,CUST_000358,8454,2025-01-18,09:01:04,199.06,Bank ATM,ATM,Toledo,OH,00,0
TXN_00000406,CUST_000331,6811,2025-01-18,14:17:04,90.33,Movie Theater,Entertainment,Atlanta,GA,00,0
TXN_00000977,CUST_000252,0173,2025-01-18,16:34:04,142.45,Convenience Store ATM,ATM,Cleveland,OH,00,0
TXN_00000495,CUST_000007,1851,2025-01-18,20:01:04,157.12,eBay,Online Retail,Sterling Heights,MI,00,0
TXN_00000494,CUST_000454,7618,2025-01-19,01:19:04,78.35,McDonald's,Restaurant,Toledo,OH,00,0
TXN_00000234,CUST_000180,8771,2025-01-19,05:16:04,157.53,Gas Station ATM,ATM,Dallas,TX,00,0
TXN_00000870,CUST_000360,7368,2025-01-19,07:59:04,53.33,McDonald's,Restaurant,Sacramento,CA,00,0
TXN_00000157,CUST_000001,2921,2025-01-19,08:39:04,96.45,Sports Arena,Entertainment,Erie,PA,00,0
TXN_00000182,CUST_000087,0100,2025-01-19,10:41:04,46.66,Chevron,Gas Station,Rochester,NY,00,0
TXN_00000718,CUST_000419,5515,2025-01-19,10:53:04,28.1,BP,Gas Station,Rockford,IL,00,0
TXN_00000862,CUST_000193,0762,2025-01-19,17:13:04,88.47,Concert Hall,Entertainment,Columbus,GA,00,0
TXN_00000861,CUST_000386,0168,2025-01-20,21:39:04,47.33,Amazon,Online Retail,Orlando,FL,00,0
TXN_00000506,CUST_000084,3034,2025-01-20,23:27:04,53.89,Mobil,Gas Station,Sterling Heights,MI,00,0
TXN_00000151,CUST_000232,0323,2025-01-21,05:03:04,349.42,Convenience Store ATM,ATM,Rochester,NY,00,0
TXN_00000669,CUST_000157,7026,2025-01-21,07:22:04,62.79,Whole Foods,Grocery,Grand Rapids,MI,00,0
TXN_00000589,CUST_000021,9678,2025-01-21,12:06:04,45.97,Pizza Hut,Restaurant,New York,NY,00,0
TXN_00000694,CUST_000254,7252,2025-01-21,13:08:04,41.31,Exxon,Gas Station,Cincinnati,OH,00,0
TXN_00000075,CUST_000121,5719,2025-01-21,20:13:04,53.53,Olive Garden,Restaurant,Allentown,PA,00,0
TXN_00000361,CUST_000042,1569,2025-01-22,01:04:04,50.79,Sports Arena,Entertainment,Los Angeles,CA,00,0
TXN_00000094,CUST_000291,8743,2025-01-22,16:28:04,29.75,Exxon,Gas Station,Augusta,GA,00,0
TXN_00000348,CUST_000286,9788,2025-01-22,17:20:04,597.3,Micro Center,Electronics,Houston,TX,00,0
TXN_00000844,CUST_000328,4951,2025-01-23,01:52:04,407.22,Credit Union ATM,ATM,New York,NY,00,0
TXN_00000613,CUST_000314,5184,2025-01-23,03:10:04,227.8,Target.com,Online Retail,Allentown,PA,00,0
TXN_00000591,CUST_000478,6334,2025-01-23,05:15:04,235.04,Hilton,Hotel,San Antonio,TX,00,0
TXN_00000176,CUST_000293,8241,2025-01-23,10:54:04,317.09,Hilton,Hotel,Raleigh,NC,00,0
TXN_00000256,CUST_000296,9060,2025-01-23,16:00:04,39.06,Sears,Department Store,Raleigh,NC,00,0
TXN_00000631,CUST_000191,6602,2025-01-23,18:29:04,214.11,Macy's,Department Store,Columbus,OH,00,0
TXN_00000567,CUST_000255,0389,2025-01-23,19:11:04,285.2,Bank ATM,ATM,Sacramento,CA,00,0
TXN_00000200,CUST_000166,5832,2025-01-23,21:08:04,80.76,Movie Theater,Entertainment,San Antonio,TX,00,0
TXN_00000598,CUST_000155,4111,2025-01-23,21:27:04,11.81,Theme Park,Entertainment,Raleigh,NC,00,0
TXN_00000751,CUST_000471,1618,2025-01-24,02:41:04,56.76,Movie Theater,Entertainment,Detroit,MI,00,0
TXN_00000558,CUST_000240,8681,2025-01-24,03:17:04,51.95,Starbucks,Restaurant,Warren,MI,00,0
TXN_00000202,CUST_000165,8877,2025-01-24,14:05:04,135.76,Kroger,Grocery,Orlando,FL,00,0
TXN_00000507,CUST_000048,5215,2025-01-24,17:29:04,68.48,Gas Station ATM,ATM,Houston,TX,00,0
TXN_00000488,CUST_000215,7688,2025-01-24,20:21:04,93.88,Target,Grocery,Austin,TX,00,0
TXN_00000272,CUST_000172,7421,2025-01-24,22:07:04,15.37,Starbucks,Restaurant,Chicago,IL,00,0
TXN_00000789,CUST_000489,9430,2025-01-25,01:09:04,71.53,BP,Gas Station,Rockford,IL,00,0
TXN_00000759,CUST_000115,2990,2025-01-25,01:20:04,197.34,Best Western,Hotel,Columbus,OH,00,0
TXN_00000181,CUST_000234,3260,2025-01-25,01:27:04,224.97,eBay,Online Retail,Dallas,TX,00,0
TXN_00000397,CUST_000294,8777,2025-01-25,05:39:04,24.38,Subway,Restaurant,Sterling Heights,MI,00,0
TXN_00000489,CUST_000407,6866,2025-01-25,10:12:04,287.96,Fry's Electronics,Electronics,San Francisco,CA,00,0
TXN_00000657,CUST_000353,5485,2025-01-25,13:33:04,115.53,Holiday Inn,Hotel,Houston,TX,00,0
TXN_00000911,CUST_000497,0096,2025-01-26,01:32:04,70.83,Subway,Restaurant,Greensboro,NC,00,0
TXN_00000190,CUST_000282,7751,2025-01-26,08:23:04,112.85,Marriott,Hotel,Columbus,OH,00,0
TXN_00000300,CUST_000205,2860,2025-01-26,21:38:04,114.04,Kohl's,Department Store,Philadelphia,PA,00,0
TXN_00000714,CUST_000173,6924,2025-01-26,22:22:04,787.42,Circuit City,Electronics,Grand Rapids,MI,00,0
TXN_00000940,CUST_000129,0785,2025-01-26,22:42:04,118.26,Subway,Restaurant,Raleigh,NC,00,0
TXN_00000367,CUST_000121,6465,2025-01-27,03:08:04,19.32,Olive Garden,Restaurant,Austin,TX,00,0
TXN_00000746,CUST_000331,1424,2025-01-27,03:22:04,118.5,Hilton,Hotel,Sacramento,CA,00,0
TXN_00000553,CUST_000207,5914,2025-01-27,04:17:04,844.18,Micro Center,Electronics,Los Angeles,CA,00,0
TXN_00000262,CUST_000484,3681,2025-01-27,06:50:04,52.67,Pharmacy Plus,Pharmacy,Charlotte,NC,00,0
TXN_00000549,CUST_000003,8214,2025-01-27,07:28:04,60.37,Starbucks,Restaurant,Rochester,NY,00,0
TXN_00000230,CUST_000217,8750,2025-01-27,09:00:04,63.12,Target,Grocery,Rochester,NY,00,0
TXN_00000464,CUST_000499,6301,2025-01-27,19:31:04,159.37,Walmart.com,Online Retail,Grand Rapids,MI,00,0
TXN_00000103,CUST_000149,8364,2025-01-27,20:41:04,152.48,Macy's,Department Store,Grand Rapids,MI,00,0
TXN_00000885,CUST_000396,2758,2025-01-28,03:04:04,34.77,Rite Aid,Pharmacy,Erie,PA,00,0
TXN_00000921,CUST_000277,9149,2025-01-28,16:25:04,387.01,Bank ATM,ATM,Buffalo,NY,00,0
TXN_00000787,CUST_000112,9545,2025-01-28,16:41:04,91.99,Whole Foods,Grocery,Columbus,GA,00,0
TXN_00000413,CUST_000155,6196,2025-01-29,06:12:04,241.56,Target.com,Online Retail,Detroit,MI,00,0
TXN_00000602,CUST_000211,4387,2025-01-29,07:25:04,38.17,Theme Park,Entertainment,Orlando,FL,00,0
TXN_00000798,CUST_000061,9376,2025-01-29,11:05:04,466.34,Bank ATM,ATM,Greensboro,NC,00,0
TXN_00000561,CUST_000059,7629,2025-01-29,11:25:04,27.61,Concert Hall,Entertainment,Columbus,GA,00,0
TXN_00000264,CUST_000450,1689,2025-01-29,12:25:04,91.1,Walmart.com,Online Retail,San Antonio,TX,00,0
TXN_00000578,CUST_000500,1871,2025-01-29,14:25:04,31.33,Movie Theater,Entertainment,Allentown,PA,00,0
TXN_00000790,CUST_000469,4988,2025-01-29,23:38:04,33.97,Rite Aid,Pharmacy,Warren,MI,00,0
TXN_00000385,CUST_000059,0842,2025-01-30,02:36:04,70.25,Bowling Alley,Entertainment,Sacramento,CA,00,0
TXN_00000472,CUST_000046,3611,2025-01-30,02:49:04,91.47,Olive Garden,Restaurant,Rockford,IL,00,0
TXN_00000467,CUST_000300,7510,2025-01-30,09:02:04,36.65,Olive Garden,Restaurant,Houston,TX,00,0
TXN_00000409,CUST_000382,8948,2025-01-30,10:17:04,380.12,Marriott,Hotel,San Diego,CA,00,0
TXN_00000606,CUST_000360,7921,2025-01-30,16:28:04,53.58,Health Mart,Pharmacy,Philadelphia,PA,00,0
TXN_00000914,CUST_000229,3881,2025-01-30,19:12:04,710.29,Fry's Electronics,Electronics,Pittsburgh,PA,00,0
TXN_00000539,CUST_000085,7240,2025-01-31,00:36:04,224.85,Hyatt,Hotel,Chicago,IL,00,0
TXN_00000344,CUST_000189,2669,2025-01-31,07:52:04,23.88,BP,Gas Station,Orlando,FL,00,0
TXN_00000204,CUST_000407,6650,2025-01-31,17:20:04,276.72,Bank ATM,ATM,Detroit,MI,00,0
TXN_00000662,CUST_000295,9600,2025-01-31,21:50:04,142.47,Best Buy Online,Online Retail,Springfield,IL,00,0
TXN_00000106,CUST_000390,3173,2025-01-31,23:00:04,506.13,Circuit City,Electronics,Orlando,FL,00,0
TXN_00000013,CUST_000260,8498,2025-02-01,02:22:04,6.97,Whole Foods,Grocery,Remote_AK,AK,61,1
TXN_00000976,CUST_000368,3394,2025-02-01,09:33:04,183.76,Sears,Department Store,Pittsburgh,PA,00,0
TXN_00000920,CUST_000205,8397,2025-02-01,10:08:04,49.39,Sports Arena,Entertainment,San Francisco,CA,00,0
TXN_00000152,CUST_000102,9667,2025-02-01,16:13:04,105.65,Safeway,Grocery,Austin,TX,00,0
TXN_00000850,CUST_000479,5376,2025-02-01,18:25:04,483.82,Mall ATM,ATM,Los Angeles,CA,00,0
TXN_00000942,CUST_000484,7763,2025-02-01,19:17:04,202.39,Best Buy Online,Online Retail,San Antonio,TX,00,0
