transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,subscription_tier,billing_cycle,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00000347,CUST_35140847,Customer 9316,user667@example.com,+1-555-120-7397,"850 Main St, City, State",New York,OH,58929,US,169.161.27.198,startup,2024-07-16 14:51:31.404827,2024-07-16,14:51:31,CloudSync Enterprise,B2B SaaS Platform,Technology,downgrade,1519.8,professional,annual,subscription,apple_pay,failed,14,Invalid card,824,False,,16.036643861039,,5711.361019103902,influencer,2,mobile_android,True,1745,HST,en,14.0,1.0,False,7.0,3.0,1.0,1519.8
TXN_20240716_00000645,CUST_57182050,Customer 6770,user264@example.com,+1-555-975-9202,"872 Main St, City, State",Phoenix,MI,18957,US,138.2.250.186,startup,2024-07-16 18:09:02.404827,2024-07-16,18:09:02,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,1519.8,professional,annual,subscription,paypal,completed,00,Approved,1510,False,amount_exceeds_normal,30.176911589774903,,2310.0127995964403,paid_search,2,desktop_windows,False,495,EST,en,18.0,1.0,False,7.0,3.0,1.0,1519.8
TXN_20240716_00000715,CUST_67179503,Customer 6217,user518@example.com,+1-555-129-6545,"816 Main St, City, State",Phoenix,GA,13003,US,16.104.221.241,smb,2024-07-16 22:18:15.404827,2024-07-16,22:18:15,CloudSync Enterprise,B2B SaaS Platform,Technology,downgrade,149.0,professional,monthly,subscription,paypal,completed,00,Approved,820,False,,14.893932097244987,,44448.93781225641,organic_search,2,desktop_mac,False,900,CST,en,22.0,1.0,False,7.0,3.0,1.0,149.0
TXN_20240717_00000082,CUST_65692629,Customer 9022,user986@example.com,+1-555-252-8316,"492 Main St, City, State",Chicago,PA,82340,US,60.220.199.106,enterprise,2024-07-17 11:49:41.404827,2024-07-17,11:49:41,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,1299.0,enterprise,monthly,subscription,venmo,completed,00,Approved,1731,False,,8.533001744515875,,419247.26293351024,paid_search,1,mobile_ios,True,167,MST,en,11.0,2.0,False,7.0,3.0,1.0,1299.0
TXN_20240717_00000357,CUST_42016960,Customer 7043,user271@example.com,+1-555-720-2876,"177 Main St, City, State",Chicago,NY,85849,US,152.177.213.161,individual,2024-07-17 15:08:18.404827,2024-07-17,15:08:18,CloudSync Enterprise,B2B SaaS Platform,Technology,upgrade,1519.8,professional,annual,subscription,google_pay,completed,00,Approved,1928,False,amount_exceeds_normal,31.03794775194762,,1371.9718047778304,organic_search,1,mobile_ios,True,1223,CST,en,15.0,2.0,False,7.0,3.0,1.0,1519.8
TXN_20240717_00000011,CUST_78062865,Customer 2120,user449@example.com,+1-555-293-8794,"565 Main St, City, State",Phoenix,PA,85813,US,225.203.234.11,startup,2024-07-17 15:14:29.404827,2024-07-17,15:14:29,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,49.0,starter,monthly,subscription,card,completed,00,Approved,1768,False,,14.87792019979787,,4798.550263750143,organic_search,1,mobile_android,True,450,AKST,en,15.0,2.0,False,7.0,3.0,1.0,49.0
TXN_20240717_00000817,CUST_28639738,Customer 3126,user726@example.com,+1-555-188-2077,"560 Main St, City, State",Houston,GA,78903,US,120.175.133.89,individual,2024-07-17 17:18:31.404827,2024-07-17,17:18:31,CloudSync Enterprise,B2B SaaS Platform,Technology,new_subscription,1519.8,professional,annual,subscription,google_pay,completed,00,Approved,1973,False,amount_exceeds_normal,27.393110621591156,,149.93965093570483,paid_search,2,mobile_ios,True,1268,CST,en,17.0,2.0,False,7.0,3.0,1.0,1519.8
TXN_20240717_00000949,CUST_71949302,Customer 3412,user825@example.com,+1-555-728-1259,"382 Main St, City, State",Los Angeles,PA,62968,US,184.43.180.60,individual,2024-07-17 18:45:11.404827,2024-07-17,18:45:11,CloudSync Enterprise,B2B SaaS Platform,Technology,downgrade,424.65,professional,quarterly,subscription,venmo,completed,00,Approved,1816,False,,20.749662868281607,,859.8010426410129,direct_traffic,1,desktop_windows,False,1125,HST,en,18.0,2.0,False,7.0,3.0,1.0,424.65
TXN_20240717_00000722,CUST_11524247,Customer 8937,user536@example.com,+1-555-538-2676,"104 Main St, City, State",Phoenix,MI,62517,US,22.122.169.94,smb,2024-07-17 20:26:06.404827,2024-07-17,20:26:06,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,1519.8,professional,annual,subscription,card,completed,00,Approved,1665,False,,7.380146971631245,,7502.50420225083,paid_search,1,mobile_android,True,1609,MST,en,20.0,2.0,False,7.0,3.0,1.0,1519.8
TXN_20240718_00000688,CUST_42594692,Customer 1672,user455@example.com,+1-555-645-8018,"470 Main St, City, State",New York,NC,94874,US,163.229.213.118,enterprise,2024-07-18 15:42:47.404827,2024-07-18,15:42:47,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,3702.15,enterprise,quarterly,subscription,card,completed,00,Approved,653,True,fraud_type_card_testing,12.647415417878141,card_testing,432631.9575899583,organic_search,2,desktop_mac,False,158,EST,en,15.0,3.0,False,7.0,3.0,1.0,3702.15
