transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,trading_pair,fee,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00001218,CUST_14182368,Customer 4092,user573@example.com,+1-555-181-7200,"159 Main St, City, State",New York,FL,37924,US,243.92.85.136,enterprise,2024-07-16 01:29:51.247216,2024-07-16,01:29:51,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,28743.03,USDT/USD,0.0,trading,apple_pay,completed,00,Approved,1561,False,,22.462123786597026,,167209.2609976327,paid_search,1,mobile_android,True,1503,EST,en,1.0,1.0,False,7.0,3.0,1.0,28743.03
TXN_20240716_00000987,CUST_92196289,Customer 2542,user305@example.com,+1-555-671-4147,"829 Main St, City, State",Los Angeles,NY,62518,US,117.74.17.49,new,2024-07-16 01:40:00.247216,2024-07-16,01:40:00,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,2675.24,USDT/USD,0.0,trading,card,completed,00,Approved,1564,False,amount_exceeds_normal,43.5796736930109,,391.4721618841614,direct_traffic,2,mobile_android,True,1667,AKST,en,1.0,1.0,False,7.0,3.0,1.0,2675.24
TXN_20240716_00001516,CUST_59875922,Customer 3894,user295@example.com,+1-555-649-6393,"654 Main St, City, State",New York,NY,46776,US,41.144.189.22,new,2024-07-16 06:27:08.247216,2024-07-16,06:27:08,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,34345.07,ETH/USD,0.0,trading,paypal,completed,00,Approved,911,False,amount_exceeds_normal,34.26781455755913,,977.2135323698102,organic_search,3,mobile_android,True,1218,HST,en,6.0,1.0,False,7.0,3.0,1.0,34345.07
TXN_20240716_00000772,CUST_16901684,Customer 3660,user159@example.com,+1-555-667-9059,"573 Main St, City, State",Phoenix,FL,28936,US,169.251.226.78,enterprise,2024-07-16 08:02:21.247216,2024-07-16,08:02:21,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,4637.14,BTC/USD,9.27,trading,card,completed,00,Approved,616,False,,16.223902881799436,,96872.44864052892,paid_search,2,mobile_android,True,720,AKST,en,8.0,1.0,False,7.0,3.0,1.0,4637.14
TXN_20240716_00000416,CUST_38053710,Customer 3451,user987@example.com,+1-555-245-5113,"450 Main St, City, State",Phoenix,PA,31803,US,45.106.123.114,regular,2024-07-16 18:10:33.247216,2024-07-16,18:10:33,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,96521.8,USDT/USD,193.04,trading,google_pay,completed,00,Approved,1463,False,amount_exceeds_normal,28.79634638963291,,2909.829878805795,content_marketing,1,mobile_ios,True,648,AKST,en,18.0,1.0,False,7.0,3.0,1.0,96521.8
TXN_20240717_00001586,CUST_22583883,Customer 1214,user898@example.com,+1-555-621-6753,"246 Main St, City, State",New York,NY,29366,US,98.46.74.239,enterprise,2024-07-17 05:39:06.247216,2024-07-17,05:39:06,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,58445.1,BTC/USD,116.89,trading,venmo,completed,00,Approved,1602,False,,0.7887925883409752,,168821.24140864596,social_media_organic,2,mobile_android,True,1401,CST,en,5.0,2.0,False,7.0,3.0,1.0,58445.1
TXN_20240717_00000699,CUST_50272483,Customer 7686,user779@example.com,+1-555-589-9782,"223 Main St, City, State",Los Angeles,CA,51773,US,158.54.50.252,enterprise,2024-07-17 05:50:10.247216,2024-07-17,05:50:10,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,90915.82,USDT/USD,181.83,trading,card,completed,00,Approved,428,False,,6.871299327333748,,217795.35454556564,influencer,2,mobile_android,True,368,CST,en,5.0,2.0,False,7.0,3.0,1.0,90915.82
TXN_20240717_00000819,CUST_21630020,Customer 7056,user313@example.com,+1-555-189-9879,"690 Main St, City, State",Los Angeles,NY,90885,US,96.181.240.161,enterprise,2024-07-17 12:10:20.247216,2024-07-17,12:10:20,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,64701.55,BTC/USD,129.4,trading,paypal,completed,00,Approved,113,False,,6.801225348397727,,131937.86856478103,social_media_paid,2,mobile_android,True,953,CST,en,12.0,2.0,False,7.0,3.0,1.0,64701.55
TXN_20240717_00001751,CUST_68338057,Customer 2721,user784@example.com,+1-555-112-3412,"453 Main St, City, State",Los Angeles,MI,15220,US,183.109.233.166,vip,2024-07-17 14:49:10.247216,2024-07-17,14:49:10,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,50744.72,USDT/USD,0.0,trading,apple_pay,completed,00,Approved,837,False,amount_exceeds_normal,48.25380168035659,,22403.315522816916,organic_search,3,mobile_android,True,547,AKST,en,14.0,2.0,False,7.0,3.0,1.0,50744.72
TXN_20240717_00000932,CUST_11582884,Customer 7736,user142@example.com,+1-555-767-9907,"580 Main St, City, State",Los Angeles,MI,67407,US,187.13.83.82,regular,2024-07-17 17:04:49.247216,2024-07-17,17:04:49,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,72715.57,USDT/USD,0.0,trading,google_pay,failed,05,Do not honor,1055,False,amount_exceeds_normal,49.616681223107726,,1655.830453994641,email_marketing,1,desktop_windows,False,390,PST,en,17.0,2.0,False,7.0,3.0,1.0,72715.57
TXN_20240717_00001818,CUST_87734831,Customer 3413,user632@example.com,+1-555-922-7022,"959 Main St, City, State",Los Angeles,PA,86682,US,207.42.227.123,regular,2024-07-17 20:21:06.247216,2024-07-17,20:21:06,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,37464.79,ETH/USD,74.93,trading,apple_pay,completed,00,Approved,1993,True,"amount_exceeds_normal,fraud_type_account_takeover",43.214455180277156,account_takeover,3282.4046993259103,influencer,1,mobile_android,True,1379,AKST,en,20.0,2.0,False,7.0,3.0,1.0,37464.79
TXN_20240718_00001807,CUST_33329642,Customer 1071,user778@example.com,+1-555-114-3125,"147 Main St, City, State",New York,CA,96399,US,33.182.1.158,new,2024-07-18 03:37:33.247216,2024-07-18,03:37:33,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,73166.83,BTC/USD,0.0,trading,paypal,completed,00,Approved,1895,False,amount_exceeds_normal,23.972603781157314,,129.91087097696584,affiliate,2,tablet_ipad,False,736,AKST,en,3.0,3.0,False,7.0,3.0,1.0,73166.83
TXN_20240718_00000827,CUST_22612937,Customer 8865,user634@example.com,+1-555-644-7952,"561 Main St, City, State",New York,OH,69973,US,131.45.246.203,regular,2024-07-18 06:30:23.247216,2024-07-18,06:30:23,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,8328.23,ETH/USD,0.0,trading,venmo,completed,00,Approved,265,False,amount_exceeds_normal,24.41938303182502,,3771.98644950031,paid_search,1,desktop_linux,False,230,MST,en,6.0,3.0,False,7.0,3.0,1.0,8328.23
TXN_20240718_00000896,CUST_72056008,Customer 4790,user305@example.com,+1-555-340-8383,"787 Main St, City, State",Houston,NC,38346,US,240.167.4.253,new,2024-07-18 08:19:55.247216,2024-07-18,08:19:55,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,34297.14,USDT/USD,68.59,trading,venmo,completed,00,Approved,1255,False,amount_exceeds_normal,41.6587834199178,,977.0528720549436,social_media_organic,2,desktop_mac,False,432,MST,en,8.0,3.0,False,7.0,3.0,1.0,34297.14
TXN_20240718_00000019,CUST_19463015,Customer 1279,user563@example.com,+1-555-827-6431,"408 Main St, City, State",Chicago,NY,55184,US,221.27.143.74,enterprise,2024-07-18 13:07:35.247216,2024-07-18,13:07:35,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,82684.6,BTC/USD,0.0,trading,venmo,completed,00,Approved,1481,False,amount_exceeds_normal,22.722986737245403,,83974.52137734537,email_marketing,1,mobile_ios,True,1327,MST,en,13.0,3.0,False,7.0,3.0,1.0,82684.6
TXN_20240718_00001700,CUST_44614655,Customer 9337,user292@example.com,+1-555-161-4749,"935 Main St, City, State",Chicago,MI,54714,US,107.8.184.100,new,2024-07-18 15:07:31.247216,2024-07-18,15:07:31,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,99547.68,USDT/USD,199.1,trading,apple_pay,completed,00,Approved,518,False,amount_exceeds_normal,37.20290826881731,,247.19887296590525,affiliate,3,mobile_android,True,708,CST,en,15.0,3.0,False,7.0,3.0,1.0,99547.68
TXN_20240718_00000140,CUST_63083117,Customer 3898,user879@example.com,+1-555-620-6679,"928 Main St, City, State",Los Angeles,CA,79216,US,124.91.186.235,vip,2024-07-18 17:35:45.247216,2024-07-18,17:35:45,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,4584.58,ETH/USD,9.17,trading,card,failed,14,Invalid card,1342,False,,0.7204956949565328,,24441.343744782906,paid_search,1,desktop_mac,False,1541,EST,en,17.0,3.0,False,7.0,3.0,1.0,4584.58
TXN_20240718_00000762,CUST_31300685,Customer 8345,user112@example.com,+1-555-817-5748,"750 Main St, City, State",New York,MI,38535,US,163.56.185.165,regular,2024-07-18 19:00:19.247216,2024-07-18,19:00:19,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,74960.09,USDT/USD,0.0,trading,apple_pay,completed,00,Approved,1512,False,amount_exceeds_normal,39.28711078384035,,1481.8539059113393,organic_search,1,mobile_ios,True,1555,EST,en,19.0,3.0,False,7.0,3.0,1.0,74960.09
TXN_20240718_00001454,CUST_65715270,Customer 1960,user475@example.com,+1-555-206-8829,"563 Main St, City, State",Los Angeles,OH,78013,US,162.246.72.139,regular,2024-07-18 20:38:03.247216,2024-07-18,20:38:03,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,80311.4,BTC/USD,0.0,trading,google_pay,completed,00,Approved,1928,False,amount_exceeds_normal,39.55968361880465,,2658.9015515882247,referral,2,mobile_ios,True,87,AKST,en,20.0,3.0,False,7.0,3.0,1.0,80311.4
TXN_20240719_00001842,CUST_38300380,Customer 1277,user757@example.com,+1-555-486-1705,"218 Main St, City, State",Phoenix,OH,54757,US,146.130.31.8,new,2024-07-19 01:52:58.247216,2024-07-19,01:52:58,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,15049.77,USDT/USD,0.0,trading,google_pay,completed,00,Approved,809,False,amount_exceeds_normal,30.35544808520453,,443.00931441934097,social_media_organic,2,mobile_ios,True,264,AKST,en,1.0,4.0,False,7.0,3.0,1.0,15049.77
TXN_20240719_00000902,CUST_37421511,Customer 9346,user719@example.com,+1-555-575-9852,"537 Main St, City, State",New York,IL,23761,US,88.11.83.85,regular,2024-07-19 01:57:16.247216,2024-07-19,01:57:16,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,25620.89,ETH/USD,51.24,trading,paypal,completed,00,Approved,500,False,amount_exceeds_normal,20.843693255562002,,3237.265288146691,organic_search,1,mobile_android,True,286,EST,en,1.0,4.0,False,7.0,3.0,1.0,25620.89
TXN_20240719_00000351,CUST_54296816,Customer 3008,user341@example.com,+1-555-772-2056,"140 Main St, City, State",Houston,TX,73775,US,205.212.33.54,enterprise,2024-07-19 05:03:06.247216,2024-07-19,05:03:06,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,37379.65,BTC/USD,0.0,trading,venmo,completed,00,Approved,843,False,,14.289380807975,,211480.67111761824,organic_search,2,mobile_ios,True,735,AKST,en,5.0,4.0,False,7.0,3.0,1.0,37379.65
TXN_20240719_00001986,CUST_79830326,Customer 7410,user592@example.com,+1-555-617-4667,"125 Main St, City, State",Phoenix,NC,39326,US,13.192.148.24,regular,2024-07-19 07:30:13.247216,2024-07-19,07:30:13,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,8420.21,ETH/USD,0.0,trading,paypal,completed,00,Approved,1825,False,amount_exceeds_normal,42.18312010610208,,2352.8426791074953,email_marketing,2,mobile_ios,True,44,PST,en,7.0,4.0,False,7.0,3.0,1.0,8420.21
TXN_20240719_00001937,CUST_56642193,Customer 1931,user681@example.com,+1-555-704-6628,"166 Main St, City, State",New York,MI,98267,US,5.94.14.128,enterprise,2024-07-19 17:55:32.247216,2024-07-19,17:55:32,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,54133.6,USDT/USD,108.27,trading,apple_pay,completed,00,Approved,1479,False,,16.410385927742464,,129689.05141892581,referral,1,mobile_ios,True,1617,CST,en,17.0,4.0,False,7.0,3.0,1.0,54133.6
TXN_20240719_00001338,CUST_31539907,Customer 5188,user138@example.com,+1-555-759-5364,"763 Main St, City, State",New York,GA,47884,US,160.12.230.216,enterprise,2024-07-19 23:37:24.247216,2024-07-19,23:37:24,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,71599.16,BTC/USD,0.0,trading,card,completed,00,Approved,1870,False,amount_exceeds_normal,35.28763610337085,,83813.57742767315,referral,1,desktop_windows,False,1564,PST,en,23.0,4.0,False,7.0,3.0,1.0,71599.16
TXN_20240720_00001585,CUST_88773387,Customer 1019,user476@example.com,+1-555-863-4341,"420 Main St, City, State",Houston,PA,72136,US,188.71.160.30,new,2024-07-20 14:16:30.247216,2024-07-20,14:16:30,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,32270.5,ETH/USD,64.54,trading,paypal,failed,14,Invalid card,625,True,"amount_exceeds_normal,fraud_type_account_takeover",37.36547721394507,account_takeover,848.0636161223366,organic_search,1,mobile_ios,True,517,CST,en,14.0,5.0,True,7.0,3.0,1.0,32270.5
