transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,trading_pair,fee,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00000480,CUST_10929540,Customer 2612,user933@example.com,+1-555-841-9119,"882 Main St, City, State",Los Angeles,IL,44141,US,102.141.213.194,new,2024-07-16 08:49:05.120577,2024-07-16,08:49:05,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,16429.15,ETH/USD,0.0,trading,card,completed,00,Approved,1877,False,amount_exceeds_normal,31.431712560694308,,950.2873486550111,paid_search,5,mobile_android,True,674,HST,en,8.0,1.0,False,7.0,3.0,1.0,16429.15
TXN_20240716_00000477,CUST_23545438,Customer 4624,user825@example.com,+1-555-518-7236,"269 Main St, City, State",New York,FL,57164,US,162.153.117.212,new,2024-07-16 20:46:21.120577,2024-07-16,20:46:21,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,34176.04,BTC/USD,0.0,trading,google_pay,completed,00,Approved,689,True,"amount_exceeds_normal,fraud_type_account_takeover",20.71757946801916,account_takeover,847.1592259813589,referral,2,tablet_ipad,False,1457,CST,en,20.0,1.0,False,7.0,3.0,1.0,34176.04
TXN_20240717_00000227,CUST_16717379,Customer 4823,user497@example.com,+1-555-890-3597,"222 Main St, City, State",Los Angeles,GA,78732,US,162.161.54.200,new,2024-07-17 07:19:07.120577,2024-07-17,07:19:07,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,18838.5,ETH/USD,37.68,trading,card,completed,00,Approved,1082,False,amount_exceeds_normal,42.947482992025456,,175.52123507883354,social_media_organic,2,desktop_windows,False,443,AKST,en,7.0,2.0,False,7.0,3.0,1.0,18838.5
TXN_20240717_00000260,CUST_74430623,Customer 6149,user204@example.com,+1-555-561-4411,"436 Main St, City, State",Los Angeles,PA,28873,US,116.24.163.118,enterprise,2024-07-17 20:57:33.120577,2024-07-17,20:57:33,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,95626.61,BTC/USD,0.0,trading,paypal,completed,00,Approved,1848,False,amount_exceeds_normal,40.757206092536286,,70403.4114140374,social_media_paid,1,mobile_ios,True,1555,HST,en,20.0,2.0,False,7.0,3.0,1.0,95626.61
TXN_20240717_00000153,CUST_12226972,Customer 4880,user335@example.com,+1-555-812-6996,"907 Main St, City, State",Houston,NC,57935,US,81.126.36.57,vip,2024-07-17 23:24:31.120577,2024-07-17,23:24:31,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,64557.29,BTC/USD,129.11,trading,venmo,completed,00,Approved,1791,False,amount_exceeds_normal,32.947932919821625,,16224.626334204371,email_marketing,1,mobile_android,True,1449,AKST,en,23.0,2.0,False,7.0,3.0,1.0,64557.29
TXN_20240718_00000623,CUST_22599533,Customer 3870,user533@example.com,+1-555-669-5394,"562 Main St, City, State",New York,OH,92694,US,158.144.91.20,enterprise,2024-07-18 10:23:36.120577,2024-07-18,10:23:36,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,99186.46,BTC/USD,198.37,trading,venmo,completed,00,Approved,1187,False,amount_exceeds_normal,46.82445129218556,,188436.9271504419,referral,2,mobile_ios,True,136,MST,en,10.0,3.0,False,7.0,3.0,1.0,99186.46
TXN_20240718_00000272,CUST_43875020,Customer 7973,user984@example.com,+1-555-795-1702,"129 Main St, City, State",Chicago,NC,73657,US,245.40.244.231,regular,2024-07-18 18:32:57.120577,2024-07-18,18:32:57,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,80193.77,BTC/USD,160.39,trading,google_pay,completed,00,Approved,1456,False,amount_exceeds_normal,43.693014290694336,,3787.2060233494217,referral,1,desktop_windows,False,1698,CST,en,18.0,3.0,False,7.0,3.0,1.0,80193.77
TXN_20240718_00000813,CUST_52050815,Customer 6032,user834@example.com,+1-555-603-7207,"442 Main St, City, State",Los Angeles,IL,26091,US,197.137.114.180,new,2024-07-18 23:52:27.120577,2024-07-18,23:52:27,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,38032.41,BTC/USD,0.0,trading,venmo,completed,00,Approved,1552,False,amount_exceeds_normal,38.21914773759723,,901.8140484738072,paid_search,1,desktop_windows,False,387,CST,en,23.0,3.0,False,7.0,3.0,1.0,38032.41
TXN_20240719_00000376,CUST_73823106,Customer 4985,user196@example.com,+1-555-636-9829,"180 Main St, City, State",Los Angeles,OH,56018,US,108.221.229.78,enterprise,2024-07-19 03:25:59.120577,2024-07-19,03:25:59,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,52839.94,BTC/USD,0.0,trading,apple_pay,completed,00,Approved,595,False,,10.674700862236794,,217984.51721638645,influencer,2,desktop_linux,False,1134,HST,en,3.0,4.0,False,7.0,3.0,1.0,52839.94
TXN_20240719_00000152,CUST_58208148,Customer 6883,user262@example.com,+1-555-814-4480,"240 Main St, City, State",Chicago,GA,16063,US,154.134.226.176,vip,2024-07-19 13:42:10.120577,2024-07-19,13:42:10,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,4313.93,BTC/USD,8.63,trading,venmo,completed,00,Approved,552,True,fraud_type_card_testing,23.648242857165265,card_testing,22350.640712351043,paid_search,1,mobile_android,True,903,CST,en,13.0,4.0,False,7.0,3.0,1.0,4313.93
TXN_20240719_00000506,CUST_85797821,Customer 2508,user931@example.com,+1-555-943-6540,"438 Main St, City, State",Chicago,FL,95189,US,125.123.254.87,new,2024-07-19 16:43:54.120577,2024-07-19,16:43:54,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,84637.54,BTC/USD,169.28,trading,apple_pay,completed,00,Approved,1853,False,amount_exceeds_normal,45.429708676809355,,791.9769460651061,social_media_paid,1,tablet_android,False,1459,PST,en,16.0,4.0,False,7.0,3.0,1.0,84637.54
TXN_20240720_00000694,CUST_44657843,Customer 6640,user828@example.com,+1-555-940-3029,"841 Main St, City, State",Phoenix,TX,81721,US,95.185.141.196,regular,2024-07-20 04:51:39.120577,2024-07-20,04:51:39,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,60122.94,USDT/USD,0.0,trading,apple_pay,completed,00,Approved,1855,False,amount_exceeds_normal,41.44366579389498,,2414.2777047527443,organic_search,2,mobile_ios,True,1548,HST,en,4.0,5.0,True,7.0,3.0,1.0,60122.94
TXN_20240720_00000666,CUST_87698549,Customer 3375,user539@example.com,+1-555-570-5227,"556 Main St, City, State",Los Angeles,CA,78091,US,195.168.56.20,regular,2024-07-20 11:43:36.120577,2024-07-20,11:43:36,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,44513.56,ETH/USD,89.03,trading,google_pay,completed,00,Approved,184,False,amount_exceeds_normal,26.106464378033543,,1512.4955692788953,paid_search,1,desktop_windows,False,324,MST,en,11.0,5.0,True,7.0,3.0,1.0,44513.56
TXN_20240720_00000122,CUST_97580246,Customer 6054,user286@example.com,+1-555-116-1879,"595 Main St, City, State",Phoenix,GA,96111,US,161.86.100.40,regular,2024-07-20 21:02:16.120577,2024-07-20,21:02:16,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,52431.76,BTC/USD,104.86,trading,card,completed,00,Approved,1930,False,amount_exceeds_normal,31.632320110952243,,1585.3223965802194,organic_search,1,mobile_android,True,678,CST,en,21.0,5.0,True,7.0,3.0,1.0,52431.76
TXN_20240721_00000128,CUST_35373078,Customer 9234,user383@example.com,+1-555-748-1592,"319 Main St, City, State",Chicago,FL,73747,US,79.207.1.63,enterprise,2024-07-21 01:06:33.120577,2024-07-21,01:06:33,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,8417.24,USDT/USD,0.0,trading,paypal,completed,00,Approved,379,False,,0.8256536517871088,,93124.37301930679,paid_search,1,mobile_android,True,1123,HST,en,1.0,6.0,True,7.0,3.0,1.0,8417.24
TXN_20240721_00000408,CUST_85972065,Customer 5306,user167@example.com,+1-555-778-9507,"124 Main St, City, State",Chicago,OH,70072,US,254.31.171.36,enterprise,2024-07-21 06:41:31.120577,2024-07-21,06:41:31,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,72412.88,BTC/USD,144.83,trading,apple_pay,completed,00,Approved,1356,False,,19.104717040228014,,246544.8145151525,referral,1,desktop_mac,False,273,EST,en,6.0,6.0,True,7.0,3.0,1.0,72412.88
TXN_20240722_00000523,CUST_48486006,Customer 7924,user275@example.com,+1-555-783-2707,"616 Main St, City, State",Houston,NC,51557,US,122.142.230.158,regular,2024-07-22 00:05:02.120577,2024-07-22,00:05:02,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,13396.48,ETH/USD,0.0,trading,paypal,completed,00,Approved,1806,False,amount_exceeds_normal,39.13466965925157,,2940.816738383389,paid_search,1,desktop_windows,False,1045,MST,en,0.0,0.0,False,7.0,3.0,1.0,13396.48
TXN_20240722_00000341,CUST_70725488,Customer 7933,user628@example.com,+1-555-787-3241,"645 Main St, City, State",Chicago,TX,71397,US,172.120.125.11,vip,2024-07-22 10:14:49.120577,2024-07-22,10:14:49,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,41210.0,USDT/USD,82.42,trading,venmo,completed,00,Approved,923,False,amount_exceeds_normal,24.989463525190928,,23060.84324186329,email_marketing,1,mobile_ios,True,357,CST,en,10.0,0.0,False,7.0,3.0,1.0,41210.0
TXN_20240722_00000952,CUST_97437725,Customer 7868,user314@example.com,+1-555-648-7423,"684 Main St, City, State",Los Angeles,FL,80017,US,240.90.138.214,vip,2024-07-22 21:19:56.120577,2024-07-22,21:19:56,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,14161.18,ETH/USD,28.32,trading,card,completed,00,Approved,1805,False,amount_exceeds_normal,28.835427091894616,,22706.118797411087,paid_search,3,mobile_ios,True,924,AKST,en,21.0,0.0,False,7.0,3.0,1.0,14161.18
TXN_20240723_00000154,CUST_96837589,Customer 8063,user508@example.com,+1-555-354-4540,"607 Main St, City, State",Los Angeles,MI,37356,US,249.148.140.75,new,2024-07-23 17:49:40.120577,2024-07-23,17:49:40,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,62017.43,BTC/USD,0.0,trading,card,completed,00,Approved,781,False,amount_exceeds_normal,36.89077380891617,,475.84666195758683,paid_search,1,mobile_ios,True,429,EST,en,17.0,1.0,False,7.0,3.0,1.0,62017.43
