transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,subscription_tier,billing_cycle,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00000158,CUST_72143727,Customer 1920,user517@example.com,+1-555-600-6321,"747 Main St, City, State",Los Angeles,NC,38253,US,8.81.173.243,enterprise,2024-07-16 02:38:31.179733,2024-07-16,02:38:31,StreamVibe Plus,Video Streaming,Entertainment,upgrade,17.99,premium,monthly,subscription,card,completed,00,Approved,1541,False,,12.342389590398428,,83613.83830555552,social_media_organic,1,mobile_android,True,132,CST,en,2.0,1.0,False,7.0,3.0,1.0,17.99
TXN_20240716_00000370,CUST_38486857,Customer 1248,user593@example.com,+1-555-132-4318,"244 Main St, City, State",New York,PA,46664,US,167.49.40.99,vip,2024-07-16 20:21:16.179733,2024-07-16,20:21:16,StreamVibe Plus,Video Streaming,Entertainment,renewal,13.99,standard,monthly,subscription,venmo,completed,00,Approved,522,False,,17.507766622688695,,18301.641441358697,paid_search,2,tablet_android,False,1305,HST,en,20.0,1.0,False,7.0,3.0,1.0,13.99
TXN_20240717_00000327,CUST_27035338,Customer 5067,user551@example.com,+1-555-960-6869,"832 Main St, City, State",Chicago,FL,71699,US,21.101.190.70,new,2024-07-17 01:15:00.179733,2024-07-17,01:15:00,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,8.99,basic,monthly,subscription,paypal,completed,00,Approved,378,False,,4.402713854147381,,917.0877877394175,paid_search,1,mobile_ios,True,1686,CST,en,1.0,2.0,False,7.0,3.0,1.0,8.99
TXN_20240717_00000498,CUST_78419049,Customer 1078,user735@example.com,+1-555-926-3480,"245 Main St, City, State",Phoenix,OH,46146,US,165.107.129.173,enterprise,2024-07-17 05:15:44.179733,2024-07-17,05:15:44,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,17.99,premium,monthly,subscription,google_pay,completed,00,Approved,919,False,,5.3429978753887175,,104249.87567284614,paid_search,1,desktop_mac,False,812,MST,en,5.0,2.0,False,7.0,3.0,1.0,17.99
TXN_20240717_00000535,CUST_75138516,Customer 8611,user601@example.com,+1-555-928-1752,"648 Main St, City, State",Chicago,CA,65661,US,84.248.189.167,regular,2024-07-17 05:17:55.179733,2024-07-17,05:17:55,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,13.99,standard,monthly,subscription,card,completed,00,Approved,807,False,,2.3084240044160738,,3981.1010861813565,affiliate,1,smart_tv_roku,False,990,PST,en,5.0,2.0,False,7.0,3.0,1.0,13.99
TXN_20240717_00000315,CUST_24811282,Customer 3790,user679@example.com,+1-555-488-4023,"303 Main St, City, State",Los Angeles,PA,55864,US,149.104.208.219,vip,2024-07-17 06:27:19.179733,2024-07-17,06:27:19,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,13.99,standard,monthly,subscription,paypal,completed,00,Approved,375,False,,3.5265492320142893,,18892.164834241477,paid_search,1,mobile_ios,True,243,HST,en,6.0,2.0,False,7.0,3.0,1.0,13.99
TXN_20240717_00000600,CUST_78270093,Customer 8195,user855@example.com,+1-555-160-3926,"755 Main St, City, State",New York,MI,66661,US,56.21.212.77,regular,2024-07-17 10:33:42.179733,2024-07-17,10:33:42,StreamVibe Plus,Video Streaming,Entertainment,renewal,8.99,basic,monthly,subscription,google_pay,completed,00,Approved,1017,False,,5.427632514899258,,3583.099929632853,social_media_organic,5,desktop_windows,False,75,EST,en,10.0,2.0,False,7.0,3.0,1.0,8.99
TXN_20240717_00000420,CUST_87566123,Customer 8616,user691@example.com,+1-555-216-7131,"277 Main St, City, State",Chicago,NC,94317,US,214.242.144.4,new,2024-07-17 12:26:15.179733,2024-07-17,12:26:15,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,13.99,standard,monthly,subscription,paypal,completed,00,Approved,525,False,,4.792258671065763,,122.3829389340023,social_media_organic,1,mobile_android,True,1507,CST,en,12.0,2.0,False,7.0,3.0,1.0,13.99
TXN_20240717_00000049,CUST_15204379,Customer 7658,user327@example.com,+1-555-865-5659,"393 Main St, City, State",Houston,NC,12997,US,79.123.92.186,vip,2024-07-17 13:49:07.179733,2024-07-17,13:49:07,StreamVibe Plus,Video Streaming,Entertainment,renewal,13.99,standard,monthly,subscription,paypal,completed,00,Approved,341,False,,4.387735089490038,,18099.529512905166,social_media_organic,2,mobile_ios,True,170,CST,en,13.0,2.0,False,7.0,3.0,1.0,13.99
TXN_20240717_00000418,CUST_80865813,Customer 2219,user642@example.com,+1-555-727-5078,"295 Main St, City, State",Los Angeles,NC,29364,US,186.188.50.200,new,2024-07-17 19:52:56.179733,2024-07-17,19:52:56,StreamVibe Plus,Video Streaming,Entertainment,renewal,8.99,basic,monthly,subscription,venmo,completed,00,Approved,1022,False,,20.26233782682316,,439.2062250263629,social_media_paid,1,desktop_windows,False,1597,AKST,en,19.0,2.0,False,7.0,3.0,1.0,8.99
