transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,service_type,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00000839,CUST_74887846,Customer 2803,user764@example.com,+1-555-375-1832,"584 Main St, City, State",Los Angeles,FL,22735,US,38.188.195.14,corporate,2024-07-16 14:39:52.065682,2024-07-16,14:39:52,HealthConnect Virtual,Telehealth Services,Healthcare,prescription,197.92,specialist_consultation,service,card,completed,00,Approved,1063,True,fraud_type_account_takeover,20.390306141379597,account_takeover,23471.67424408222,organic_search,3,mobile_ios,True,1684,EST,en,14.0,1.0,False,7.0,3.0,1.0,197.92
TXN_20240717_00000326,CUST_70212023,Customer 6072,user795@example.com,+1-555-572-1995,"740 Main St, City, State",Houston,MI,24165,US,34.236.221.1,family,2024-07-17 15:53:03.065682,2024-07-17,15:53:03,HealthConnect Virtual,Telehealth Services,Healthcare,consultation,163.66,specialist_consultation,service,venmo,completed,00,Approved,1932,False,,18.36312975544002,,2343.747180869037,paid_search,2,mobile_android,True,1016,MST,en,15.0,2.0,False,7.0,3.0,1.0,163.66
TXN_20240717_00000044,CUST_26035018,Customer 4909,user368@example.com,+1-555-934-4184,"231 Main St, City, State",Chicago,GA,21591,US,210.18.57.164,family,2024-07-17 17:33:39.065682,2024-07-17,17:33:39,HealthConnect Virtual,Telehealth Services,Healthcare,consultation,268.2,specialist_consultation,service,venmo,completed,00,Approved,168,False,,16.04410471576789,,3242.357960324182,paid_search,1,mobile_ios,True,852,PST,en,17.0,2.0,False,7.0,3.0,1.0,268.2
TXN_20240717_00000632,CUST_77657438,Customer 3744,user959@example.com,+1-555-976-8693,"596 Main St, City, State",New York,NC,84685,US,173.34.176.139,corporate,2024-07-17 23:27:54.065682,2024-07-17,23:27:54,HealthConnect Virtual,Telehealth Services,Healthcare,prescription,173.71,therapy_session,service,apple_pay,completed,00,Approved,1348,False,,7.359707818055786,,38850.31173503879,social_media_organic,1,desktop_windows,False,434,EST,en,23.0,2.0,False,7.0,3.0,1.0,173.71
TXN_20240718_00000872,CUST_16752754,Customer 3074,user649@example.com,+1-555-373-5861,"300 Main St, City, State",Chicago,CA,72299,US,183.125.248.149,family,2024-07-18 00:16:37.065682,2024-07-18,00:16:37,HealthConnect Virtual,Telehealth Services,Healthcare,appointment,150.38,specialist_consultation,service,paypal,completed,00,Approved,1919,False,,20.528914170076344,,2865.8306767438958,direct_traffic,5,mobile_ios,True,428,EST,en,0.0,3.0,False,7.0,3.0,1.0,150.38
TXN_20240718_00000835,CUST_96040977,Customer 1840,user825@example.com,+1-555-440-7176,"843 Main St, City, State",Los Angeles,FL,14614,US,69.51.67.203,individual,2024-07-18 00:55:00.065682,2024-07-18,00:55:00,HealthConnect Virtual,Telehealth Services,Healthcare,consultation,39.33,prescription_consultation,service,google_pay,completed,00,Approved,1826,False,,20.237813880691483,,677.4445431497223,social_media_paid,2,wearable_fitbit,False,770,AKST,en,0.0,3.0,False,7.0,3.0,1.0,39.33
TXN_20240718_00000437,CUST_54558415,Customer 2012,user717@example.com,+1-555-118-5433,"232 Main St, City, State",Phoenix,NY,61728,US,200.253.9.23,individual,2024-07-18 13:59:10.065682,2024-07-18,13:59:10,HealthConnect Virtual,Telehealth Services,Healthcare,prescription,107.33,therapy_session,service,google_pay,completed,00,Approved,1338,False,,12.393593282293697,,1512.92020534036,direct_traffic,1,desktop_windows,False,167,HST,en,13.0,3.0,False,7.0,3.0,1.0,107.33
TXN_20240719_00000699,CUST_17413977,Customer 9821,user590@example.com,+1-555-177-1156,"158 Main St, City, State",Chicago,NC,48235,US,139.239.98.105,corporate,2024-07-19 01:26:31.065682,2024-07-19,01:26:31,HealthConnect Virtual,Telehealth Services,Healthcare,appointment,254.61,specialist_consultation,service,venmo,completed,00,Approved,436,False,,12.317372410912144,,41071.90782874758,social_media_paid,2,desktop_windows,False,1254,PST,en,1.0,4.0,False,7.0,3.0,1.0,254.61
TXN_20240719_00000249,CUST_76194067,Customer 8354,user702@example.com,+1-555-747-2703,"411 Main St, City, State",Los Angeles,PA,38882,US,195.21.109.45,family,2024-07-19 08:44:37.065682,2024-07-19,08:44:37,HealthConnect Virtual,Telehealth Services,Healthcare,consultation,59.19,prescription_consultation,service,apple_pay,completed,00,Approved,1146,False,,20.021480680608214,,2090.3851319351797,organic_search,1,mobile_android,True,828,AKST,en,8.0,4.0,False,7.0,3.0,1.0,59.19
TXN_20240719_00000657,CUST_54853761,Customer 2713,user316@example.com,+1-555-374-2190,"744 Main St, City, State",Los Angeles,MI,29320,US,172.84.161.47,professional,2024-07-19 17:44:26.065682,2024-07-19,17:44:26,HealthConnect Virtual,Telehealth Services,Healthcare,appointment,49.6,prescription_consultation,service,paypal,completed,00,Approved,1307,False,,16.685668242745745,,7607.156262096077,paid_search,1,mobile_ios,True,208,PST,en,17.0,4.0,False,7.0,3.0,1.0,49.6
