transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,merchant_type,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,card_type,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,customer_is_regular,device_type,is_mobile,session_duration_seconds,timezone,language,batch_number,terminal_id,tip_amount,tax_amount,card_present,entry_method,card_number,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent,is_fraud,fraud_score
TXN_20250418_00000796,CUST_52653730,Customer 5907,user343@example.com,+1-555-782-1808,"809 Main St, City, State",Houston,GA,87500,US,190.65.221.34,enterprise,2025-04-18 03:14:04.604279,2025-04-18,03:14:04,Local Business,General Business,Technology,local_retail,purchase,27.8,general,paypal,completed,00,Approved,417,,False,,15.051551285070818,,144447.67962327524,organic_search,2,False,desktop_mac,False,47,EST,en,BATCH_20250418_8088,TERM_9146,0.0,2.22,True,chip,,3,4,False,4,2,1,27.8,0,8.890908221228917
TXN_20250418_00000374,CUST_86320155,Customer 4457,user370@example.com,+1-555-776-2330,"805 Main St, City, State",Los Angeles,TX,82350,US,153.121.75.9,startup,2025-04-18 05:54:02.604279,2025-04-18,05:54:02,Local Business,General Business,Technology,local_retail,subscription,208.19805437878813,general,google_pay,completed,00,Approved,369,,False,,24.484328325895426,,6486.678210206173,affiliate,4,True,desktop_windows,False,193,AKST,en,BATCH_20250418_8530,TERM_6615,0.0,29.31,False,chip,,5,4,False,4,2,1,208.19805437878813,0,16.122275658425096
TXN_20250418_00000984,CUST_54424679,Customer 8080,user505@example.com,+1-555-129-4232,"691 Main St, City, State",Phoenix,OH,60965,US,27.205.224.138,individual,2025-04-18 07:01:30.604279,2025-04-18,07:01:30,Local Business,General Business,Technology,local_retail,purchase,88.21,general,card,completed,00,Approved,1027,visa,False,,14.414091474928586,,1921.0789812945045,paid_search,3,False,mobile_ios,True,507,AKST,en,BATCH_20250418_8590,TERM_8282,0.0,7.06,True,chip,4454959578127312,7,4,False,4,2,1,88.21,0,9.439626638639151
TXN_20250418_00000700,CUST_31429110,Customer 2519,user489@example.com,+1-555-199-6881,"733 Main St, City, State",Phoenix,IL,15695,US,227.221.93.148,individual,2025-04-18 12:50:18.604279,2025-04-18,12:50:18,Local Business,General Business,Technology,local_retail,purchase,114.59,general,card,completed,00,Approved,2571,visa,False,,12.912605430120957,,746.4759813841846,influencer,7,True,mobile_ios,True,292,HST,en,BATCH_20250418_9073,TERM_8362,0.0,9.17,True,chip,4267203670275102,12,4,False,4,2,1,114.59,0,18.305313409849994
TXN_20250418_00000563,CUST_86460539,Customer 5272,user309@example.com,+1-555-785-6147,"736 Main St, City, State",Chicago,OH,27154,US,145.26.19.138,startup,2025-04-18 15:20:51.604279,2025-04-18,15:20:51,Local Business,General Business,Technology,local_retail,purchase,142.37,general,paypal,completed,00,Approved,763,,False,,7.006665579579677,,6574.433592988928,social_media_paid,3,True,mobile_android,True,1162,CST,en,BATCH_20250418_3651,TERM_7847,0.0,11.39,True,chip,,15,4,False,4,2,1,142.37,0,16.36689051809065
TXN_20250418_00000995,CUST_58450800,Customer 3667,user240@example.com,+1-555-438-8014,"241 Main St, City, State",New York,PA,86489,US,127.181.87.131,smb,2025-04-18 16:21:31.604279,2025-04-18,16:21:31,Local Business,General Business,Technology,local_retail,purchase,194.07469016863433,general,card,completed,00,Approved,3492,amex,False,,26.795128957029004,,43011.59846143059,referral,2,False,mobile_ios,True,1511,CST,en,BATCH_20250418_7405,TERM_9457,0.0,32.49,True,swipe,347677423935430,16,4,False,4,2,1,194.07469016863433,0,12.227025635799704
TXN_20250418_00000288,CUST_57113566,Customer 1502,user193@example.com,+1-555-864-9691,"710 Main St, City, State",Houston,OH,69460,US,22.227.14.40,smb,2025-04-18 19:01:00.604279,2025-04-18,19:01:00,Local Business,General Business,Technology,local_retail,purchase,167.97,general,apple_pay,completed,00,Approved,428,,False,,9.144583048709446,,44143.821794139716,paid_search,4,True,mobile_android,True,1120,EST,en,BATCH_20250418_8499,TERM_4282,0.0,13.44,True,chip,,19,4,False,4,2,1,167.97,0,14.526190999552128
TXN_20250418_00000122,CUST_87293208,Customer 4273,user706@example.com,+1-555-658-3947,"410 Main St, City, State",Houston,FL,67469,US,62.65.169.40,enterprise,2025-04-18 20:49:12.604279,2025-04-18,20:49:12,Local Business,General Business,Technology,local_retail,purchase,193.58,general,google_pay,completed,00,Approved,216,,False,,1.948384371512285,,219224.88604586618,paid_search,2,True,desktop_chromeos,False,720,CST,en,BATCH_20250418_4148,TERM_2035,0.0,15.49,False,chip,,20,4,False,4,2,1,193.58,0,9.19184980411777
TXN_20250418_00000004,CUST_87293208,Customer 4273,user706@example.com,+1-555-658-3947,"410 Main St, City, State",Houston,FL,67469,US,62.65.169.40,enterprise,2025-04-18 21:17:39.604279,2025-04-18,21:17:39,Local Business,General Business,Technology,local_retail,service,283.2,general,google_pay,completed,00,Approved,351,,False,,1.948384371512285,,219224.88604586618,paid_search,1,True,desktop_windows,False,327,CST,en,BATCH_20250418_1531,TERM_5889,0.0,22.66,True,chip,,21,4,False,4,2,2,476.78,0,9.658776442270376
TXN_20250418_00000329,CUST_33770928,Customer 1158,user840@example.com,+1-555-113-6589,"304 Main St, City, State",Los Angeles,MI,92067,US,236.191.238.21,startup,2025-04-18 23:14:13.604279,2025-04-18,23:14:13,Local Business,General Business,Technology,local_retail,purchase,174.75881084862056,general,apple_pay,completed,00,Approved,742,,False,,28.541757633891535,,2386.0551502345443,email_marketing,1,False,desktop_mac,False,1480,MST,en,BATCH_20250418_9115,TERM_4048,0.0,28.91,True,chip,,23,4,False,4,2,1,174.75881084862056,0,13.985843040047737
