transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,merchant_type,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,card_type,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,customer_is_regular,device_type,is_mobile,session_duration_seconds,timezone,language,batch_number,terminal_id,tip_amount,tax_amount,card_present,entry_method,card_number,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent,is_fraud,fraud_score
TXN_20250418_00000491,CUST_11075142,Customer 2663,user950@example.com,+1-555-950-6212,"238 Main St, City, State",New York,GA,54771,US,172.217.90.230,individual,2025-04-18 09:19:57.737562,2025-04-18,09:19:57,Local Business,General Business,Technology,local_restaurant,service,125.48,general,card,completed,00,Approved,3054,amex,False,,17.956737907370368,,1215.1456895565514,social_media_organic,1,False,mobile_ios,True,206,AKST,en,BATCH_20250418_9066,TERM_3266,0.0,10.04,True,chip,346621567486374,9,4,False,4,2,1,125.48,0,24.95033036486864
TXN_20250418_00000718,CUST_71867886,Customer 2825,user628@example.com,+1-555-883-4160,"181 Main St, City, State",Houston,IL,79550,US,106.180.50.100,startup,2025-04-18 11:03:59.737562,2025-04-18,11:03:59,Local Business,General Business,Technology,local_restaurant,service,87.33096211337241,general,venmo,completed,00,Approved,280,,False,,29.00203886814724,,3441.1072844132327,social_media_paid,3,False,mobile_ios,True,492,HST,en,BATCH_20250418_3546,TERM_9823,0.0,37.53,True,chip,,11,4,False,4,2,1,87.33096211337241,0,24.781123598877414
TXN_20250418_00000330,CUST_47480785,Customer 3817,user115@example.com,+1-555-543-7276,"546 Main St, City, State",Houston,MI,35709,US,177.42.36.62,individual,2025-04-18 12:56:43.737562,2025-04-18,12:56:43,Local Business,General Business,Technology,local_restaurant,subscription,86.22671220626933,general,card,completed,00,Approved,2512,visa,False,,4.875272627756166,,1078.4205362778996,social_media_organic,2,True,mobile_ios,True,991,CST,en,BATCH_20250418_5449,TERM_5479,0.0,38.97,True,swipe,4542709831818038,12,4,False,4,2,1,86.22671220626933,0,19.39659026809832
TXN_20250418_00000176,CUST_81897187,Customer 7843,user829@example.com,+1-555-459-2279,"889 Main St, City, State",New York,OH,90848,US,152.117.56.164,enterprise,2025-04-18 17:34:17.737562,2025-04-18,17:34:17,Local Business,General Business,Technology,local_restaurant,subscription,86.98796148761254,general,apple_pay,completed,00,Approved,976,,False,,7.152035413087967,,73305.82396086663,affiliate,1,False,mobile_ios,True,686,CST,en,BATCH_20250418_5164,TERM_1276,0.0,12.93,True,chip,,17,4,False,4,2,1,86.98796148761254,0,16.273862087578358
TXN_20250418_00000064,CUST_52896371,Customer 8171,user666@example.com,+1-555-622-8765,"467 Main St, City, State",New York,PA,26001,US,192.24.211.75,startup,2025-04-18 23:59:02.737562,2025-04-18,23:59:02,Local Business,General Business,Technology,local_restaurant,subscription,97.39055557210236,general,venmo,completed,00,Approved,638,,False,,29.03320663717052,,2053.596926456495,paid_search,1,False,mobile_android,True,465,MST,en,BATCH_20250418_4543,TERM_3523,0.0,29.61,False,chip,,23,4,False,4,2,1,97.39055557210236,0,8.216174594721167
TXN_20250419_00000130,CUST_10469150,Customer 6560,user332@example.com,+1-555-391-8993,"402 Main St, City, State",Chicago,NY,43098,US,87.56.17.222,individual,2025-04-19 08:03:09.737562,2025-04-19,08:03:09,Local Business,General Business,Technology,local_restaurant,service,65.38823840722934,general,google_pay,failed,54,Expired card,558,,False,,31.04608737419479,,252.63226323244047,organic_search,1,False,mobile_ios,True,675,MST,en,BATCH_20250419_7958,TERM_5166,0.0,24.99,True,chip,,8,5,True,4,2,1,65.38823840722934,0,7.04581173720247
TXN_20250419_00000192,CUST_52756327,Customer 7630,user628@example.com,+1-555-208-1012,"255 Main St, City, State",New York,GA,64469,US,239.108.124.52,individual,2025-04-19 09:59:25.737562,2025-04-19,09:59:25,Local Business,General Business,Technology,local_restaurant,service,96.33722465449274,general,venmo,completed,00,Approved,629,,False,,3.436378033315729,,1852.9254423010736,organic_search,1,False,mobile_android,True,236,HST,en,BATCH_20250419_5764,TERM_8744,0.0,16.89,True,chip,,9,5,True,4,2,1,96.33722465449274,0,7.094076442752149
TXN_20250419_00000147,CUST_37855920,Customer 2447,user304@example.com,+1-555-507-8973,"877 Main St, City, State",Houston,CA,95414,US,134.117.104.4,smb,2025-04-19 14:58:44.737562,2025-04-19,14:58:44,Local Business,General Business,Technology,local_restaurant,service,76.97826818692442,general,apple_pay,completed,00,Approved,911,,True,,9.293133079524607,,21426.96470750032,organic_search,1,False,mobile_ios,True,1014,HST,en,BATCH_20250419_9798,TERM_2221,0.0,10.63,False,chip,,14,5,True,4,2,1,76.97826818692442,0,22.420836077617054
TXN_20250419_00000262,CUST_40045657,Customer 1606,user735@example.com,+1-555-965-2014,"207 Main St, City, State",Chicago,GA,54492,US,136.184.56.168,smb,2025-04-19 15:10:41.737562,2025-04-19,15:10:41,Local Business,General Business,Technology,local_restaurant,subscription,81.61133243303678,general,paypal,completed,00,Approved,407,,False,,17.172778624900634,,35133.148658374885,referral,1,False,desktop_mac,False,1378,HST,en,BATCH_20250419_2284,TERM_6199,0.0,21.86,True,chip,,15,5,True,4,2,1,81.61133243303678,0,15.078935413222197
TXN_20250419_00000331,CUST_29478432,Customer 8857,user296@example.com,+1-555-625-2517,"777 Main St, City, State",Los Angeles,IL,68164,US,46.152.238.94,smb,2025-04-19 15:15:10.737562,2025-04-19,15:15:10,Local Business,General Business,Technology,local_restaurant,subscription,59.55,general,card,completed,00,Approved,2121,amex,False,,16.785556002019632,,35587.720599534645,social_media_paid,1,False,mobile_android,True,1528,EST,en,BATCH_20250419_4305,TERM_5829,0.0,4.76,True,chip,344883054508277,15,5,True,4,2,1,59.55,0,19.55686209730719
TXN_20250419_00000028,CUST_40870477,Customer 4106,user846@example.com,+1-555-252-1971,"278 Main St, City, State",Phoenix,TX,79745,US,251.118.246.44,individual,2025-04-19 18:02:01.737562,2025-04-19,18:02:01,Local Business,General Business,Technology,local_restaurant,subscription,93.611314825471,general,google_pay,completed,00,Approved,457,,False,,5.773946391028117,,1059.1229979735142,social_media_organic,1,True,mobile_ios,True,1651,MST,en,BATCH_20250419_4457,TERM_5844,0.0,28.76,True,chip,,18,5,True,4,2,1,93.611314825471,0,10.646811035445731
TXN_20250419_00000723,CUST_89233826,Customer 4970,user867@example.com,+1-555-556-6071,"179 Main St, City, State",Los Angeles,NY,78009,US,218.198.69.113,startup,2025-04-19 18:47:37.737562,2025-04-19,18:47:37,Local Business,General Business,Technology,local_restaurant,subscription,67.73249240738377,general,paypal,completed,00,Approved,445,,False,,7.322032095350053,,7528.544219124053,referral,6,True,mobile_android,True,87,PST,en,BATCH_20250419_3499,TERM_5928,0.0,30.96,True,chip,,18,5,True,4,2,1,67.73249240738377,0,8.184737748597733
TXN_20250419_00000406,CUST_45056819,Customer 6720,user239@example.com,+1-555-699-5350,"136 Main St, City, State",Chicago,IL,69653,US,85.171.191.99,enterprise,2025-04-19 19:56:05.737562,2025-04-19,19:56:05,Local Business,General Business,Technology,local_restaurant,purchase,77.33615446952734,general,venmo,completed,00,Approved,741,,False,,14.471474522435347,,203257.35905639405,paid_search,2,False,mobile_ios,True,344,PST,en,BATCH_20250419_4471,TERM_2132,0.0,37.07,True,chip,,19,5,True,4,2,1,77.33615446952734,0,24.667232499315137
TXN_20250419_00000619,CUST_73102352,Customer 9158,user161@example.com,+1-555-834-5467,"291 Main St, City, State",Houston,OH,12995,US,200.119.112.175,smb,2025-04-19 20:32:07.737562,2025-04-19,20:32:07,Local Business,General Business,Technology,local_restaurant,subscription,56.02,general,venmo,completed,00,Approved,336,,False,,16.228721776413774,,26366.120409282346,social_media_paid,2,False,mobile_ios,True,839,CST,en,BATCH_20250419_7667,TERM_3638,0.0,4.48,True,chip,,20,5,True,4,2,1,56.02,0,24.232610625553153
TXN_20250420_00000052,CUST_51555860,Customer 9195,user524@example.com,+1-555-875-2796,"675 Main St, City, State",Chicago,IL,23879,US,143.212.202.25,enterprise,2025-04-20 02:31:42.737562,2025-04-20,02:31:42,Local Business,General Business,Technology,local_restaurant,subscription,65.73123083711769,general,venmo,completed,00,Approved,374,,False,,28.935287421123363,,390704.8041045912,referral,1,False,mobile_android,True,811,PST,en,BATCH_20250420_6342,TERM_1764,0.0,14.68,True,chip,,2,6,True,4,2,1,65.73123083711769,0,13.681321140888985
