transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,subscription_tier,billing_cycle,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00003196,CUST_55782657,Customer 3091,user447@example.com,+1-555-756-4084,"156 Main St, City, State",Phoenix,GA,93930,US,112.225.34.95,vip,2024-07-16 09:41:23.934327,2024-07-16,09:41:23,BookKeeper Pro,Accounting Software,Professional Services,add_on,45.0,small_business,monthly,subscription,paypal,completed,00,Approved,652,False,,0.23260960985933665,,9342.704055210881,social_media_organic,3,desktop_mac,False,1398,HST,en,9.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00005229,CUST_33638180,Customer 8136,user193@example.com,+1-555-404-4716,"644 Main St, City, State",New York,NC,60570,US,139.197.105.218,vip,2024-07-16 14:40:19.934327,2024-07-16,14:40:19,BookKeeper Pro,Accounting Software,Professional Services,add_on,45.0,small_business,monthly,subscription,venmo,completed,00,Approved,511,False,,20.21765920645283,,16278.245424350282,social_media_organic,2,mobile_ios,True,300,AKST,en,14.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00002653,CUST_84635659,Customer 4338,user683@example.com,+1-555-487-3612,"725 Main St, City, State",Chicago,GA,84736,US,163.225.117.98,new,2024-07-16 15:05:47.934327,2024-07-16,15:05:47,BookKeeper Pro,Accounting Software,Professional Services,add_on,45.0,small_business,monthly,subscription,card,completed,00,Approved,946,False,,4.881703797264625,,911.0236446085938,organic_search,4,mobile_ios,True,35,EST,en,15.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00000787,CUST_86161369,Customer 6086,user770@example.com,+1-555-494-9333,"201 Main St, City, State",Houston,TX,64022,US,36.151.42.44,regular,2024-07-16 15:10:39.934327,2024-07-16,15:10:39,BookKeeper Pro,Accounting Software,Professional Services,professional_service,45.0,small_business,monthly,subscription,card,completed,00,Approved,1160,False,,9.93529465888891,,4654.03392643388,social_media_paid,1,desktop_mac,False,1218,CST,en,15.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00006483,CUST_40167773,Customer 2348,user171@example.com,+1-555-396-3777,"610 Main St, City, State",Los Angeles,TX,32428,US,225.71.66.150,regular,2024-07-16 16:08:08.934327,2024-07-16,16:08:08,BookKeeper Pro,Accounting Software,Professional Services,subscription,15.0,freelancer,monthly,subscription,card,completed,00,Approved,938,False,,23.44159921967869,,4246.749718006833,organic_search,1,mobile_ios,True,157,AKST,en,16.0,1.0,False,7.0,3.0,1.0,15.0
TXN_20240716_00005819,CUST_86630246,Customer 6208,user849@example.com,+1-555-699-4963,"717 Main St, City, State",Houston,TX,19524,US,242.25.14.136,new,2024-07-16 17:17:37.934327,2024-07-16,17:17:37,BookKeeper Pro,Accounting Software,Professional Services,professional_service,45.0,small_business,monthly,subscription,card,completed,00,Approved,826,True,fraud_type_account_takeover,13.50273990568747,account_takeover,159.9111992992707,social_media_organic,2,mobile_android,True,341,PST,en,17.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00003977,CUST_46227303,Customer 1148,user904@example.com,+1-555-520-7648,"224 Main St, City, State",Phoenix,MI,26394,US,120.82.39.226,vip,2024-07-16 17:46:35.934327,2024-07-16,17:46:35,BookKeeper Pro,Accounting Software,Professional Services,add_on,45.0,small_business,monthly,subscription,paypal,completed,00,Approved,1247,False,,14.680474244939248,,13544.202736077983,organic_search,3,mobile_android,True,1697,PST,en,17.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00004031,CUST_35731550,Customer 5357,user300@example.com,+1-555-296-1049,"816 Main St, City, State",New York,MI,59876,US,224.164.52.190,regular,2024-07-16 18:12:54.934327,2024-07-16,18:12:54,BookKeeper Pro,Accounting Software,Professional Services,subscription,45.0,small_business,monthly,subscription,paypal,completed,00,Approved,1089,False,,3.870181067485329,,4873.661451341359,organic_search,4,mobile_ios,True,115,EST,en,18.0,1.0,False,7.0,3.0,1.0,45.0
TXN_20240716_00001212,CUST_74054278,Customer 3603,user486@example.com,+1-555-311-5360,"210 Main St, City, State",Phoenix,CA,16771,US,245.209.189.208,regular,2024-07-16 21:16:05.934327,2024-07-16,21:16:05,BookKeeper Pro,Accounting Software,Professional Services,add_on,15.0,freelancer,monthly,subscription,paypal,completed,00,Approved,1258,False,,12.845651694599683,,4979.442697151731,organic_search,1,mobile_android,True,839,MST,en,21.0,1.0,False,7.0,3.0,1.0,15.0
TXN_20240716_00006709,CUST_49960336,Customer 2393,user970@example.com,+1-555-889-8817,"507 Main St, City, State",Los Angeles,PA,75554,US,44.219.91.155,regular,2024-07-16 21:41:37.934327,2024-07-16,21:41:37,BookKeeper Pro,Accounting Software,Professional Services,add_on,15.0,freelancer,monthly,subscription,card,completed,00,Approved,247,False,,23.27408821327529,,4419.405838165516,paid_search,1,desktop_windows,False,1326,EST,en,21.0,1.0,False,7.0,3.0,1.0,15.0
