transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00003055,CUST_33892089,Customer 7928,user975@example.com,+1-555-336-4992,"330 Main St, City, State",Houston,NY,75153,US,116.19.12.250,regular,2024-07-16 01:34:42.405292,2024-07-16,01:34:42,FundMyIdea,Crowdfunding Platform,Non-Profit,campaign_pledge,397.3,general,card,completed,00,Approved,1407,False,,15.36773981459078,,4108.794390194191,social_media_organic,1,desktop_mac,False,405,EST,en,1.0,1.0,False,7.0,3.0,1.0,397.3
TXN_20240716_00005521,CUST_72242391,Customer 1008,user828@example.com,+1-555-912-2571,"456 Main St, City, State",Phoenix,IL,70321,US,1.21.137.248,vip,2024-07-16 02:29:02.405292,2024-07-16,02:29:02,FundMyIdea,Crowdfunding Platform,Non-Profit,platform_fee,288.93,general,paypal,completed,00,Approved,1838,True,fraud_type_synthetic_identity,29.896267309297258,synthetic_identity,6685.602112493141,social_media_organic,3,desktop_windows,False,859,MST,en,2.0,1.0,False,7.0,3.0,1.0,288.93
TXN_20240716_00000656,CUST_96581324,Customer 2194,user997@example.com,+1-555-529-6284,"606 Main St, City, State",Houston,NC,85635,US,71.113.157.227,vip,2024-07-16 02:56:25.405292,2024-07-16,02:56:25,FundMyIdea,Crowdfunding Platform,Non-Profit,platform_fee,210.32,general,card,completed,00,Approved,508,False,,8.382229399306498,,5231.652343045907,organic_search,1,desktop_windows,False,626,EST,en,2.0,1.0,False,7.0,3.0,1.0,210.32
TXN_20240716_00003667,CUST_11700637,Customer 6702,user671@example.com,+1-555-753-9463,"885 Main St, City, State",New York,MI,78985,US,32.186.11.150,enterprise,2024-07-16 04:03:57.405292,2024-07-16,04:03:57,FundMyIdea,Crowdfunding Platform,Non-Profit,payout,108.3,general,apple_pay,completed,00,Approved,779,False,,21.921632914434923,,139661.21769142608,affiliate,1,mobile_ios,True,1123,MST,en,4.0,1.0,False,7.0,3.0,1.0,108.3
TXN_20240716_00006552,CUST_90676306,Customer 2668,user610@example.com,+1-555-280-1764,"121 Main St, City, State",Chicago,CA,57126,US,159.124.82.104,regular,2024-07-16 05:16:26.405292,2024-07-16,05:16:26,FundMyIdea,Crowdfunding Platform,Non-Profit,payout,410.45,general,paypal,completed,00,Approved,482,False,,1.5794747798501907,,3361.4539018415,social_media_organic,7,mobile_android,True,1158,PST,en,5.0,1.0,False,7.0,3.0,1.0,410.45
TXN_20240716_00004428,CUST_40703714,Customer 5352,user832@example.com,+1-555-689-5226,"581 Main St, City, State",Chicago,NY,88874,US,253.198.79.215,regular,2024-07-16 05:21:27.405292,2024-07-16,05:21:27,FundMyIdea,Crowdfunding Platform,Non-Profit,payout,26.46,general,apple_pay,completed,00,Approved,1979,False,,16.37778582102757,,2780.167521712884,referral,5,desktop_windows,False,1708,MST,en,5.0,1.0,False,7.0,3.0,1.0,26.46
TXN_20240716_00007515,CUST_33121083,Customer 6520,user849@example.com,+1-555-255-2643,"888 Main St, City, State",New York,FL,88392,US,137.143.189.205,vip,2024-07-16 09:46:10.405292,2024-07-16,09:46:10,FundMyIdea,Crowdfunding Platform,Non-Profit,payout,352.49,general,apple_pay,completed,00,Approved,1233,True,fraud_type_card_testing,29.91717359792112,card_testing,11197.25681123208,social_media_paid,2,mobile_android,True,1686,MST,en,9.0,1.0,False,7.0,3.0,1.0,352.49
TXN_20240716_00003057,CUST_70774540,Customer 5411,user673@example.com,+1-555-639-8053,"696 Main St, City, State",New York,MI,63030,US,254.127.200.165,new,2024-07-16 11:56:25.405292,2024-07-16,11:56:25,FundMyIdea,Crowdfunding Platform,Non-Profit,campaign_pledge,82.97,general,google_pay,completed,00,Approved,1074,False,,8.21438054064347,,356.0633425672199,organic_search,3,mobile_android,True,453,AKST,en,11.0,1.0,False,7.0,3.0,1.0,82.97
TXN_20240716_00003862,CUST_63836530,Customer 8912,user894@example.com,+1-555-683-1643,"764 Main St, City, State",Chicago,FL,94026,US,115.46.98.177,regular,2024-07-16 16:04:52.405292,2024-07-16,16:04:52,FundMyIdea,Crowdfunding Platform,Non-Profit,platform_fee,298.29,general,apple_pay,completed,00,Approved,1091,False,,9.320839701081027,,4009.375872554627,direct_traffic,1,mobile_android,True,214,CST,en,16.0,1.0,False,7.0,3.0,1.0,298.29
TXN_20240716_00000356,CUST_39421480,Customer 1861,user901@example.com,+1-555-589-2134,"827 Main St, City, State",Houston,TX,55899,US,204.73.206.3,new,2024-07-16 16:20:03.405292,2024-07-16,16:20:03,FundMyIdea,Crowdfunding Platform,Non-Profit,campaign_pledge,118.86,general,venmo,completed,00,Approved,1493,False,,0.10748324642843032,,844.9978359386818,social_media_organic,1,mobile_android,True,723,EST,en,16.0,1.0,False,7.0,3.0,1.0,118.86
