transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,trading_pair,fee,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00005423,CUST_61332033,Customer 1373,user481@example.com,+1-555-866-7427,"775 Main St, City, State",Phoenix,CA,44189,US,211.32.33.100,new,2024-07-16 00:57:47.250827,2024-07-16,00:57:47,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,23646.68,ETH/USD,47.29,trading,google_pay,completed,00,Approved,1561,False,amount_exceeds_normal,39.890632715802525,,721.9835610649397,referral,4,desktop_chromeos,False,100,PST,en,0.0,1.0,False,7.0,3.0,1.0,23646.68
TXN_20240716_00002640,CUST_16363397,Customer 7358,user428@example.com,+1-555-718-8410,"728 Main St, City, State",New York,TX,36629,US,100.139.218.124,vip,2024-07-16 04:13:31.250827,2024-07-16,04:13:31,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,38056.6,BTC/USD,76.11,trading,paypal,completed,00,Approved,451,True,"amount_exceeds_normal,fraud_type_account_takeover",39.03288707157389,account_takeover,17176.182503614997,email_marketing,2,mobile_android,True,34,EST,en,4.0,1.0,False,7.0,3.0,1.0,38056.6
TXN_20240716_00004993,CUST_30556429,Customer 1148,user781@example.com,+1-555-369-7737,"128 Main St, City, State",Houston,NY,87058,US,91.177.110.137,enterprise,2024-07-16 04:37:21.250827,2024-07-16,04:37:21,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,86088.45,USDT/USD,0.0,trading,google_pay,completed,00,Approved,1037,False,,11.687030191822634,,213595.95133762964,referral,4,mobile_android,True,1206,PST,en,4.0,1.0,False,7.0,3.0,1.0,86088.45
TXN_20240716_00002184,CUST_37893746,Customer 1840,user365@example.com,+1-555-207-8424,"508 Main St, City, State",Phoenix,TX,57927,US,151.125.71.155,regular,2024-07-16 04:46:15.250827,2024-07-16,04:46:15,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,8413.25,USDT/USD,0.0,trading,card,completed,00,Approved,153,False,amount_exceeds_normal,28.035201561377374,,2399.307276233669,organic_search,1,mobile_ios,True,1708,CST,en,4.0,1.0,False,7.0,3.0,1.0,8413.25
TXN_20240716_00001353,CUST_59275132,Customer 1385,user167@example.com,+1-555-730-7785,"434 Main St, City, State",Los Angeles,FL,62671,US,46.45.203.175,new,2024-07-16 05:36:05.250827,2024-07-16,05:36:05,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,sell,52409.99,USDT/USD,0.0,trading,card,completed,00,Approved,275,False,amount_exceeds_normal,21.010586571162438,,476.5950015322028,paid_search,2,mobile_ios,True,359,CST,en,5.0,1.0,False,7.0,3.0,1.0,52409.99
TXN_20240716_00002340,CUST_39928886,Customer 3200,user904@example.com,+1-555-561-9046,"197 Main St, City, State",Houston,PA,36196,US,230.230.215.171,enterprise,2024-07-16 06:17:44.250827,2024-07-16,06:17:44,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,41714.68,ETH/USD,83.43,trading,google_pay,completed,00,Approved,971,False,,7.047754383135748,,92444.70361975936,influencer,2,mobile_ios,True,137,HST,en,6.0,1.0,False,7.0,3.0,1.0,41714.68
TXN_20240716_00003398,CUST_53347143,Customer 6859,user555@example.com,+1-555-736-9762,"532 Main St, City, State",Houston,TX,85491,US,81.78.170.58,new,2024-07-16 07:28:07.250827,2024-07-16,07:28:07,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,72780.74,USDT/USD,0.0,trading,card,completed,00,Approved,490,False,amount_exceeds_normal,40.08764040425732,,106.14051285681377,social_media_paid,4,mobile_android,True,900,MST,en,7.0,1.0,False,7.0,3.0,1.0,72780.74
TXN_20240716_00005446,CUST_39542885,Customer 8382,user259@example.com,+1-555-317-4402,"455 Main St, City, State",New York,FL,72031,US,21.83.50.17,enterprise,2024-07-16 10:04:43.250827,2024-07-16,10:04:43,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,36766.98,USDT/USD,0.0,trading,card,completed,00,Approved,667,False,,7.828917676701189,,172286.34810227357,social_media_paid,2,mobile_ios,True,443,PST,en,10.0,1.0,False,7.0,3.0,1.0,36766.98
TXN_20240716_00006437,CUST_25474058,Customer 8492,user106@example.com,+1-555-794-7924,"672 Main St, City, State",New York,FL,47517,US,98.111.81.163,regular,2024-07-16 10:30:31.250827,2024-07-16,10:30:31,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,deposit,29153.0,ETH/USD,58.31,trading,card,completed,00,Approved,1250,False,amount_exceeds_normal,24.808436716281808,,2672.105648795121,social_media_paid,1,tablet_ipad,False,1658,MST,en,10.0,1.0,False,7.0,3.0,1.0,29153.0
TXN_20240716_00004956,CUST_89113860,Customer 8210,user299@example.com,+1-555-884-1847,"771 Main St, City, State",Houston,IL,73812,US,94.116.139.29,regular,2024-07-16 11:09:29.250827,2024-07-16,11:09:29,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,buy,21027.68,USDT/USD,0.0,trading,paypal,completed,00,Approved,1159,False,amount_exceeds_normal,25.108568732013122,,3093.4229106138814,influencer,2,mobile_android,True,126,PST,en,11.0,1.0,False,7.0,3.0,1.0,21027.68
TXN_20240716_00004351,CUST_56888656,Customer 5762,user364@example.com,+1-555-767-9065,"344 Main St, City, State",Los Angeles,PA,50539,US,237.167.180.254,enterprise,2024-07-16 12:40:11.250827,2024-07-16,12:40:11,CryptoTrade Pro,Cryptocurrency Exchange,Financial Services,withdrawal,7614.68,ETH/USD,0.0,trading,card,completed,00,Approved,1966,False,,24.96115606778324,,98609.44188758146,influencer,1,tablet_ipad,False,1605,PST,en,12.0,1.0,False,7.0,3.0,1.0,7614.68
