transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,quantity,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00005497,CUST_30859538,Customer 3450,user238@example.com,+1-555-841-5309,"236 Main St, City, State",Phoenix,NY,58798,US,84.174.92.234,enterprise,2024-07-16 00:11:05.108830,2024-07-16,00:11:05,TechMart Electronics,Electronics Retail,Retail,repair,2053.09,laptops,1.0,apple_pay,completed,00,Approved,952,False,,13.979140461531665,,88648.79078809722,organic_search,1,mobile_ios,True,1614,EST,en,0.0,1.0,False,7.0,3.0,1.0,2053.09
TXN_20240716_00007908,CUST_29172472,Customer 9518,user870@example.com,+1-555-562-9654,"527 Main St, City, State",New York,OH,47093,US,228.55.141.229,regular,2024-07-16 02:00:38.108830,2024-07-16,02:00:38,TechMart Electronics,Electronics Retail,Retail,purchase,62.86,smart_home,1.0,google_pay,completed,00,Approved,1389,False,,18.636718493220858,,1028.5755228582016,referral,1,mobile_ios,True,974,MST,en,2.0,1.0,False,7.0,3.0,1.0,62.86
TXN_20240716_00003364,CUST_83665652,Customer 8917,user775@example.com,+1-555-938-8621,"674 Main St, City, State",Los Angeles,NY,46959,US,115.7.29.232,vip,2024-07-16 02:50:41.108830,2024-07-16,02:50:41,TechMart Electronics,Electronics Retail,Retail,purchase,340.62,gaming,3.0,apple_pay,completed,00,Approved,1772,False,,15.871830272132522,,12175.48337270947,organic_search,2,desktop_windows,False,1310,CST,en,2.0,1.0,False,7.0,3.0,1.0,340.62
TXN_20240716_00002581,CUST_43207635,Customer 9422,user392@example.com,+1-555-900-3197,"618 Main St, City, State",Los Angeles,NY,87471,US,81.134.19.121,enterprise,2024-07-16 03:59:48.108830,2024-07-16,03:59:48,TechMart Electronics,Electronics Retail,Retail,repair,440.87,smartphones,3.0,venmo,completed,00,Approved,330,False,,27.958329727307085,,105695.3143287486,email_marketing,2,mobile_android,True,1702,PST,en,3.0,1.0,False,7.0,3.0,1.0,440.87
TXN_20240716_00003522,CUST_76324163,Customer 8528,user125@example.com,+1-555-245-4689,"599 Main St, City, State",Houston,IL,63663,US,102.135.209.163,vip,2024-07-16 04:43:16.108830,2024-07-16,04:43:16,TechMart Electronics,Electronics Retail,Retail,warranty,1083.91,smartphones,1.0,card,completed,00,Approved,331,False,,15.17824183121494,,7131.509628948737,email_marketing,1,mobile_ios,True,36,PST,en,4.0,1.0,False,7.0,3.0,1.0,1083.91
TXN_20240716_00003030,CUST_71162824,Customer 6166,user933@example.com,+1-555-490-1479,"331 Main St, City, State",New York,NY,84295,US,132.61.245.70,vip,2024-07-16 04:46:18.108830,2024-07-16,04:46:18,TechMart Electronics,Electronics Retail,Retail,warranty,132.03,smart_home,1.0,venmo,completed,00,Approved,1099,False,,10.54104923614079,,10032.465958618395,organic_search,2,mobile_android,True,1701,PST,en,4.0,1.0,False,7.0,3.0,1.0,132.03
TXN_20240716_00001677,CUST_36496719,Customer 1099,user608@example.com,+1-555-203-3151,"898 Main St, City, State",Chicago,TX,81157,US,253.172.131.53,regular,2024-07-16 10:57:59.108830,2024-07-16,10:57:59,TechMart Electronics,Electronics Retail,Retail,repair,49.47,accessories,1.0,google_pay,completed,00,Approved,1745,True,fraud_type_account_takeover,12.403426416420421,account_takeover,2175.409814158448,social_media_paid,1,mobile_android,True,390,HST,en,10.0,1.0,False,7.0,3.0,1.0,49.47
TXN_20240716_00005759,CUST_91677777,Customer 3329,user983@example.com,+1-555-421-8933,"352 Main St, City, State",New York,NC,80845,US,170.243.210.199,enterprise,2024-07-16 11:42:27.108830,2024-07-16,11:42:27,TechMart Electronics,Electronics Retail,Retail,purchase,1034.21,smartphones,1.0,venmo,completed,00,Approved,1039,False,,4.933157047432204,,134036.8940201216,organic_search,4,tablet_android,False,1297,HST,en,11.0,1.0,False,7.0,3.0,1.0,1034.21
TXN_20240716_00002284,CUST_72012321,Customer 6407,user211@example.com,+1-555-712-2894,"765 Main St, City, State",Phoenix,NC,43575,US,94.4.149.165,new,2024-07-16 14:25:26.108830,2024-07-16,14:25:26,TechMart Electronics,Electronics Retail,Retail,warranty,1851.85,laptops,1.0,google_pay,completed,00,Approved,1093,False,amount_exceeds_normal,23.760393051311016,,821.8857228441191,organic_search,3,mobile_android,True,515,PST,en,14.0,1.0,False,7.0,3.0,1.0,1851.85
TXN_20240716_00000244,CUST_68033383,Customer 2148,user791@example.com,+1-555-203-7153,"703 Main St, City, State",Houston,GA,18884,US,58.73.30.59,regular,2024-07-16 15:48:56.108830,2024-07-16,15:48:56,TechMart Electronics,Electronics Retail,Retail,purchase,1100.47,smartphones,2.0,paypal,completed,00,Approved,539,False,,8.19212541429984,,3435.3695676018115,content_marketing,2,desktop_windows,False,180,HST,en,15.0,1.0,False,7.0,3.0,1.0,1100.47
