transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,quantity,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00007554,CUST_86546493,Customer 7359,user186@example.com,+1-555-417-5334,"257 Main St, City, State",Phoenix,CA,11148,US,248.211.100.9,regular,2024-07-16 00:40:49.738041,2024-07-16,00:40:49,StyleHub Fashion,Fashion E-commerce,Retail,purchase,72.7,shoes,2.0,venmo,completed,00,Approved,898,False,,19.529440136855822,,1294.5447415982478,organic_search,5,desktop_windows,False,184,EST,en,0.0,1.0,False,7.0,3.0,1.0,72.7
TXN_20240716_00007907,CUST_40012178,Customer 7128,user535@example.com,+1-555-809-2066,"932 Main St, City, State",Phoenix,FL,51480,US,100.66.93.162,new,2024-07-16 01:12:10.738041,2024-07-16,01:12:10,StyleHub Fashion,Fashion E-commerce,Retail,exchange,41.11,accessories,1.0,google_pay,completed,00,Approved,181,False,,27.601393239357904,,439.8802096428528,paid_search,2,mobile_ios,True,916,EST,en,1.0,1.0,False,7.0,3.0,1.0,41.11
TXN_20240716_00003347,CUST_27164614,Customer 8886,user944@example.com,+1-555-470-9391,"377 Main St, City, State",New York,GA,12631,US,4.2.54.32,enterprise,2024-07-16 02:22:53.738041,2024-07-16,02:22:53,StyleHub Fashion,Fashion E-commerce,Retail,return,1410.13,luxury_items,3.0,venmo,completed,00,Approved,1521,False,,24.54995563777128,,162472.2649645654,organic_search,3,mobile_ios,True,1749,EST,en,2.0,1.0,False,7.0,3.0,1.0,1410.13
TXN_20240716_00002020,CUST_70417822,Customer 6104,user918@example.com,+1-555-744-3033,"597 Main St, City, State",Los Angeles,TX,26072,US,1.192.241.152,enterprise,2024-07-16 02:31:08.738041,2024-07-16,02:31:08,StyleHub Fashion,Fashion E-commerce,Retail,exchange,31.44,accessories,2.0,paypal,completed,00,Approved,1343,False,,8.30708950835355,,60225.79351249319,organic_search,2,mobile_android,True,975,MST,en,2.0,1.0,False,7.0,3.0,1.0,31.44
TXN_20240716_00002362,CUST_19780342,Customer 6125,user609@example.com,+1-555-107-2687,"632 Main St, City, State",Los Angeles,FL,78101,US,123.108.140.243,enterprise,2024-07-16 02:48:30.738041,2024-07-16,02:48:30,StyleHub Fashion,Fashion E-commerce,Retail,purchase,57.0,accessories,3.0,card,completed,00,Approved,361,False,,10.44289770138177,,227697.5963442175,social_media_organic,2,desktop_windows,False,1334,CST,en,2.0,1.0,False,7.0,3.0,1.0,57.0
TXN_20240716_00003130,CUST_62426604,Customer 9784,user931@example.com,+1-555-705-5191,"228 Main St, City, State",New York,CA,13985,US,241.177.61.7,enterprise,2024-07-16 02:49:59.738041,2024-07-16,02:49:59,StyleHub Fashion,Fashion E-commerce,Retail,return,995.23,luxury_items,1.0,venmo,completed,00,Approved,1239,True,fraud_type_account_takeover,12.952060151628224,account_takeover,188479.79701086137,organic_search,4,desktop_linux,False,1226,CST,en,2.0,1.0,False,7.0,3.0,1.0,995.23
TXN_20240716_00005799,CUST_89153242,Customer 1145,user634@example.com,+1-555-301-9399,"529 Main St, City, State",Houston,NY,31658,US,155.251.105.120,regular,2024-07-16 03:00:06.738041,2024-07-16,03:00:06,StyleHub Fashion,Fashion E-commerce,Retail,exchange,57.67,accessories,1.0,paypal,completed,00,Approved,1167,False,,12.794531554806847,,1352.4876807463747,social_media_organic,3,mobile_android,True,1313,MST,en,3.0,1.0,False,7.0,3.0,1.0,57.67
TXN_20240716_00001050,CUST_47333809,Customer 2338,user343@example.com,+1-555-434-7524,"815 Main St, City, State",Houston,PA,31515,US,77.187.168.204,vip,2024-07-16 04:13:04.738041,2024-07-16,04:13:04,StyleHub Fashion,Fashion E-commerce,Retail,return,31.32,accessories,2.0,apple_pay,completed,00,Approved,110,False,,13.311964197919698,,16415.059805946257,referral,4,desktop_windows,False,1018,EST,en,4.0,1.0,False,7.0,3.0,1.0,31.32
TXN_20240716_00003097,CUST_60952640,Customer 6905,user663@example.com,+1-555-747-2068,"585 Main St, City, State",Los Angeles,MI,54338,US,104.172.143.224,enterprise,2024-07-16 04:37:52.738041,2024-07-16,04:37:52,StyleHub Fashion,Fashion E-commerce,Retail,purchase,485.83,luxury_items,3.0,google_pay,completed,00,Approved,644,False,,22.83011882042083,,231917.70118116227,social_media_organic,2,desktop_windows,False,421,PST,en,4.0,1.0,False,7.0,3.0,1.0,485.83
TXN_20240716_00000072,CUST_68569486,Customer 1643,user989@example.com,+1-555-341-9951,"110 Main St, City, State",Phoenix,MI,43749,US,133.26.163.198,enterprise,2024-07-16 04:54:37.738041,2024-07-16,04:54:37,StyleHub Fashion,Fashion E-commerce,Retail,exchange,1089.85,luxury_items,2.0,venmo,failed,14,Invalid card,125,False,,20.45699535041923,,57564.91613127875,social_media_organic,1,desktop_windows,False,62,MST,en,4.0,1.0,False,7.0,3.0,1.0,1089.85
