transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00003050,CUST_36999657,Customer 4945,user401@example.com,+1-555-612-7925,"391 Main St, City, State",Houston,OH,73910,US,204.22.48.8,enterprise,2024-07-16 00:01:38.744428,2024-07-16,00:01:38,GameVerse Pro,Gaming Platform,Entertainment,purchase,449.82,general,venmo,completed,00,Approved,148,False,,18.177632024392594,,80765.73614345759,paid_search,2,mobile_android,True,1337,EST,en,0.0,1.0,False,7.0,3.0,1.0,449.82
TXN_20240716_00001731,CUST_82180129,Customer 3507,user560@example.com,+1-555-440-2631,"531 Main St, City, State",New York,CA,74113,US,30.232.11.218,regular,2024-07-16 01:17:42.744428,2024-07-16,01:17:42,GameVerse Pro,Gaming Platform,Entertainment,subscription,157.24,general,venmo,completed,00,Approved,458,False,,12.545411067121776,,1831.1775399777166,social_media_organic,2,tablet_ipad,False,51,CST,en,1.0,1.0,False,7.0,3.0,1.0,157.24
TXN_20240716_00001370,CUST_90754679,Customer 4045,user491@example.com,+1-555-550-9727,"479 Main St, City, State",Los Angeles,GA,21134,US,117.191.151.110,regular,2024-07-16 01:20:32.744428,2024-07-16,01:20:32,GameVerse Pro,Gaming Platform,Entertainment,in_game_purchase,133.69,general,google_pay,completed,00,Approved,1683,False,,21.498887708178582,,4290.644177846969,social_media_paid,3,mobile_ios,True,1737,CST,en,1.0,1.0,False,7.0,3.0,1.0,133.69
TXN_20240716_00000330,CUST_31178694,Customer 1630,user407@example.com,+1-555-700-3374,"830 Main St, City, State",Chicago,NC,98467,US,107.25.91.190,enterprise,2024-07-16 02:01:39.744428,2024-07-16,02:01:39,GameVerse Pro,Gaming Platform,Entertainment,purchase,495.35,general,card,completed,00,Approved,1359,False,,19.97567447761113,,235202.0020792962,paid_search,1,mobile_ios,True,504,EST,en,2.0,1.0,False,7.0,3.0,1.0,495.35
TXN_20240716_00002951,CUST_11918425,Customer 8968,user775@example.com,+1-555-386-8677,"805 Main St, City, State",Los Angeles,IL,27453,US,218.246.95.162,enterprise,2024-07-16 02:27:48.744428,2024-07-16,02:27:48,GameVerse Pro,Gaming Platform,Entertainment,purchase,168.81,general,apple_pay,completed,00,Approved,954,False,,8.25062121370178,,189738.42730781052,social_media_organic,4,mobile_ios,True,586,EST,en,2.0,1.0,False,7.0,3.0,1.0,168.81
TXN_20240716_00005460,CUST_78858295,Customer 5011,user721@example.com,+1-555-520-4551,"385 Main St, City, State",Houston,CA,55903,US,109.189.49.186,enterprise,2024-07-16 02:35:32.744428,2024-07-16,02:35:32,GameVerse Pro,Gaming Platform,Entertainment,subscription,414.88,general,apple_pay,completed,00,Approved,986,False,,12.59831339436547,,153503.1822689978,organic_search,3,mobile_android,True,1776,CST,en,2.0,1.0,False,7.0,3.0,1.0,414.88
TXN_20240716_00006232,CUST_72052981,Customer 6097,user677@example.com,+1-555-371-2146,"795 Main St, City, State",Chicago,PA,24803,US,241.231.91.25,vip,2024-07-16 04:17:10.744428,2024-07-16,04:17:10,GameVerse Pro,Gaming Platform,Entertainment,in_game_purchase,135.2,general,paypal,completed,00,Approved,366,False,,15.131887088592679,,18668.973406288016,referral,5,desktop_windows,False,1758,MST,en,4.0,1.0,False,7.0,3.0,1.0,135.2
TXN_20240716_00005965,CUST_41190835,Customer 2551,user808@example.com,+1-555-939-8196,"280 Main St, City, State",Los Angeles,MI,27520,US,158.37.182.181,new,2024-07-16 04:18:52.744428,2024-07-16,04:18:52,GameVerse Pro,Gaming Platform,Entertainment,purchase,119.2,general,google_pay,completed,00,Approved,671,False,,22.909495278223496,,281.6377739309705,referral,6,mobile_ios,True,532,EST,en,4.0,1.0,False,7.0,3.0,1.0,119.2
TXN_20240716_00006867,CUST_21221881,Customer 5879,user302@example.com,+1-555-796-2423,"739 Main St, City, State",Houston,IL,86519,US,237.226.254.142,enterprise,2024-07-16 04:25:20.744428,2024-07-16,04:25:20,GameVerse Pro,Gaming Platform,Entertainment,subscription,262.66,general,card,completed,00,Approved,737,True,fraud_type_card_testing,28.91911617277328,card_testing,179948.15067946908,organic_search,1,mobile_ios,True,1369,MST,en,4.0,1.0,False,7.0,3.0,1.0,262.66
TXN_20240716_00007893,CUST_73522203,Customer 3284,user674@example.com,+1-555-709-7769,"617 Main St, City, State",New York,NC,50951,US,177.227.14.188,new,2024-07-16 05:17:10.744428,2024-07-16,05:17:10,GameVerse Pro,Gaming Platform,Entertainment,in_game_purchase,256.24,general,paypal,completed,00,Approved,147,False,,3.5137219937279127,,722.2680322521428,organic_search,1,desktop_mac,False,900,PST,en,5.0,1.0,False,7.0,3.0,1.0,256.24
