transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00006400,CUST_10080942,Customer 9527,user175@example.com,+1-555-868-2491,"536 Main St, City, State",New York,CA,25317,US,191.223.255.176,regular,2024-07-16 00:15:15.640055,2024-07-16,00:15:15,LearnMaster Academy,Online Education,Education,subscription,466.96,general,google_pay,completed,00,Approved,1653,False,,21.702091716006418,,1387.7851339832325,organic_search,2,mobile_ios,True,1642,CST,en,0.0,1.0,False,7.0,3.0,1.0,466.96
TXN_20240716_00005258,CUST_24105251,Customer 1534,user377@example.com,+1-555-242-3012,"773 Main St, City, State",Chicago,NY,98214,US,40.2.253.31,enterprise,2024-07-16 01:21:04.640055,2024-07-16,01:21:04,LearnMaster Academy,Online Education,Education,course_purchase,438.17,general,card,failed,14,Invalid card,1331,False,,21.215251271233615,,53236.954227772396,social_media_paid,4,desktop_windows,False,1622,MST,en,1.0,1.0,False,7.0,3.0,1.0,438.17
TXN_20240716_00007670,CUST_60393371,Customer 6272,user299@example.com,+1-555-787-5648,"152 Main St, City, State",Houston,CA,16666,US,117.221.44.25,regular,2024-07-16 01:46:35.640055,2024-07-16,01:46:35,LearnMaster Academy,Online Education,Education,certification,425.05,general,google_pay,completed,00,Approved,1234,False,,9.597360710188656,,4568.478236526227,affiliate,3,mobile_ios,True,1244,HST,en,1.0,1.0,False,7.0,3.0,1.0,425.05
TXN_20240716_00000870,CUST_50769461,Customer 5132,user562@example.com,+1-555-877-3546,"922 Main St, City, State",Houston,NC,58025,US,241.187.162.11,new,2024-07-16 01:59:00.640055,2024-07-16,01:59:00,LearnMaster Academy,Online Education,Education,certification,251.58,general,google_pay,completed,00,Approved,1701,True,fraud_type_synthetic_identity,15.601388548034109,synthetic_identity,951.6532967771701,social_media_organic,2,desktop_windows,False,877,CST,en,1.0,1.0,False,7.0,3.0,1.0,251.58
TXN_20240716_00000905,CUST_57451024,Customer 7414,user539@example.com,+1-555-305-7430,"853 Main St, City, State",Los Angeles,IL,51585,US,204.18.216.7,enterprise,2024-07-16 02:13:45.640055,2024-07-16,02:13:45,LearnMaster Academy,Online Education,Education,certification,194.9,general,apple_pay,completed,00,Approved,1367,False,,23.351255008595935,,215926.9699902243,organic_search,2,mobile_ios,True,604,HST,en,2.0,1.0,False,7.0,3.0,1.0,194.9
TXN_20240716_00000694,CUST_48346247,Customer 9416,user239@example.com,+1-555-734-3286,"253 Main St, City, State",New York,OH,72231,US,132.56.79.178,vip,2024-07-16 02:33:43.640055,2024-07-16,02:33:43,LearnMaster Academy,Online Education,Education,subscription,325.62,general,google_pay,completed,00,Approved,557,False,,24.70361493228947,,20336.704313661416,paid_search,1,desktop_chromeos,False,160,PST,en,2.0,1.0,False,7.0,3.0,1.0,325.62
TXN_20240716_00006962,CUST_55345325,Customer 5409,user620@example.com,+1-555-478-5664,"477 Main St, City, State",New York,NY,34501,US,210.83.75.23,vip,2024-07-16 02:48:56.640055,2024-07-16,02:48:56,LearnMaster Academy,Online Education,Education,subscription,22.32,general,apple_pay,completed,00,Approved,1787,False,,7.831653761352104,,12378.310722353064,social_media_paid,2,mobile_android,True,774,AKST,en,2.0,1.0,False,7.0,3.0,1.0,22.32
TXN_20240716_00004609,CUST_98831822,Customer 4190,user704@example.com,+1-555-965-5485,"455 Main St, City, State",Chicago,CA,21025,US,159.194.49.19,regular,2024-07-16 03:31:51.640055,2024-07-16,03:31:51,LearnMaster Academy,Online Education,Education,certification,122.68,general,venmo,completed,00,Approved,1692,False,,19.035724137845303,,4656.325110544913,email_marketing,4,desktop_windows,False,1552,MST,en,3.0,1.0,False,7.0,3.0,1.0,122.68
TXN_20240716_00000919,CUST_67330207,Customer 1634,user880@example.com,+1-555-587-2625,"126 Main St, City, State",Houston,TX,14305,US,134.36.214.54,regular,2024-07-16 03:44:42.640055,2024-07-16,03:44:42,LearnMaster Academy,Online Education,Education,certification,407.43,general,paypal,completed,00,Approved,1094,False,,9.759988406304274,,2021.0023695758005,organic_search,1,desktop_windows,False,1709,PST,en,3.0,1.0,False,7.0,3.0,1.0,407.43
TXN_20240716_00001906,CUST_79831687,Customer 2408,user256@example.com,+1-555-764-3750,"422 Main St, City, State",Houston,CA,92507,US,124.34.97.115,regular,2024-07-16 03:54:55.640055,2024-07-16,03:54:55,LearnMaster Academy,Online Education,Education,certification,300.64,general,card,completed,00,Approved,1591,False,,11.09732048086817,,4944.292649192304,referral,2,mobile_ios,True,1591,MST,en,3.0,1.0,False,7.0,3.0,1.0,300.64
TXN_20240716_00000841,CUST_76078712,Customer 9457,user267@example.com,+1-555-338-1407,"873 Main St, City, State",Houston,IL,52633,US,187.2.10.74,new,2024-07-16 04:10:01.640055,2024-07-16,04:10:01,LearnMaster Academy,Online Education,Education,course_purchase,488.32,general,venmo,completed,00,Approved,592,False,amount_exceeds_normal,35.423558679734,,486.1705867036307,paid_search,1,mobile_android,True,652,PST,en,4.0,1.0,False,7.0,3.0,1.0,488.32
TXN_20240716_00000400,CUST_81917054,Customer 3631,user413@example.com,+1-555-881-6507,"349 Main St, City, State",Houston,NY,21184,US,126.172.174.3,new,2024-07-16 05:28:20.640055,2024-07-16,05:28:20,LearnMaster Academy,Online Education,Education,subscription,458.56,general,google_pay,completed,00,Approved,1974,False,amount_exceeds_normal,40.750919428918436,,212.1298280677857,paid_search,1,mobile_ios,True,1618,PST,en,5.0,1.0,False,7.0,3.0,1.0,458.56
TXN_20240716_00002841,CUST_90084511,Customer 7560,user365@example.com,+1-555-578-3481,"356 Main St, City, State",New York,NY,17400,US,107.142.222.31,new,2024-07-16 05:55:42.640055,2024-07-16,05:55:42,LearnMaster Academy,Online Education,Education,subscription,133.02,general,paypal,failed,14,Invalid card,594,False,,10.923961778778185,,764.909895377177,email_marketing,2,desktop_windows,False,1239,PST,en,5.0,1.0,False,7.0,3.0,1.0,133.02
TXN_20240716_00006642,CUST_35854630,Customer 4569,user808@example.com,+1-555-999-3789,"419 Main St, City, State",Houston,NY,87774,US,99.190.5.217,vip,2024-07-16 07:40:56.640055,2024-07-16,07:40:56,LearnMaster Academy,Online Education,Education,certification,332.47,general,venmo,completed,00,Approved,1473,False,,7.8866579352622725,,7702.664600500655,organic_search,5,mobile_ios,True,726,MST,en,7.0,1.0,False,7.0,3.0,1.0,332.47
TXN_20240716_00002806,CUST_24736362,Customer 9841,user215@example.com,+1-555-795-1939,"235 Main St, City, State",New York,MI,92014,US,217.236.224.117,vip,2024-07-16 12:24:43.640055,2024-07-16,12:24:43,LearnMaster Academy,Online Education,Education,course_purchase,275.22,general,google_pay,failed,51,Insufficient funds,788,False,,24.316723592467955,,23550.581782727913,social_media_paid,1,mobile_android,True,964,PST,en,12.0,1.0,False,7.0,3.0,1.0,275.22
TXN_20240716_00000786,CUST_85958827,Customer 1221,user537@example.com,+1-555-748-2440,"350 Main St, City, State",Houston,IL,62422,US,237.253.124.74,vip,2024-07-16 14:54:15.640055,2024-07-16,14:54:15,LearnMaster Academy,Online Education,Education,subscription,179.79,general,card,completed,00,Approved,425,False,,11.686014853274651,,8562.635340676896,affiliate,1,tablet_ipad,False,521,PST,en,14.0,1.0,False,7.0,3.0,1.0,179.79
TXN_20240716_00000702,CUST_10582721,Customer 7510,user184@example.com,+1-555-649-7323,"196 Main St, City, State",Phoenix,OH,20423,US,47.143.116.76,vip,2024-07-16 15:42:47.640055,2024-07-16,15:42:47,LearnMaster Academy,Online Education,Education,course_purchase,20.66,general,venmo,completed,00,Approved,1583,False,,17.642321312304198,,10853.197737276165,organic_search,1,desktop_windows,False,249,MST,en,15.0,1.0,False,7.0,3.0,1.0,20.66
TXN_20240716_00006020,CUST_84261618,Customer 6968,user644@example.com,+1-555-753-1987,"821 Main St, City, State",Chicago,TX,52638,US,233.145.227.49,enterprise,2024-07-16 18:01:15.640055,2024-07-16,18:01:15,LearnMaster Academy,Online Education,Education,certification,214.16,general,paypal,completed,00,Approved,1104,False,,12.081939910078766,,165955.0814191507,direct_traffic,1,mobile_ios,True,1175,AKST,en,18.0,1.0,False,7.0,3.0,1.0,214.16
TXN_20240716_00001319,CUST_11993757,Customer 4384,user393@example.com,+1-555-296-9918,"142 Main St, City, State",Houston,IL,79656,US,217.127.168.64,enterprise,2024-07-16 18:04:56.640055,2024-07-16,18:04:56,LearnMaster Academy,Online Education,Education,certification,147.93,general,venmo,completed,00,Approved,1643,False,,22.112484734342058,,158786.7377698159,organic_search,1,desktop_windows,False,455,PST,en,18.0,1.0,False,7.0,3.0,1.0,147.93
TXN_20240716_00001702,CUST_85571759,Customer 7251,user274@example.com,+1-555-770-1506,"332 Main St, City, State",New York,NC,51722,US,133.29.12.239,vip,2024-07-16 18:09:47.640055,2024-07-16,18:09:47,LearnMaster Academy,Online Education,Education,course_purchase,436.23,general,apple_pay,completed,00,Approved,1260,False,,1.4220410586455707,,16020.785929419164,organic_search,3,desktop_mac,False,1584,AKST,en,18.0,1.0,False,7.0,3.0,1.0,436.23
TXN_20240716_00004694,CUST_76777934,Customer 1709,user887@example.com,+1-555-110-3823,"998 Main St, City, State",Phoenix,NY,67005,US,59.67.101.43,vip,2024-07-16 18:15:09.640055,2024-07-16,18:15:09,LearnMaster Academy,Online Education,Education,certification,116.89,general,google_pay,completed,00,Approved,1457,False,,1.752024572921007,,18602.219619666357,organic_search,2,mobile_ios,True,185,HST,en,18.0,1.0,False,7.0,3.0,1.0,116.89
TXN_20240716_00002948,CUST_33900579,Customer 9761,user603@example.com,+1-555-257-8333,"266 Main St, City, State",Los Angeles,IL,56262,US,244.76.209.22,new,2024-07-16 18:29:30.640055,2024-07-16,18:29:30,LearnMaster Academy,Online Education,Education,course_purchase,441.29,general,apple_pay,completed,00,Approved,1408,False,,12.352730287886269,,916.5063083260168,organic_search,1,desktop_mac,False,916,HST,en,18.0,1.0,False,7.0,3.0,1.0,441.29
TXN_20240716_00004831,CUST_92971751,Customer 4406,user419@example.com,+1-555-806-7865,"883 Main St, City, State",Houston,IL,55129,US,20.179.33.109,vip,2024-07-16 19:57:01.640055,2024-07-16,19:57:01,LearnMaster Academy,Online Education,Education,certification,444.88,general,card,completed,00,Approved,928,False,,3.1765905528062937,,22317.891859264677,affiliate,3,mobile_ios,True,1571,HST,en,19.0,1.0,False,7.0,3.0,1.0,444.88
TXN_20240716_00000258,CUST_34789662,Customer 4068,user278@example.com,+1-555-829-1153,"794 Main St, City, State",Los Angeles,FL,86796,US,130.220.129.74,new,2024-07-16 20:26:23.640055,2024-07-16,20:26:23,LearnMaster Academy,Online Education,Education,course_purchase,324.02,general,card,failed,51,Insufficient funds,138,False,amount_exceeds_normal,39.918815471162496,,349.6995811322072,email_marketing,1,mobile_ios,True,982,AKST,en,20.0,1.0,False,7.0,3.0,1.0,324.02
TXN_20240716_00007023,CUST_98671563,Customer 5453,user176@example.com,+1-555-736-6722,"196 Main St, City, State",Chicago,CA,58515,US,205.102.147.102,regular,2024-07-16 21:10:41.640055,2024-07-16,21:10:41,LearnMaster Academy,Online Education,Education,certification,40.11,general,apple_pay,completed,00,Approved,1854,False,,14.308228571581004,,3585.1238577964637,organic_search,3,mobile_android,True,739,AKST,en,21.0,1.0,False,7.0,3.0,1.0,40.11
TXN_20240717_00007499,CUST_33602174,Customer 2519,user365@example.com,+1-555-919-4124,"638 Main St, City, State",Los Angeles,PA,45029,US,111.121.194.116,enterprise,2024-07-17 00:05:49.640055,2024-07-17,00:05:49,LearnMaster Academy,Online Education,Education,course_purchase,238.21,general,card,completed,00,Approved,938,False,,17.352821256182008,,182310.99884820048,referral,1,desktop_windows,False,208,CST,en,0.0,2.0,False,7.0,3.0,1.0,238.21
TXN_20240717_00001336,CUST_35847367,Customer 7974,user470@example.com,+1-555-625-5307,"638 Main St, City, State",Los Angeles,TX,41505,US,160.246.71.47,regular,2024-07-17 00:33:54.640055,2024-07-17,00:33:54,LearnMaster Academy,Online Education,Education,certification,488.85,general,apple_pay,completed,00,Approved,309,False,,21.578146496858256,,3641.0674284459974,paid_search,1,desktop_windows,False,1721,CST,en,0.0,2.0,False,7.0,3.0,1.0,488.85
TXN_20240717_00003968,CUST_56187609,Customer 1192,user980@example.com,+1-555-535-3620,"328 Main St, City, State",Houston,OH,70091,US,48.190.80.209,new,2024-07-17 02:19:48.640055,2024-07-17,02:19:48,LearnMaster Academy,Online Education,Education,subscription,375.35,general,apple_pay,completed,00,Approved,497,False,amount_exceeds_normal,29.39708774837065,,132.56778443905134,paid_search,2,mobile_ios,True,472,CST,en,2.0,2.0,False,7.0,3.0,1.0,375.35
