transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,quantity,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00002994,CUST_71186866,Customer 2245,user818@example.com,+1-555-519-6785,"936 Main St, City, State",Chicago,MI,75530,US,14.36.225.53,corporate,2024-07-16 03:02:37.861059,2024-07-16,03:02:37,MedExpress Pharmacy,Online Pharmacy,Healthcare,otc_purchase,41.66,medical_devices,3.0,google_pay,completed,00,Approved,484,False,,11.522876399568483,,32350.58410104751,referral,2,mobile_ios,True,502,CST,en,3.0,1.0,False,7.0,3.0,1.0,41.66
TXN_20240716_00000213,CUST_28396335,Customer 5793,user233@example.com,+1-555-776-2826,"246 Main St, City, State",Los Angeles,NC,71116,US,206.226.58.136,corporate,2024-07-16 09:20:01.861059,2024-07-16,09:20:01,MedExpress Pharmacy,Online Pharmacy,Healthcare,subscription,52.52,health_supplements,3.0,apple_pay,completed,00,Approved,1018,False,,1.305517525745667,,37343.166929064726,paid_search,1,desktop_windows,False,1702,HST,en,9.0,1.0,False,7.0,3.0,1.0,52.52
TXN_20240716_00004409,CUST_64597140,Customer 1190,user133@example.com,+1-555-238-8652,"315 Main St, City, State",Chicago,MI,38835,US,14.187.150.222,corporate,2024-07-16 09:22:59.861059,2024-07-16,09:22:59,MedExpress Pharmacy,Online Pharmacy,Healthcare,otc_purchase,153.39,prescription_drugs,1.0,card,completed,00,Approved,1990,False,,22.343419427945406,,46414.95881395652,email_marketing,2,tablet_ipad,False,1150,AKST,en,9.0,1.0,False,7.0,3.0,1.0,153.39
TXN_20240716_00002031,CUST_60489374,Customer 7109,user246@example.com,+1-555-972-3377,"267 Main St, City, State",Los Angeles,FL,11094,US,31.145.46.152,corporate,2024-07-16 10:02:51.861059,2024-07-16,10:02:51,MedExpress Pharmacy,Online Pharmacy,Healthcare,prescription_fill,35.28,health_supplements,2.0,paypal,completed,00,Approved,955,True,fraud_type_card_testing,29.05889311170787,card_testing,23631.841415651543,social_media_organic,2,mobile_android,True,1461,EST,en,10.0,1.0,False,7.0,3.0,1.0,35.28
TXN_20240716_00006292,CUST_42693990,Customer 6140,user312@example.com,+1-555-853-9418,"933 Main St, City, State",Los Angeles,IL,78662,US,50.52.93.223,corporate,2024-07-16 10:30:28.861059,2024-07-16,10:30:28,MedExpress Pharmacy,Online Pharmacy,Healthcare,subscription,99.25,prescription_drugs,1.0,venmo,completed,00,Approved,1866,True,fraud_type_account_takeover,15.949931976965537,account_takeover,25205.051933696726,social_media_organic,2,mobile_ios,True,785,HST,en,10.0,1.0,False,7.0,3.0,1.0,99.25
TXN_20240716_00002224,CUST_74163739,Customer 6023,user695@example.com,+1-555-526-6886,"799 Main St, City, State",Chicago,OH,27508,US,252.52.131.64,corporate,2024-07-16 13:51:14.861059,2024-07-16,13:51:14,MedExpress Pharmacy,Online Pharmacy,Healthcare,otc_purchase,93.42,medical_devices,3.0,google_pay,completed,00,Approved,972,False,,18.663739728235452,,27696.102648212574,organic_search,1,mobile_ios,True,876,PST,en,13.0,1.0,False,7.0,3.0,1.0,93.42
TXN_20240716_00002875,CUST_25644989,Customer 4756,user265@example.com,+1-555-434-9100,"687 Main St, City, State",New York,NY,69570,US,199.198.2.248,corporate,2024-07-16 14:14:32.861059,2024-07-16,14:14:32,MedExpress Pharmacy,Online Pharmacy,Healthcare,subscription,44.58,health_supplements,2.0,paypal,completed,00,Approved,1963,False,,3.5496451320399136,,40712.84365457872,organic_search,5,desktop_windows,False,399,EST,en,14.0,1.0,False,7.0,3.0,1.0,44.58
TXN_20240716_00006450,CUST_39621504,Customer 6727,user813@example.com,+1-555-477-6461,"189 Main St, City, State",Chicago,TX,32312,US,133.161.191.11,corporate,2024-07-16 14:40:39.861059,2024-07-16,14:40:39,MedExpress Pharmacy,Online Pharmacy,Healthcare,subscription,66.11,health_supplements,1.0,card,completed,00,Approved,1410,False,,0.2744360392823342,,13513.270968068648,paid_search,1,tablet_ipad,False,613,AKST,en,14.0,1.0,False,7.0,3.0,1.0,66.11
TXN_20240716_00002714,CUST_94592437,Customer 3592,user990@example.com,+1-555-732-7453,"126 Main St, City, State",Los Angeles,FL,62668,US,203.154.8.247,individual,2024-07-16 16:01:32.861059,2024-07-16,16:01:32,MedExpress Pharmacy,Online Pharmacy,Healthcare,prescription_fill,47.11,otc_medications,2.0,venmo,completed,00,Approved,971,True,fraud_type_synthetic_identity,14.195021293543505,synthetic_identity,1208.3145194331955,referral,2,mobile_ios,True,1640,HST,en,16.0,1.0,False,7.0,3.0,1.0,47.11
TXN_20240716_00004976,CUST_55830319,Customer 8238,user567@example.com,+1-555-666-1895,"411 Main St, City, State",Los Angeles,PA,87605,US,65.114.218.162,professional,2024-07-16 16:31:16.861059,2024-07-16,16:31:16,MedExpress Pharmacy,Online Pharmacy,Healthcare,prescription_fill,8.27,otc_medications,2.0,card,completed,00,Approved,274,False,,13.477210106867046,,7456.995139152836,direct_traffic,5,mobile_android,True,273,AKST,en,16.0,1.0,False,7.0,3.0,1.0,8.27
