transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00005395,CUST_21813215,Customer 2614,user435@example.com,+1-555-786-4913,"272 Main St, City, State",Houston,MI,17456,US,253.225.113.41,enterprise,2024-07-16 00:06:48.195327,2024-07-16,00:06:48,RestaurantHub POS,Restaurant Point of Sale,Food Service,delivery,38.75,general,card,completed,00,Approved,1700,False,,18.751247332637806,,246111.16727647895,organic_search,2,mobile_ios,True,517,CST,en,0.0,1.0,False,7.0,3.0,1.0,38.75
TXN_20240716_00007808,CUST_74923454,Customer 8392,user660@example.com,+1-555-161-4554,"279 Main St, City, State",Chicago,MI,73965,US,148.67.124.25,enterprise,2024-07-16 01:39:02.195327,2024-07-16,01:39:02,RestaurantHub POS,Restaurant Point of Sale,Food Service,dine_in,347.23,general,venmo,completed,00,Approved,482,False,,11.289824609695007,,40856.867996023866,organic_search,3,mobile_ios,True,875,CST,en,1.0,1.0,False,7.0,3.0,1.0,347.23
TXN_20240716_00004144,CUST_77816535,Customer 5894,user700@example.com,+1-555-922-4660,"487 Main St, City, State",Houston,TX,28855,US,82.68.189.211,enterprise,2024-07-16 01:50:19.195327,2024-07-16,01:50:19,RestaurantHub POS,Restaurant Point of Sale,Food Service,dine_in,304.29,general,paypal,completed,00,Approved,1251,False,,0.9588582533975754,,109430.7809987567,organic_search,1,desktop_windows,False,1114,MST,en,1.0,1.0,False,7.0,3.0,1.0,304.29
TXN_20240716_00002711,CUST_27426838,Customer 2581,user264@example.com,+1-555-781-8894,"794 Main St, City, State",Phoenix,CA,97331,US,88.96.149.7,enterprise,2024-07-16 01:50:40.195327,2024-07-16,01:50:40,RestaurantHub POS,Restaurant Point of Sale,Food Service,takeout,234.71,general,venmo,completed,00,Approved,1205,False,,14.790559327838832,,239920.21103374017,paid_search,1,mobile_android,True,1699,EST,en,1.0,1.0,False,7.0,3.0,1.0,234.71
TXN_20240716_00007105,CUST_22829317,Customer 3614,user148@example.com,+1-555-784-2341,"414 Main St, City, State",Los Angeles,IL,38868,US,118.45.121.41,vip,2024-07-16 02:12:39.195327,2024-07-16,02:12:39,RestaurantHub POS,Restaurant Point of Sale,Food Service,takeout,102.49,general,apple_pay,completed,00,Approved,1513,False,,9.374567623897098,,11105.15576821389,social_media_organic,1,mobile_ios,True,227,CST,en,2.0,1.0,False,7.0,3.0,1.0,102.49
TXN_20240716_00000787,CUST_24156968,Customer 4777,user368@example.com,+1-555-951-3694,"262 Main St, City, State",Chicago,PA,28129,US,69.45.175.42,regular,2024-07-16 02:35:06.195327,2024-07-16,02:35:06,RestaurantHub POS,Restaurant Point of Sale,Food Service,takeout,388.99,general,venmo,completed,00,Approved,1697,False,,20.90041041530232,,2503.7686922274625,paid_search,2,mobile_android,True,575,CST,en,2.0,1.0,False,7.0,3.0,1.0,388.99
TXN_20240716_00005860,CUST_20879362,Customer 9424,user658@example.com,+1-555-732-5491,"657 Main St, City, State",Los Angeles,GA,73426,US,195.153.81.143,enterprise,2024-07-16 02:48:12.195327,2024-07-16,02:48:12,RestaurantHub POS,Restaurant Point of Sale,Food Service,delivery,227.92,general,paypal,completed,00,Approved,129,True,fraud_type_synthetic_identity,13.212159255618154,synthetic_identity,93743.68652815459,social_media_paid,1,desktop_mac,False,89,PST,en,2.0,1.0,False,7.0,3.0,1.0,227.92
TXN_20240716_00004627,CUST_24587335,Customer 7945,user336@example.com,+1-555-397-2931,"204 Main St, City, State",Chicago,IL,43012,US,98.213.150.208,new,2024-07-16 04:35:29.195327,2024-07-16,04:35:29,RestaurantHub POS,Restaurant Point of Sale,Food Service,delivery,454.69,general,google_pay,completed,00,Approved,314,False,,9.807332116152178,,933.1639724420569,organic_search,2,mobile_android,True,1190,PST,en,4.0,1.0,False,7.0,3.0,1.0,454.69
TXN_20240716_00003752,CUST_83551203,Customer 8121,user716@example.com,+1-555-566-1874,"601 Main St, City, State",Houston,NC,81907,US,224.234.28.187,regular,2024-07-16 04:46:47.195327,2024-07-16,04:46:47,RestaurantHub POS,Restaurant Point of Sale,Food Service,dine_in,383.04,general,paypal,completed,00,Approved,291,False,,10.681610010425299,,3814.3207621345714,paid_search,5,mobile_ios,True,700,MST,en,4.0,1.0,False,7.0,3.0,1.0,383.04
TXN_20240716_00000315,CUST_77227332,Customer 2209,user564@example.com,+1-555-439-9590,"352 Main St, City, State",New York,IL,22531,US,172.110.168.167,enterprise,2024-07-16 06:50:18.195327,2024-07-16,06:50:18,RestaurantHub POS,Restaurant Point of Sale,Food Service,takeout,337.25,general,google_pay,completed,00,Approved,1871,False,,19.59025118121051,,28839.95071921043,direct_traffic,1,mobile_ios,True,785,HST,en,6.0,1.0,False,7.0,3.0,1.0,337.25
