transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,subscription_tier,billing_cycle,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00005406,CUST_91263173,Customer 8250,user289@example.com,+1-555-619-1103,"968 Main St, City, State",Los Angeles,FL,44506,US,83.194.254.59,smb,2024-07-16 03:12:02.001104,2024-07-16,03:12:02,CloudSync Enterprise,B2B SaaS Platform,Technology,upgrade,499.8,starter,annual,subscription,google_pay,completed,00,Approved,1034,False,,8.677832051824218,,26114.47049649698,social_media_paid,2,desktop_windows,False,913,HST,en,3.0,1.0,False,7.0,3.0,1.0,499.8
TXN_20240716_00001636,CUST_53838097,Customer 3500,user293@example.com,+1-555-891-3429,"170 Main St, City, State",Chicago,TX,23224,US,84.223.81.238,individual,2024-07-16 04:28:33.001104,2024-07-16,04:28:33,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,1519.8,professional,annual,subscription,apple_pay,completed,00,Approved,1958,False,amount_exceeds_normal,21.831864658059374,,1341.8641311247911,direct_traffic,1,mobile_ios,True,636,AKST,en,4.0,1.0,False,7.0,3.0,1.0,1519.8
TXN_20240716_00007658,CUST_30400994,Customer 5120,user892@example.com,+1-555-345-8261,"444 Main St, City, State",Los Angeles,FL,18809,US,104.199.142.88,startup,2024-07-16 08:40:00.001104,2024-07-16,08:40:00,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,499.8,starter,annual,subscription,apple_pay,completed,00,Approved,956,False,,26.02734640039877,,7603.453000950211,social_media_paid,5,mobile_ios,True,1494,MST,en,8.0,1.0,False,7.0,3.0,1.0,499.8
TXN_20240716_00004634,CUST_32711650,Customer 7539,user560@example.com,+1-555-926-4335,"119 Main St, City, State",Houston,MI,36082,US,236.158.217.3,startup,2024-07-16 09:38:07.001104,2024-07-16,09:38:07,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,149.0,professional,monthly,subscription,venmo,completed,00,Approved,1243,False,,24.77311886077394,,6200.267000780797,social_media_organic,1,mobile_android,True,989,AKST,en,9.0,1.0,False,7.0,3.0,1.0,149.0
TXN_20240716_00002266,CUST_39083765,Customer 2738,user872@example.com,+1-555-722-5784,"158 Main St, City, State",Los Angeles,PA,83428,US,97.47.211.228,smb,2024-07-16 10:45:41.001104,2024-07-16,10:45:41,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,149.0,professional,monthly,subscription,apple_pay,completed,00,Approved,406,False,,17.14571870323171,,11373.547858393056,email_marketing,1,mobile_ios,True,609,HST,en,10.0,1.0,False,7.0,3.0,1.0,149.0
TXN_20240716_00002006,CUST_36703705,Customer 8322,user180@example.com,+1-555-490-5694,"265 Main St, City, State",Los Angeles,TX,93962,US,88.59.81.82,smb,2024-07-16 11:42:51.001104,2024-07-16,11:42:51,CloudSync Enterprise,B2B SaaS Platform,Technology,downgrade,49.0,starter,monthly,subscription,google_pay,completed,00,Approved,103,False,,13.347336542399347,,49071.79098661176,paid_search,1,mobile_android,True,591,AKST,en,11.0,1.0,False,7.0,3.0,1.0,49.0
TXN_20240716_00002375,CUST_48091452,Customer 2134,user147@example.com,+1-555-865-7385,"874 Main St, City, State",Chicago,PA,75978,US,17.178.33.202,startup,2024-07-16 16:00:35.001104,2024-07-16,16:00:35,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,499.8,starter,annual,subscription,venmo,completed,00,Approved,700,False,,8.113366496612343,,9161.891894082677,organic_search,2,mobile_android,True,1033,CST,en,16.0,1.0,False,7.0,3.0,1.0,499.8
TXN_20240716_00006217,CUST_49967690,Customer 2638,user672@example.com,+1-555-870-2991,"816 Main St, City, State",Los Angeles,GA,94072,US,232.178.57.5,individual,2024-07-16 16:05:55.001104,2024-07-16,16:05:55,CloudSync Enterprise,B2B SaaS Platform,Technology,addon,49.0,starter,monthly,subscription,card,completed,00,Approved,742,False,,1.7962703818401593,,1132.8689818860314,organic_search,1,mobile_ios,True,983,HST,en,16.0,1.0,False,7.0,3.0,1.0,49.0
TXN_20240716_00006160,CUST_43083240,Customer 6355,user241@example.com,+1-555-693-9502,"292 Main St, City, State",Los Angeles,TX,13680,US,45.10.227.12,individual,2024-07-16 16:24:23.001104,2024-07-16,16:24:23,CloudSync Enterprise,B2B SaaS Platform,Technology,downgrade,139.65,starter,quarterly,subscription,card,completed,00,Approved,457,True,fraud_type_card_testing,24.94505427930021,card_testing,1543.516699979455,email_marketing,4,tablet_ipad,False,57,HST,en,16.0,1.0,False,7.0,3.0,1.0,139.65
TXN_20240716_00000941,CUST_11980544,Customer 5307,user477@example.com,+1-555-216-4081,"405 Main St, City, State",New York,PA,92651,US,124.54.232.139,individual,2024-07-16 16:31:19.001104,2024-07-16,16:31:19,CloudSync Enterprise,B2B SaaS Platform,Technology,new_subscription,149.0,professional,monthly,subscription,apple_pay,completed,00,Approved,1705,True,fraud_type_card_testing,15.238281363576352,card_testing,1344.2219980549714,organic_search,1,mobile_ios,True,488,CST,en,16.0,1.0,False,7.0,3.0,1.0,149.0
TXN_20240716_00000431,CUST_11568110,Customer 1603,user512@example.com,+1-555-761-8499,"245 Main St, City, State",Chicago,GA,64729,US,144.150.92.186,individual,2024-07-16 19:11:19.001104,2024-07-16,19:11:19,CloudSync Enterprise,B2B SaaS Platform,Technology,renewal,149.0,professional,monthly,subscription,venmo,completed,00,Approved,821,False,,18.469134291043932,,925.3629279599098,social_media_paid,1,tablet_ipad,False,1416,PST,en,19.0,1.0,False,7.0,3.0,1.0,149.0
