transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_country,customer_ip_address,customer_segment,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,merchant_industry,transaction_type,amount,subscription_tier,billing_cycle,product_category,payment_method,payment_status,response_code,response_text,processing_time_ms,is_fraudulent,fraud_indicators,risk_score,fraud_type,customer_lifetime_value,customer_acquisition_channel,customer_transaction_count,device_type,is_mobile,session_duration_seconds,timezone,language,hour,day_of_week,is_weekend,month,quarter,customer_transaction_number,customer_total_spent
TXN_20240716_00007102,CUST_68837778,Customer 2887,user991@example.com,+1-555-360-1665,"667 Main St, City, State",New York,OH,48256,US,214.231.208.5,new,2024-07-16 01:32:17.358856,2024-07-16,01:32:17,StreamVibe Plus,Video Streaming,Entertainment,renewal,8.99,basic,monthly,subscription,apple_pay,failed,51,Insufficient funds,592,False,,10.05172488103392,,696.4835741515578,social_media_paid,5,mobile_ios,True,223,EST,en,1.0,1.0,False,7.0,3.0,1.0,8.99
TXN_20240716_00001399,CUST_29885918,Customer 2894,user688@example.com,+1-555-471-9564,"520 Main St, City, State",Chicago,GA,70005,US,92.146.92.162,regular,2024-07-16 02:21:26.358856,2024-07-16,02:21:26,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,8.99,basic,monthly,subscription,paypal,completed,00,Approved,663,False,,19.01243054064011,,1396.8667743374822,paid_search,1,desktop_windows,False,558,MST,en,2.0,1.0,False,7.0,3.0,1.0,8.99
TXN_20240716_00004465,CUST_64555947,Customer 8299,user156@example.com,+1-555-248-4098,"734 Main St, City, State",New York,FL,35510,US,10.205.73.108,new,2024-07-16 02:39:13.358856,2024-07-16,02:39:13,StreamVibe Plus,Video Streaming,Entertainment,renewal,8.99,basic,monthly,subscription,google_pay,completed,00,Approved,1267,False,,21.48870503463447,,582.748573439094,referral,1,desktop_mac,False,872,AKST,en,2.0,1.0,False,7.0,3.0,1.0,8.99
TXN_20240716_00004180,CUST_62769209,Customer 5682,user165@example.com,+1-555-796-5729,"617 Main St, City, State",Phoenix,OH,37680,US,147.124.62.65,enterprise,2024-07-16 03:05:02.358856,2024-07-16,03:05:02,StreamVibe Plus,Video Streaming,Entertainment,renewal,17.99,premium,monthly,subscription,venmo,completed,00,Approved,1730,False,,14.530270395957796,,206801.37784934437,organic_search,1,mobile_ios,True,927,PST,en,3.0,1.0,False,7.0,3.0,1.0,17.99
TXN_20240716_00007478,CUST_56901448,Customer 5432,user821@example.com,+1-555-856-2699,"272 Main St, City, State",Chicago,IL,21633,US,74.112.124.194,vip,2024-07-16 03:32:33.358856,2024-07-16,03:32:33,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,13.99,standard,monthly,subscription,venmo,completed,00,Approved,1315,False,,5.483673205449189,,11945.497330720806,paid_search,1,mobile_ios,True,154,PST,en,3.0,1.0,False,7.0,3.0,1.0,13.99
TXN_20240716_00006676,CUST_83259970,Customer 4536,user652@example.com,+1-555-392-9950,"349 Main St, City, State",New York,FL,17940,US,218.239.160.249,new,2024-07-16 03:40:55.358856,2024-07-16,03:40:55,StreamVibe Plus,Video Streaming,Entertainment,upgrade,8.99,basic,monthly,subscription,venmo,completed,00,Approved,1055,False,,1.3988513147570647,,947.7260072857806,influencer,1,desktop_windows,False,316,CST,en,3.0,1.0,False,7.0,3.0,1.0,8.99
TXN_20240716_00003726,CUST_50260467,Customer 5813,user776@example.com,+1-555-358-5250,"352 Main St, City, State",Phoenix,CA,22971,US,124.212.122.162,regular,2024-07-16 04:00:43.358856,2024-07-16,04:00:43,StreamVibe Plus,Video Streaming,Entertainment,upgrade,13.99,standard,monthly,subscription,google_pay,completed,00,Approved,780,False,,21.538679571648952,,2089.7269140090552,referral,2,desktop_windows,False,751,CST,en,4.0,1.0,False,7.0,3.0,1.0,13.99
TXN_20240716_00000139,CUST_74121195,Customer 3874,user185@example.com,+1-555-796-3065,"427 Main St, City, State",New York,MI,91973,US,81.148.98.196,enterprise,2024-07-16 04:35:46.358856,2024-07-16,04:35:46,StreamVibe Plus,Video Streaming,Entertainment,new_subscription,17.99,premium,monthly,subscription,apple_pay,completed,00,Approved,1209,False,,16.529399404073466,,73276.59919262903,referral,1,desktop_chromeos,False,1230,MST,en,4.0,1.0,False,7.0,3.0,1.0,17.99
TXN_20240716_00002261,CUST_65333972,Customer 3270,user724@example.com,+1-555-284-7940,"827 Main St, City, State",New York,NY,47302,US,58.249.180.224,vip,2024-07-16 04:52:43.358856,2024-07-16,04:52:43,StreamVibe Plus,Video Streaming,Entertainment,upgrade,13.99,standard,monthly,subscription,google_pay,completed,00,Approved,1890,True,fraud_type_synthetic_identity,28.044754210128517,synthetic_identity,22808.23140484739,social_media_organic,1,mobile_android,True,1146,PST,en,4.0,1.0,False,7.0,3.0,1.0,13.99
TXN_20240716_00003373,CUST_27673771,Customer 2698,user331@example.com,+1-555-690-1690,"963 Main St, City, State",Phoenix,OH,31150,US,146.10.75.132,vip,2024-07-16 04:55:03.358856,2024-07-16,04:55:03,StreamVibe Plus,Video Streaming,Entertainment,upgrade,13.99,standard,monthly,subscription,apple_pay,completed,00,Approved,928,False,,29.999018222593044,,19782.055885392874,organic_search,1,mobile_ios,True,816,MST,en,4.0,1.0,False,7.0,3.0,1.0,13.99
